id,strategy,pair,account_id,trade_id,direction,entry_price,exit_price,entry_time,exit_time,pnl_pips,exit_reason,hours_held,units,mfe_pips,mae_pips,capture_ratio,amddp1,pnl_over_mae,is_paper,label
4682,zr_random,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-012,oanda_012_58,-1,1.32289,1.32469,2026-03-30 07:27:06.51053,2026-03-30 07:27:06.51053,-18.0,broker_backfill,0.0,2,0.0,0.0,0.0,,,false,GBP_USD_ABS_110
1,wf_pnlmae,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-013,87,1,182.656,183.114,2026-03-30 15:42:35.57315,2026-03-30 22:42:38.571442,45.8,MAX_HOLD,7.0,2,51.8,5.9,0.88,,,false,""
2,wf_pnlmae,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-013,123,1,210.513,210.796,2026-03-30 23:31:32.514832,2026-03-31 06:31:37.703694,28.3,MAX_HOLD,7.0,23,71.1,8.3,0.4,,,false,""
3,range_neat,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2318,1,159.735,159.69,2026-03-31 00:46:03.452858,2026-03-31 07:46:08.897027,-4.5,MAX_HOLD,7.0,11,23.8,24.1,-0.19,,,false,""
4,range_neat,EUR_USD,001-001-${OANDA_CUSTOMER_ID}-007,2323,1,1.1471,1.14678,2026-03-31 00:46:04.191901,2026-03-31 07:46:09.692709,-3.2,MAX_HOLD,7.0,4,19.8,10.1,-0.16,,,false,""
5,range_neat,NZD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2339,1,91.508,91.264,2026-03-31 01:04:53.052656,2026-03-31 08:04:57.772856,-24.4,MAX_HOLD,7.0,11,9.8,51.9,-2.49,,,false,""
6,range_neat,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-007,2373,1,109.616,109.462,2026-03-31 07:39:13.098612,2026-03-31 14:39:17.736353,-15.4,MAX_HOLD,7.0,20,25.8,25.6,-0.6,,,false,""
4683,zr_random,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-012,oanda_012_169,-1,1.31805,1.31885,2026-03-31 15:54:28.469252,2026-03-31 15:54:28.469252,-8.0,broker_backfill,0.0,4,0.0,0.0,0.0,,,false,GBP_USD_ABS_110
4684,zr_random,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-012,oanda_012_203,-1,1.32015,1.32135,2026-03-31 16:44:28.394672,2026-03-31 16:44:28.394672,-12.0,broker_backfill,0.0,4,0.0,0.0,0.0,,,false,GBP_USD_ABS_110
4685,zr_random,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-012,oanda_012_242,-1,1.32628,1.32388,2026-03-31 17:54:12.092023,2026-03-31 17:54:12.092023,24.0,broker_backfill,0.0,4,0.0,0.0,0.0,,,false,GBP_USD_ABS_110
7,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1233,-1,109.539,109.409,2026-03-31 17:34:57.053586,2026-03-31 17:57:05.767561,13.0,GATE_CLOSE,0.37,17,13.6,2.1,0.96,,,false,""
8,ensemble_short,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1245,-1,183.537,183.414,2026-03-31 17:52:50.438154,2026-03-31 18:33:15.949148,12.3,GATE_CLOSE,0.67,6,13.5,1.5,0.91,,,false,""
9,ensemble_short,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-004,1241,-1,1.3244,1.32296,2026-03-31 17:44:56.17207,2026-03-31 18:49:21.878025,14.4,GATE_CLOSE,1.07,8,14.0,4.2,1.03,,,false,""
10,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1203,-1,210.102,210.108,2026-03-31 17:00:12.217695,2026-03-31 19:39:02.167564,-0.6,GATE_CLOSE,2.65,9,3.2,32.0,-0.19,,,false,""
11,wf_pnlmae,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-013,445,1,1.32297,1.32208,2026-03-31 18:49:21.716617,2026-03-31 21:19:29.293392,-8.9,S5_SOFT_STOP,2.5,21,11.3,15.1,-0.79,,,false,""
13,asi_mc_008,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-008,986,1,1.32297,1.32208,2026-03-31 18:49:21.72448,2026-03-31 21:19:29.312662,-8.9,S5_SOFT_STOP,2.5,23,11.3,15.1,-0.79,,,false,""
12,range_neat,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-007,2659,1,1.32297,1.32208,2026-03-31 18:49:21.755477,2026-03-31 21:19:29.332572,-8.9,S5_SOFT_STOP,2.5,23,11.3,15.1,-0.79,,,false,""
14,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1301,-1,210.03,210.173,2026-03-31 21:31:44.131772,2026-03-31 21:31:44.725415,-14.3,S5_SOFT_STOP,0.0,31,0.0,21.4,0.0,,,false,""
15,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1309,-1,209.992,210.12,2026-03-31 21:45:19.506123,2026-03-31 21:45:20.135189,-12.8,S5_SOFT_STOP,0.0,31,0.0,19.2,0.0,,,false,""
16,ensemble_short,EUR_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1317,-1,183.485,183.525,2026-03-31 21:56:53.894915,2026-03-31 21:56:54.509392,-4.0,S5_SOFT_STOP,0.0,30,0.0,22.5,0.0,,,false,""
17,ensemble_short,USD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1325,-1,158.73,158.817,2026-03-31 21:56:54.751075,2026-03-31 21:56:55.345065,-8.7,S5_SOFT_STOP,0.0,30,0.0,23.3,0.0,,,false,""
18,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1333,-1,209.788,210.153,2026-03-31 21:56:55.579844,2026-03-31 21:56:56.202494,-36.5,S5_SOFT_STOP,0.0,30,0.0,72.7,0.0,,,false,""
19,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1341,-1,109.479,109.649,2026-03-31 21:56:56.435797,2026-03-31 21:56:57.053402,-17.0,S5_SOFT_STOP,0.0,30,0.0,39.6,0.0,,,false,""
20,ensemble_short,NZD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1349,-1,91.137,91.285,2026-03-31 21:56:57.287257,2026-03-31 21:56:57.913077,-14.8,S5_SOFT_STOP,0.0,30,0.0,32.5,0.0,,,false,""
21,ensemble_short,CAD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1357,-1,114.119,114.269,2026-03-31 21:58:28.291492,2026-03-31 21:58:28.904941,-15.0,S5_SOFT_STOP,0.0,30,0.0,31.4,0.0,,,false,""
22,ensemble_short,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1365,-1,198.476,198.699,2026-03-31 22:00:03.914569,2026-03-31 22:00:04.523287,-22.3,S5_SOFT_STOP,0.0,30,0.0,45.5,0.0,,,false,""
23,ensemble_short,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1373,-1,198.54,198.758,2026-03-31 22:00:46.217766,2026-03-31 22:00:46.821633,-21.8,S5_SOFT_STOP,0.0,30,0.0,33.5,0.0,,,false,""
24,ensemble_short,AUD_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1405,-1,109.643,109.781,2026-03-31 23:53:25.254162,2026-04-01 00:12:27.992043,-13.8,S5_SOFT_STOP,0.32,5,0.3,15.1,-46.0,,,false,""
25,ensemble_short,GBP_USD,001-001-${OANDA_CUSTOMER_ID}-004,1385,-1,1.32389,1.32529,2026-03-31 23:39:27.309815,2026-04-01 00:15:41.669943,-14.0,S5_SOFT_STOP,0.6,14,1.3,15.1,-10.77,,,false,""
26,ensemble_short,CHF_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1397,-1,198.655,198.788,2026-03-31 23:51:58.517357,2026-04-01 00:28:59.166942,-13.3,S5_SOFT_STOP,0.62,9,1.2,15.3,-11.08,,,false,""
27,ensemble_short,AUD_USD,001-001-${OANDA_CUSTOMER_ID}-004,1401,-1,0.69144,0.69288,2026-03-31 23:52:33.695495,2026-04-01 00:31:08.730641,-14.4,S5_SOFT_STOP,0.64,8,0.0,15.1,0.0,,,false,""
28,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1413,-1,209.984,210.119,2026-04-01 00:14:20.636934,2026-04-01 00:32:46.339893,-13.5,S5_SOFT_STOP,0.31,5,5.8,15.2,-2.33,,,false,""
29,ensemble_short,GBP_JPY,001-001-${OANDA_CUSTOMER_ID}-004,1449,-1,210.136,210.269,2026-04-01 00:42:31.629153,2026-04-01 00:46:32.191008,-13.3,S5_SOFT_STOP,0.07,49,0.1,15.1,-133.0,,,false,""
