ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,37108.6,12341,0.0,59.02,8124.4,2351,19.04,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,37099.8,12341,0.0,59.0,8124.4,2351,19.04,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,37111.5,12341,0.0,59.02,8122.4,2351,19.03,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,32455.4,11844,0.0,51.6,8110.0,2328,19.0,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,32451.2,11844,0.0,51.59,8110.0,2328,19.0,1
192,atr7_m0p5_r3_n4_E1_X3b_1,32453.6,11844,0.0,51.6,8110.0,2328,19.0,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,35738.1,12262,0.0,56.94,8061.9,2336,18.89,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,35742.0,12262,0.0,56.95,8056.9,2336,18.88,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,35736.9,12262,0.0,56.94,8056.9,2336,18.88,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,31683.7,9414,0.0,50.34,6748.9,1870,15.81,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,31682.6,9414,0.0,50.34,6737.6,1870,15.79,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,31654.5,9412,0.0,50.23,6714.1,1870,15.73,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,28865.8,7755,0.0,45.85,6540.5,1420,15.33,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,28867.9,7755,0.0,45.86,6535.2,1420,15.31,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,28856.4,7755,0.0,45.84,6528.5,1420,15.3,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,28915.7,8806,0.0,45.95,6435.7,1807,15.08,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,28929.4,8806,0.0,45.96,6408.2,1807,15.02,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,28886.7,8807,0.0,45.87,6404.5,1807,15.01,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,26974.9,7379,0.0,42.8,5794.6,1298,13.58,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,26973.8,7379,0.0,42.8,5794.6,1298,13.58,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,26962.7,7379,0.0,42.8,5793.0,1298,13.58,1
36,atr7_m0p5_r1_n4_E1_X3c_1_5,25494.3,7957,0.0,40.38,5505.8,1616,12.9,1
32,atr7_m0p5_r1_n4_E1_X3b_1,25557.4,7957,0.0,40.47,5500.0,1616,12.89,1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,25442.7,7957,0.0,40.27,5497.0,1616,12.88,1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,24378.1,6695,0.0,38.63,5330.5,1212,12.49,1
112,atr7_m0p5_r2_n4_E1_X3b_1,24361.9,6695,0.0,38.61,5326.4,1212,12.48,1
118,atr7_m0p5_r2_n4_E1_X3c_1_3,24362.0,6695,0.0,38.63,5312.1,1214,12.45,1
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,23299.4,6266,0.0,36.84,5128.3,1183,12.02,1
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,23303.5,6266,0.0,36.85,5128.3,1183,12.02,1
1408,atr14_m0p5_r3_n5_E1_X3b_1,23302.2,6266,0.0,36.85,5128.3,1183,12.02,1
2608,atr20_m0p5_r3_n5_E1_X3b_1,23493.0,6249,0.0,37.14,5076.8,1183,11.9,1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,23488.9,6249,0.0,37.14,5076.8,1183,11.9,1
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,23493.0,6249,0.0,37.14,5076.8,1183,11.9,1
214,atr7_m0p5_r3_n5_E1_X3c_1_3,21240.8,6061,0.0,33.48,4705.5,1129,11.03,1
212,atr7_m0p5_r3_n5_E1_X3c_1_5,21240.8,6061,0.0,33.48,4705.5,1129,11.03,1
208,atr7_m0p5_r3_n5_E1_X3b_1,21240.8,6061,0.0,33.48,4705.5,1129,11.03,1
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,17632.6,2859,0.0,27.81,3480.0,514,8.15,1
2448,atr20_m0p5_r1_n5_E1_X3b_1,17643.3,2859,0.0,27.81,3480.0,514,8.15,1
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,17644.1,2859,0.0,27.82,3480.0,514,8.15,1
1254,atr14_m0p5_r1_n5_E1_X3c_1_3,15931.4,2551,0.0,25.13,3362.0,476,7.88,1
1248,atr14_m0p5_r1_n5_E1_X3b_1,15945.5,2551,0.0,25.17,3356.9,476,7.87,1
1252,atr14_m0p5_r1_n5_E1_X3c_1_5,15941.3,2551,0.0,25.16,3356.9,476,7.87,1
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,16554.7,2636,0.0,26.09,3077.1,414,7.21,1
2528,atr20_m0p5_r2_n5_E1_X3b_1,16555.3,2636,0.0,26.09,3077.1,414,7.21,1
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,16557.2,2636,0.0,26.09,3077.1,414,7.21,1
224,atr7_m0p5_r3_n6_E1_X3b_1,13571.6,3129,0.0,21.18,2943.4,594,6.9,1
230,atr7_m0p5_r3_n6_E1_X3c_1_3,13571.6,3129,0.0,21.18,2943.4,594,6.9,1
228,atr7_m0p5_r3_n6_E1_X3c_1_5,13571.6,3129,0.0,21.18,2943.4,594,6.9,1
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,15205.3,2406,0.0,23.92,2884.1,374,6.76,1
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,15203.8,2406,0.0,23.92,2884.1,374,6.76,1
1328,atr14_m0p5_r2_n5_E1_X3b_1,15209.4,2406,0.0,23.92,2884.1,374,6.76,1
2628,atr20_m0p5_r3_n6_E1_X3c_1_5,14989.2,3150,0.0,23.39,2836.3,585,6.65,1
2624,atr20_m0p5_r3_n6_E1_X3b_1,14989.2,3150,0.0,23.39,2836.3,585,6.65,1
2630,atr20_m0p5_r3_n6_E1_X3c_1_3,14989.2,3150,0.0,23.39,2836.3,585,6.65,1
1424,atr14_m0p5_r3_n6_E1_X3b_1,14458.5,3154,0.0,22.61,2830.7,584,6.63,1
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,14458.5,3154,0.0,22.61,2830.7,584,6.63,1
1428,atr14_m0p5_r3_n6_E1_X3c_1_5,14458.5,3154,0.0,22.61,2830.7,584,6.63,1
54,atr7_m0p5_r1_n5_E1_X3c_1_3,13763.2,2109,0.0,21.66,2734.8,388,6.41,1
48,atr7_m0p5_r1_n5_E1_X3b_1,13755.7,2109,0.0,21.65,2731.4,388,6.4,1
52,atr7_m0p5_r1_n5_E1_X3c_1_5,13755.8,2109,0.0,21.64,2731.4,388,6.4,1
128,atr7_m0p5_r2_n5_E1_X3b_1,13220.6,2061,0.0,20.69,2625.6,343,6.15,1
132,atr7_m0p5_r2_n5_E1_X3c_1_5,13223.6,2061,0.0,20.69,2625.6,343,6.15,1
134,atr7_m0p5_r2_n5_E1_X3c_1_3,13216.0,2061,0.0,20.68,2625.6,343,6.15,1
2736,atr20_m1p0_r2_n3_E1_X3b_1,10865.0,11170,0.0,15.82,2443.8,2041,5.73,1
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,10868.6,11173,0.0,15.76,2434.0,2043,5.7,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,10813.6,11174,0.0,15.74,2414.7,2042,5.66,1
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,11595.7,6703,0.0,17.49,2281.4,1128,5.35,1
2656,atr20_m1p0_r1_n3_E1_X3b_1,11325.8,6674,0.0,17.01,2271.5,1124,5.32,1
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,11773.8,6721,0.0,17.86,2202.4,1129,5.16,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,10060.7,10938,0.0,14.49,2171.1,2031,5.09,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,10044.1,10946,0.0,14.41,2170.0,2034,5.09,1
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,10058.8,10941,0.0,14.48,2157.2,2031,5.06,1
2513,atr20_m0p5_r2_n4_E1_X3b_2,8990.3,7636,0.0,13.28,2003.6,1409,4.7,1
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,9290.2,7648,0.0,13.77,1939.8,1409,4.55,1
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,9380.9,7659,0.0,14.05,1933.3,1409,4.53,1
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,10375.4,1064,0.0,16.17,1900.3,183,4.45,1
2464,atr20_m0p5_r1_n6_E1_X3b_1,10375.4,1064,0.0,16.17,1900.3,183,4.45,1
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,10395.4,1064,0.0,16.19,1900.3,183,4.45,1
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,10353.8,6428,0.0,15.56,1851.6,1024,4.34,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,10604.6,6440,0.0,15.99,1841.9,1027,4.32,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8226.5,2544,0.0,12.45,1778.9,476,4.17,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9260.1,2846,0.0,14.12,1768.1,514,4.14,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.7,2543,0.0,12.44,1755.7,476,4.11,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9123.5,2845,0.0,13.89,1740.5,514,4.08,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,10390.5,6399,0.0,15.46,1737.2,1021,4.07,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9178.5,2849,0.0,14.0,1712.5,514,4.01,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8112.8,2542,0.0,12.29,1701.8,476,3.99,1
