ci,name,is_pnl,is_ntrd,c0,c1,c2
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,44937.5,20000,7899.0,24589.5,12449.0
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,44934.4,20000,7891.2,24586.1,12457.1
2576,atr20_m0p5_r3_n3_E1_X3b_1,44934.4,20000,7897.1,24592.0,12445.3
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,44373.5,20000,7213.4,24535.1,12625.0
1376,atr14_m0p5_r3_n3_E1_X3b_1,44351.6,20000,7213.4,24519.6,12618.7
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,44349.4,20000,7215.7,24502.1,12631.6
176,atr7_m0p5_r3_n3_E1_X3b_1,40686.9,20000,6561.9,22004.5,12120.6
180,atr7_m0p5_r3_n3_E1_X3c_1_5,40676.7,20000,6561.9,22005.0,12109.8
182,atr7_m0p5_r3_n3_E1_X3c_1_3,40666.5,20000,6561.9,22010.9,12093.7
2496,atr20_m0p5_r2_n3_E1_X3b_1,39747.4,20000,6456.0,23241.9,10049.5
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,39705.9,20000,6410.2,23282.0,10013.7
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,39692.1,20000,6431.9,23264.7,9995.5
1296,atr14_m0p5_r2_n3_E1_X3b_1,39337.8,20000,6208.0,22788.9,10340.9
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,39235.1,20000,6176.8,22733.7,10324.5
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,39134.4,20000,6150.0,22706.2,10278.2
96,atr7_m0p5_r2_n3_E1_X3b_1,37122.0,20000,5293.6,21149.9,10678.5
100,atr7_m0p5_r2_n3_E1_X3c_1_5,37113.4,20000,5288.5,21161.0,10664.0
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,37111.5,12341,6405.4,17158.3,13547.8
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,37108.6,12341,6404.5,17164.3,13539.7
2592,atr20_m0p5_r3_n4_E1_X3b_1,37099.8,12341,6404.5,17159.2,13536.0
102,atr7_m0p5_r2_n3_E1_X3c_1_3,37084.9,20000,5267.6,21171.0,10646.3
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,35742.0,12262,5967.1,17013.7,12761.2
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,35738.1,12262,5964.3,17012.1,12761.6
1392,atr14_m0p5_r3_n4_E1_X3b_1,35736.9,12262,5964.3,17012.1,12760.4
196,atr7_m0p5_r3_n4_E1_X3c_1_5,32455.4,11844,5238.6,15260.9,11955.9
192,atr7_m0p5_r3_n4_E1_X3b_1,32453.6,11844,5238.6,15260.9,11954.1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,32451.2,11844,5238.6,15258.5,11954.1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,31683.7,9414,5371.3,14781.3,11531.0
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,31682.6,9414,5398.1,14764.6,11519.9
2432,atr20_m0p5_r1_n4_E1_X3b_1,31654.5,9412,5357.2,14781.7,11515.6
1232,atr14_m0p5_r1_n4_E1_X3b_1,28929.4,8806,5042.6,13404.8,10481.9
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,28915.7,8806,5036.9,13398.3,10480.6
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,28886.7,8807,5034.2,13373.6,10478.9
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,28867.9,7755,5017.1,13710.9,10139.8
2512,atr20_m0p5_r2_n4_E1_X3b_1,28865.8,7755,5017.5,13705.8,10142.5
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,28856.4,7755,5010.1,13701.8,10144.5
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,26974.9,7379,4792.4,12545.9,9636.6
1312,atr14_m0p5_r2_n4_E1_X3b_1,26973.8,7379,4786.6,12559.5,9627.7
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,26962.7,7379,4782.1,12552.2,9628.5
32,atr7_m0p5_r1_n4_E1_X3b_1,25557.4,7957,4486.8,12121.7,8948.9
36,atr7_m0p5_r1_n4_E1_X3c_1_5,25494.3,7957,4461.1,12083.1,8950.1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,25442.7,7957,4426.1,12082.6,8933.9
116,atr7_m0p5_r2_n4_E1_X3c_1_5,24378.1,6695,4069.5,11488.3,8820.3
118,atr7_m0p5_r2_n4_E1_X3c_1_3,24362.0,6695,4041.2,11489.4,8831.3
112,atr7_m0p5_r2_n4_E1_X3b_1,24361.9,6695,4069.7,11471.2,8821.0
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,23493.0,6249,4208.6,10442.3,8842.1
2608,atr20_m0p5_r3_n5_E1_X3b_1,23493.0,6249,4208.6,10442.3,8842.1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,23488.9,6249,4208.6,10438.1,8842.1
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,23303.5,6266,4234.4,10801.8,8267.3
1408,atr14_m0p5_r3_n5_E1_X3b_1,23302.2,6266,4234.4,10801.8,8266.1
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,23299.4,6266,4234.4,10801.8,8263.2
