ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2576,atr20_m0p5_r3_n3_E1_X3b_1,44934.4,20000,0.0,1206.9,71.82,1
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,44937.5,20000,0.0,1203.3,71.81,1
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,44934.4,20000,0.0,1188.4,71.81,1
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,44373.5,20000,0.0,1230.6,70.72,1
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,44349.4,20000,0.0,1223.7,70.7,1
1376,atr14_m0p5_r3_n3_E1_X3b_1,44351.6,20000,0.0,1219.1,70.69,1
176,atr7_m0p5_r3_n3_E1_X3b_1,40686.9,20000,0.0,1130.8,64.76,1
180,atr7_m0p5_r3_n3_E1_X3c_1_5,40676.7,20000,0.0,1137.0,64.75,1
182,atr7_m0p5_r3_n3_E1_X3c_1_3,40666.5,20000,0.0,1146.5,64.73,1
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,39705.9,20000,0.0,1328.5,63.21,1
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,39692.1,20000,0.0,1246.6,63.21,1
2496,atr20_m0p5_r2_n3_E1_X3b_1,39747.4,20000,0.0,1231.5,63.18,1
1296,atr14_m0p5_r2_n3_E1_X3b_1,39337.8,20000,0.0,1208.7,62.65,1
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,39235.1,20000,0.0,1208.2,62.49,1
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,39134.4,20000,0.0,1238.0,62.39,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,37111.5,12341,0.0,1230.1,59.02,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,37108.6,12341,0.0,1222.5,59.02,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,37099.8,12341,0.0,1221.8,59.0,1
96,atr7_m0p5_r2_n3_E1_X3b_1,37122.0,20000,0.0,1131.3,58.97,1
100,atr7_m0p5_r2_n3_E1_X3c_1_5,37113.4,20000,0.0,1285.0,58.89,1
102,atr7_m0p5_r2_n3_E1_X3c_1_3,37084.9,20000,0.0,1150.1,58.88,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,35742.0,12262,0.0,1122.7,56.95,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,35738.1,12262,0.0,1128.3,56.94,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,35736.9,12262,0.0,1127.9,56.94,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,32455.4,11844,0.0,1108.2,51.6,1
192,atr7_m0p5_r3_n4_E1_X3b_1,32453.6,11844,0.0,1106.7,51.6,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,32451.2,11844,0.0,1100.7,51.59,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,31683.7,9414,0.0,1099.1,50.34,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,31682.6,9414,0.0,1113.3,50.34,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,31654.5,9412,0.0,1011.5,50.23,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,28929.4,8806,0.0,998.5,45.96,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,28915.7,8806,0.0,999.8,45.95,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,28886.7,8807,0.0,1025.2,45.87,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,28867.9,7755,0.0,993.2,45.86,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,28865.8,7755,0.0,994.3,45.85,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,28856.4,7755,0.0,1010.5,45.84,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,26974.9,7379,0.0,993.1,42.8,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,26973.8,7379,0.0,990.1,42.8,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,26962.7,7379,0.0,995.1,42.8,1
32,atr7_m0p5_r1_n4_E1_X3b_1,25557.4,7957,0.0,940.4,40.47,1
36,atr7_m0p5_r1_n4_E1_X3c_1_5,25494.3,7957,0.0,949.5,40.38,1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,25442.7,7957,0.0,956.1,40.27,1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,24378.1,6695,0.0,921.5,38.63,1
118,atr7_m0p5_r2_n4_E1_X3c_1_3,24362.0,6695,0.0,913.5,38.63,1
112,atr7_m0p5_r2_n4_E1_X3b_1,24361.9,6695,0.0,928.5,38.61,1
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,23493.0,6249,0.0,959.1,37.14,1
2608,atr20_m0p5_r3_n5_E1_X3b_1,23493.0,6249,0.0,959.1,37.14,1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,23488.9,6249,0.0,956.0,37.14,1
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,23303.5,6266,0.0,994.9,36.85,1
1408,atr14_m0p5_r3_n5_E1_X3b_1,23302.2,6266,0.0,993.8,36.85,1
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,23299.4,6266,0.0,996.5,36.84,1
208,atr7_m0p5_r3_n5_E1_X3b_1,21240.8,6061,0.0,978.5,33.48,1
212,atr7_m0p5_r3_n5_E1_X3c_1_5,21240.8,6061,0.0,978.5,33.48,1
214,atr7_m0p5_r3_n5_E1_X3c_1_3,21240.8,6061,0.0,978.5,33.48,1
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,17644.1,2859,0.0,870.6,27.82,1
2448,atr20_m0p5_r1_n5_E1_X3b_1,17643.3,2859,0.0,890.9,27.81,1
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,17632.6,2859,0.0,880.5,27.81,1
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,16557.2,2636,0.0,838.5,26.09,1
2528,atr20_m0p5_r2_n5_E1_X3b_1,16555.3,2636,0.0,836.8,26.09,1
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,16554.7,2636,0.0,837.4,26.09,1
1248,atr14_m0p5_r1_n5_E1_X3b_1,15945.5,2551,0.0,837.6,25.17,1
1252,atr14_m0p5_r1_n5_E1_X3c_1_5,15941.3,2551,0.0,853.7,25.16,1
1254,atr14_m0p5_r1_n5_E1_X3c_1_3,15931.4,2551,0.0,856.7,25.13,1
1328,atr14_m0p5_r2_n5_E1_X3b_1,15209.4,2406,0.0,827.0,23.92,1
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,15205.3,2406,0.0,821.7,23.92,1
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,15203.8,2406,0.0,821.0,23.92,1
2624,atr20_m0p5_r3_n6_E1_X3b_1,14989.2,3150,0.0,832.7,23.39,1
2630,atr20_m0p5_r3_n6_E1_X3c_1_3,14989.2,3150,0.0,832.7,23.39,1
2628,atr20_m0p5_r3_n6_E1_X3c_1_5,14989.2,3150,0.0,832.7,23.39,1
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,14458.5,3154,0.0,803.3,22.61,1
1424,atr14_m0p5_r3_n6_E1_X3b_1,14458.5,3154,0.0,803.3,22.61,1
1428,atr14_m0p5_r3_n6_E1_X3c_1_5,14458.5,3154,0.0,803.3,22.61,1
54,atr7_m0p5_r1_n5_E1_X3c_1_3,13763.2,2109,0.0,762.8,21.66,1
48,atr7_m0p5_r1_n5_E1_X3b_1,13755.7,2109,0.0,765.5,21.65,1
52,atr7_m0p5_r1_n5_E1_X3c_1_5,13755.8,2109,0.0,766.1,21.64,1
228,atr7_m0p5_r3_n6_E1_X3c_1_5,13571.6,3129,0.0,781.8,21.18,1
230,atr7_m0p5_r3_n6_E1_X3c_1_3,13571.6,3129,0.0,781.8,21.18,1
224,atr7_m0p5_r3_n6_E1_X3b_1,13571.6,3129,0.0,781.8,21.18,1
132,atr7_m0p5_r2_n5_E1_X3c_1_5,13223.6,2061,0.0,737.8,20.69,1
128,atr7_m0p5_r2_n5_E1_X3b_1,13220.6,2061,0.0,736.8,20.69,1
134,atr7_m0p5_r2_n5_E1_X3c_1_3,13216.0,2061,0.0,729.6,20.68,1
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,11773.8,6721,0.0,923.0,17.86,1
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,11595.7,6703,0.0,925.4,17.49,1
2656,atr20_m1p0_r1_n3_E1_X3b_1,11325.8,6674,0.0,1038.1,17.01,1
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,10395.4,1064,0.0,759.5,16.19,1
2464,atr20_m0p5_r1_n6_E1_X3b_1,10375.4,1064,0.0,770.8,16.17,1
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,10375.4,1064,0.0,770.8,16.17,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,10604.6,6440,0.0,864.6,15.99,1
2736,atr20_m1p0_r2_n3_E1_X3b_1,10865.0,11170,0.0,1192.4,15.82,1
2740,atr20_m1p0_r2_n3_E1_X3c_1_5,10868.6,11173,0.0,1261.0,15.76,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,10813.6,11174,0.0,1101.7,15.74,1
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,10353.8,6428,0.0,891.8,15.56,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,10390.5,6399,0.0,1095.0,15.46,1
2544,atr20_m0p5_r2_n6_E1_X3b_1,9730.6,1014,0.0,692.0,15.19,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,9730.6,1014,0.0,692.0,15.19,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,9730.6,1014,0.0,692.0,15.19,1
1536,atr14_m1p0_r2_n3_E1_X3b_1,10060.7,10938,0.0,1227.6,14.49,1
1540,atr14_m1p0_r2_n3_E1_X3c_1_5,10058.8,10941,0.0,1271.8,14.48,1
1542,atr14_m1p0_r2_n3_E1_X3c_1_3,10044.1,10946,0.0,1186.9,14.41,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9260.1,2846,0.0,714.6,14.12,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,9064.2,899,0.0,626.2,14.11,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,9059.0,899,0.0,626.2,14.1,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,9059.0,899,0.0,626.2,14.1,1
2519,atr20_m0p5_r2_n4_E1_X3c_2_3,9380.9,7659,0.0,892.0,14.05,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9178.5,2849,0.0,726.2,14.0,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9123.5,2845,0.0,686.8,13.89,1
2517,atr20_m0p5_r2_n4_E1_X3c_2_5,9290.2,7648,0.0,864.6,13.77,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,8727.3,2627,0.0,670.6,13.34,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,8747.1,2629,0.0,632.9,13.32,1
2513,atr20_m0p5_r2_n4_E1_X3b_2,8990.3,7636,0.0,894.5,13.28,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,8585.5,883,0.0,617.5,13.28,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,8585.5,883,0.0,617.5,13.28,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,8585.5,883,0.0,617.5,13.28,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,8592.4,2625,0.0,631.8,13.1,1
2439,atr20_m0p5_r1_n4_E1_X3c_2_3,8641.5,9275,0.0,973.2,12.6,1
2437,atr20_m0p5_r1_n4_E1_X3c_2_5,8620.6,9255,0.0,947.6,12.54,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,8226.5,2544,0.0,688.4,12.45,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,8215.7,2543,0.0,616.7,12.44,1
262,atr7_m1p0_r1_n3_E1_X3c_1_3,8367.9,5929,0.0,826.2,12.42,1
260,atr7_m1p0_r1_n3_E1_X3c_1_5,8377.9,5920,0.0,836.3,12.38,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,8118.2,2398,0.0,624.4,12.31,1
1319,atr14_m0p5_r2_n4_E1_X3c_2_3,8335.9,7286,0.0,866.2,12.3,1
1249,atr14_m0p5_r1_n5_E1_X3b_2,8112.8,2542,0.0,648.5,12.29,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,8037.3,2402,0.0,630.1,12.25,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,8008.4,2398,0.0,616.6,12.15,1
1317,atr14_m0p5_r2_n4_E1_X3c_2_5,8238.8,7274,0.0,866.8,12.13,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,7706.7,775,0.0,651.6,11.93,1
64,atr7_m0p5_r1_n6_E1_X3b_1,7704.9,775,0.0,650.0,11.92,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,7701.5,775,0.0,652.2,11.91,1
2433,atr20_m0p5_r1_n4_E1_X3b_2,8228.7,9228,0.0,1000.6,11.78,1
1313,atr14_m0p5_r2_n4_E1_X3b_2,8095.2,7267,0.0,913.1,11.76,1
256,atr7_m1p0_r1_n3_E1_X3b_1,8049.1,5900,0.0,980.3,11.69,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,7378.1,761,0.0,571.9,11.37,1
144,atr7_m0p5_r2_n6_E1_X3b_1,7378.1,761,0.0,571.9,11.37,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,7374.3,761,0.0,574.8,11.36,1
2609,atr20_m0p5_r3_n5_E1_X3b_2,7708.5,6188,0.0,849.3,11.24,1
