ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2592,atr20_m0p5_r3_n4_E1_X3b_1,40782.7,12702,0.0,64.59,16772.5,5063,39.28,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,40811.2,12703,0.0,64.76,16762.5,5063,39.26,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,40769.6,12703,0.0,64.7,16752.5,5063,39.23,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,39045.6,12679,0.0,61.86,15506.5,5059,36.32,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,39039.4,12679,0.0,61.85,15506.5,5059,36.32,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,39019.7,12679,0.0,61.81,15506.5,5059,36.32,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,35341.1,10711,0.0,55.92,14312.6,4232,33.52,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,35549.2,12294,0.0,56.19,14285.6,4996,33.46,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,35545.8,12294,0.0,56.19,14285.6,4996,33.46,1
192,atr7_m0p5_r3_n4_E1_X3b_1,35541.9,12293,0.0,56.24,14285.6,4996,33.46,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,35207.1,10711,0.0,55.7,14224.4,4232,33.31,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,35104.9,10712,0.0,55.47,14187.2,4233,33.23,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,33868.1,8144,0.0,53.64,13238.4,2978,31.0,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,33830.4,8144,0.0,53.57,13236.5,2978,31.0,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,33826.3,8144,0.0,53.56,13225.7,2978,30.97,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,32907.6,9947,0.0,51.96,12947.4,3964,30.32,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,32916.8,9948,0.0,51.87,12945.9,3964,30.32,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,32812.0,9948,0.0,51.73,12900.1,3964,30.21,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,31721.8,7701,0.0,50.12,12087.1,2784,28.31,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,31800.0,7699,0.0,50.25,12086.0,2784,28.31,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,31834.4,7698,0.0,50.37,12067.6,2784,28.26,1
