ci,name,is_pnl,is_ntrd,c0,c1,c2
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,45051.7,20000,12609.9,22927.0,9514.8
2576,atr20_m0p5_r3_n3_E1_X3b_1,45009.4,20000,12585.7,22927.0,9496.7
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,45005.4,20000,12583.0,22921.2,9501.2
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,42988.9,20000,11688.1,22620.9,8679.9
1376,atr14_m0p5_r3_n3_E1_X3b_1,42974.9,20000,11667.2,22628.8,8678.8
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,42961.4,20000,11665.2,22621.1,8675.2
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,40811.2,12703,10194.1,16094.5,14522.6
2592,atr20_m0p5_r3_n4_E1_X3b_1,40782.7,12702,10169.0,16094.5,14519.2
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,40769.6,12703,10175.5,16088.7,14505.4
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,40647.7,20000,11063.8,21173.9,8410.0
2496,atr20_m0p5_r2_n3_E1_X3b_1,40550.0,20000,11029.1,21126.2,8394.7
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,40443.6,20000,10977.4,21113.8,8352.4
180,atr7_m0p5_r3_n3_E1_X3c_1_5,39300.3,20000,10939.5,20125.8,8235.0
182,atr7_m0p5_r3_n3_E1_X3c_1_3,39272.1,20000,10917.8,20124.0,8230.2
176,atr7_m0p5_r3_n3_E1_X3b_1,39271.8,20000,10929.9,20110.0,8231.9
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,39045.6,12679,9521.8,16230.7,13293.1
1392,atr14_m0p5_r3_n4_E1_X3b_1,39039.4,12679,9517.8,16232.1,13289.5
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,39019.7,12679,9515.0,16223.3,13281.3
1296,atr14_m0p5_r2_n3_E1_X3b_1,38968.0,20000,9955.0,20974.4,8038.6
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,38888.7,20000,9950.7,20993.4,7944.7
