ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,45051.7,20000,0.0,1457.5,71.46,1
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,45005.4,20000,0.0,1480.5,71.41,1
2576,atr20_m0p5_r3_n3_E1_X3b_1,45009.4,20000,0.0,1514.4,71.4,1
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,42988.9,20000,0.0,1574.6,68.16,1
1376,atr14_m0p5_r3_n3_E1_X3b_1,42974.9,20000,0.0,1496.3,68.06,1
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,42961.4,20000,0.0,1535.8,68.0,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,40811.2,12703,0.0,1410.2,64.76,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,40769.6,12703,0.0,1395.9,64.7,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,40782.7,12702,0.0,1541.0,64.59,1
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,40647.7,20000,0.0,1516.7,64.18,1
2496,atr20_m0p5_r2_n3_E1_X3b_1,40550.0,20000,0.0,1563.5,64.1,1
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,40443.6,20000,0.0,1323.2,64.06,1
176,atr7_m0p5_r3_n3_E1_X3b_1,39271.8,20000,0.0,1422.2,62.08,1
180,atr7_m0p5_r3_n3_E1_X3c_1_5,39300.3,20000,0.0,1467.8,62.04,1
182,atr7_m0p5_r3_n3_E1_X3c_1_3,39272.1,20000,0.0,1483.2,61.99,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,39045.6,12679,0.0,1415.6,61.86,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,39039.4,12679,0.0,1417.6,61.85,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,39019.7,12679,0.0,1428.0,61.81,1
1296,atr14_m0p5_r2_n3_E1_X3b_1,38968.0,20000,0.0,1511.5,61.72,1
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,38888.7,20000,0.0,1378.7,61.62,1
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,38828.4,20000,0.0,1496.3,61.35,1
100,atr7_m0p5_r2_n3_E1_X3c_1_5,36229.2,20000,0.0,1405.5,57.09,1
96,atr7_m0p5_r2_n3_E1_X3b_1,36169.8,20000,0.0,1378.1,57.09,1
102,atr7_m0p5_r2_n3_E1_X3c_1_3,36097.4,20000,0.0,1423.9,56.79,1
192,atr7_m0p5_r3_n4_E1_X3b_1,35541.9,12293,0.0,1305.0,56.24,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,35549.2,12294,0.0,1350.2,56.19,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,35545.8,12294,0.0,1339.3,56.19,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,35341.1,10711,0.0,1415.6,55.92,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,35207.1,10711,0.0,1385.0,55.7,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,35104.9,10712,0.0,1302.2,55.47,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,33868.1,8144,0.0,1421.8,53.64,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,33830.4,8144,0.0,1430.0,53.57,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,33826.3,8144,0.0,1429.9,53.56,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,32907.6,9947,0.0,1234.0,51.96,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,32916.8,9948,0.0,1390.6,51.87,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,32812.0,9948,0.0,1353.6,51.73,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,31834.4,7698,0.0,1297.5,50.37,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,31800.0,7699,0.0,1171.9,50.25,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,31721.8,7701,0.0,1333.1,50.12,1
32,atr7_m0p5_r1_n4_E1_X3b_1,28857.3,8919,0.0,1186.3,45.48,1
36,atr7_m0p5_r1_n4_E1_X3c_1_5,28741.6,8920,0.0,1199.6,45.33,1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,28738.8,8921,0.0,1241.0,45.25,1
118,atr7_m0p5_r2_n4_E1_X3c_1_3,28259.6,6980,0.0,1157.4,44.65,1
112,atr7_m0p5_r2_n4_E1_X3b_1,28253.6,6980,0.0,1171.8,44.64,1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,28244.0,6980,0.0,1167.4,44.62,1
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,26924.2,6383,0.0,1181.5,42.33,1
2608,atr20_m0p5_r3_n5_E1_X3b_1,26923.7,6383,0.0,1179.8,42.33,1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,26895.3,6383,0.0,1188.6,42.25,1
1412,atr14_m0p5_r3_n5_E1_X3c_1_5,26047.1,6259,0.0,1064.1,41.03,1
1408,atr14_m0p5_r3_n5_E1_X3b_1,26043.5,6259,0.0,1066.0,41.03,1
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,26032.1,6259,0.0,1065.7,41.0,1
212,atr7_m0p5_r3_n5_E1_X3c_1_5,24300.4,6115,0.0,1077.8,38.22,1
208,atr7_m0p5_r3_n5_E1_X3b_1,24300.4,6115,0.0,1077.8,38.22,1
214,atr7_m0p5_r3_n5_E1_X3c_1_3,24295.9,6115,0.0,1078.4,38.21,1
2452,atr20_m0p5_r1_n5_E1_X3c_1_5,20803.7,3128,0.0,1089.5,32.59,1
2448,atr20_m0p5_r1_n5_E1_X3b_1,20795.8,3128,0.0,1082.5,32.59,1
2454,atr20_m0p5_r1_n5_E1_X3c_1_3,20790.0,3128,0.0,1091.6,32.57,1
2532,atr20_m0p5_r2_n5_E1_X3c_1_5,20222.2,2720,0.0,1097.7,31.69,1
2528,atr20_m0p5_r2_n5_E1_X3b_1,20203.6,2720,0.0,1100.6,31.66,1
2534,atr20_m0p5_r2_n5_E1_X3c_1_3,20190.7,2720,0.0,1099.9,31.65,1
1248,atr14_m0p5_r1_n5_E1_X3b_1,19284.9,2798,0.0,1105.5,30.2,1
1252,atr14_m0p5_r1_n5_E1_X3c_1_5,19277.8,2798,0.0,1095.8,30.17,1
1254,atr14_m0p5_r1_n5_E1_X3c_1_3,19265.2,2798,0.0,1107.2,30.17,1
1328,atr14_m0p5_r2_n5_E1_X3b_1,18105.3,2430,0.0,1061.8,28.35,1
1332,atr14_m0p5_r2_n5_E1_X3c_1_5,18100.8,2430,0.0,1065.6,28.33,1
1334,atr14_m0p5_r2_n5_E1_X3c_1_3,18091.5,2430,0.0,1059.6,28.31,1
2628,atr20_m0p5_r3_n6_E1_X3c_1_5,17905.9,3181,0.0,1019.8,27.86,1
2624,atr20_m0p5_r3_n6_E1_X3b_1,17905.9,3181,0.0,1019.8,27.86,1
2630,atr20_m0p5_r3_n6_E1_X3c_1_3,17893.4,3181,0.0,1012.4,27.83,1
1430,atr14_m0p5_r3_n6_E1_X3c_1_3,17016.8,3112,0.0,1006.9,26.45,1
1424,atr14_m0p5_r3_n6_E1_X3b_1,17016.8,3112,0.0,1006.9,26.45,1
1428,atr14_m0p5_r3_n6_E1_X3c_1_5,17016.8,3112,0.0,1006.9,26.45,1
48,atr7_m0p5_r1_n5_E1_X3b_1,16395.5,2254,0.0,937.6,25.65,1
52,atr7_m0p5_r1_n5_E1_X3c_1_5,16381.4,2254,0.0,954.8,25.63,1
54,atr7_m0p5_r1_n5_E1_X3c_1_3,16369.7,2254,0.0,954.0,25.62,1
132,atr7_m0p5_r2_n5_E1_X3c_1_5,15912.3,2121,0.0,880.5,24.84,1
128,atr7_m0p5_r2_n5_E1_X3b_1,15905.6,2121,0.0,882.3,24.82,1
134,atr7_m0p5_r2_n5_E1_X3c_1_3,15886.0,2121,0.0,883.7,24.8,1
228,atr7_m0p5_r3_n6_E1_X3c_1_5,15525.5,3068,0.0,904.3,24.11,1
224,atr7_m0p5_r3_n6_E1_X3b_1,15525.5,3068,0.0,904.3,24.11,1
230,atr7_m0p5_r3_n6_E1_X3c_1_3,15521.7,3068,0.0,900.5,24.1,1
2464,atr20_m0p5_r1_n6_E1_X3b_1,13000.5,1144,0.0,936.9,20.16,1
2468,atr20_m0p5_r1_n6_E1_X3c_1_5,12987.6,1144,0.0,941.2,20.15,1
2470,atr20_m0p5_r1_n6_E1_X3c_1_3,12987.3,1144,0.0,940.9,20.14,1
2548,atr20_m0p5_r2_n6_E1_X3c_1_5,12428.7,1055,0.0,876.4,19.26,1
2544,atr20_m0p5_r2_n6_E1_X3b_1,12427.7,1055,0.0,875.5,19.26,1
2550,atr20_m0p5_r2_n6_E1_X3c_1_3,12424.7,1055,0.0,873.4,19.25,1
1264,atr14_m0p5_r1_n6_E1_X3b_1,11587.7,997,0.0,861.3,17.89,1
1268,atr14_m0p5_r1_n6_E1_X3c_1_5,11576.9,997,0.0,864.7,17.87,1
1270,atr14_m0p5_r1_n6_E1_X3c_1_3,11575.2,997,0.0,863.7,17.87,1
1344,atr14_m0p5_r2_n6_E1_X3b_1,11120.9,931,0.0,828.6,17.24,1
1348,atr14_m0p5_r2_n6_E1_X3c_1_5,11112.7,931,0.0,826.6,17.23,1
1350,atr14_m0p5_r2_n6_E1_X3c_1_3,11108.7,931,0.0,830.2,17.22,1
2662,atr20_m1p0_r1_n3_E1_X3c_1_3,11420.5,6458,0.0,1159.8,16.93,1
2660,atr20_m1p0_r1_n3_E1_X3c_1_5,11118.7,6446,0.0,1156.6,16.33,1
2533,atr20_m0p5_r2_n5_E1_X3c_2_5,10558.4,2713,0.0,880.6,15.99,1
2656,atr20_m1p0_r1_n3_E1_X3b_1,10931.6,6415,0.0,1204.7,15.98,1
2535,atr20_m0p5_r2_n5_E1_X3c_2_3,10532.6,2713,0.0,894.2,15.95,1
2529,atr20_m0p5_r2_n5_E1_X3b_2,10448.6,2713,0.0,889.6,15.81,1
1462,atr14_m1p0_r1_n3_E1_X3c_1_3,10390.8,6150,0.0,1192.3,15.12,1
70,atr7_m0p5_r1_n6_E1_X3c_1_3,9796.5,841,0.0,809.3,15.07,1
68,atr7_m0p5_r1_n6_E1_X3c_1_5,9792.7,841,0.0,805.6,15.06,1
64,atr7_m0p5_r1_n6_E1_X3b_1,9792.7,841,0.0,805.6,15.06,1
2455,atr20_m0p5_r1_n5_E1_X3c_2_3,9978.5,3110,0.0,892.6,14.95,1
2453,atr20_m0p5_r1_n5_E1_X3c_2_5,9925.6,3110,0.0,927.9,14.88,1
1460,atr14_m1p0_r1_n3_E1_X3c_1_5,10238.5,6141,0.0,1155.0,14.85,1
2449,atr20_m0p5_r1_n5_E1_X3b_2,9931.1,3108,0.0,898.9,14.82,1
144,atr7_m0p5_r2_n6_E1_X3b_1,9374.2,799,0.0,808.5,14.37,1
148,atr7_m0p5_r2_n6_E1_X3c_1_5,9374.2,799,0.0,808.5,14.37,1
150,atr7_m0p5_r2_n6_E1_X3c_1_3,9368.5,799,0.0,812.5,14.36,1
1329,atr14_m0p5_r2_n5_E1_X3b_2,9555.9,2420,0.0,887.1,14.36,1
1335,atr14_m0p5_r2_n5_E1_X3c_2_3,9390.1,2421,0.0,835.2,14.16,1
1333,atr14_m0p5_r2_n5_E1_X3c_2_5,9382.0,2420,0.0,842.2,14.15,1
1456,atr14_m1p0_r1_n3_E1_X3b_1,9668.9,6119,0.0,1381.2,13.8,1
1253,atr14_m0p5_r1_n5_E1_X3c_2_5,9094.1,2790,0.0,856.6,13.54,1
1255,atr14_m0p5_r1_n5_E1_X3c_2_3,9049.6,2790,0.0,818.2,13.51,1
2742,atr20_m1p0_r2_n3_E1_X3c_1_3,9815.0,11030,0.0,1596.3,13.39,1
2756,atr20_m1p0_r2_n4_E1_X3c_1_5,9237.6,3733,0.0,1179.7,13.38,1
