ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,29653.1,11585,0.0,46.92,10623.5,5310,24.91,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,29646.6,11585,0.0,46.91,10621.7,5310,24.9,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,29642.8,11585,0.0,46.89,10619.8,5310,24.9,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,28443.3,11523,0.0,44.94,10453.9,5257,24.51,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,28468.2,11523,0.0,44.99,10444.4,5257,24.49,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,28460.1,11523,0.0,44.97,10444.4,5257,24.49,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,28555.3,8732,0.0,45.26,10145.4,3713,23.79,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,28541.8,8735,0.0,45.22,10125.0,3714,23.74,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,28486.7,8735,0.0,45.13,10045.5,3714,23.55,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,25629.8,7955,0.0,40.57,9324.0,3397,21.86,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,25614.0,7958,0.0,40.49,9272.5,3397,21.74,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,25655.1,7958,0.0,40.56,9271.6,3397,21.74,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,25824.4,11135,0.0,40.83,8965.0,5078,21.02,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,25832.7,11135,0.0,40.85,8967.4,5078,21.02,1
192,atr7_m0p5_r3_n4_E1_X3b_1,25835.5,11135,0.0,40.85,8964.1,5078,21.02,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,25148.9,7432,0.0,39.72,8871.7,3129,20.8,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,25207.5,7431,0.0,39.88,8865.6,3129,20.79,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,25147.6,7433,0.0,39.67,8865.8,3129,20.79,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,23523.9,6990,0.0,37.13,8574.2,2962,20.1,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,23559.7,6989,0.0,37.2,8560.9,2962,20.07,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,23529.0,6991,0.0,37.12,8525.6,2962,19.99,1
32,atr7_m0p5_r1_n4_E1_X3b_1,22705.5,7036,0.0,35.88,8065.8,3011,18.91,1
36,atr7_m0p5_r1_n4_E1_X3c_1_5,22718.5,7037,0.0,35.84,8067.4,3012,18.91,1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,22665.2,7037,0.0,35.76,8026.2,3012,18.82,1
116,atr7_m0p5_r2_n4_E1_X3c_1_5,20414.3,6261,0.0,32.14,7485.2,2681,17.55,1
112,atr7_m0p5_r2_n4_E1_X3b_1,20449.2,6260,0.0,32.22,7466.5,2681,17.51,1
118,atr7_m0p5_r2_n4_E1_X3c_1_3,20438.1,6262,0.0,32.18,7459.6,2683,17.49,1
2612,atr20_m0p5_r3_n5_E1_X3c_1_5,18984.8,5968,0.0,29.7,7236.0,2698,16.97,1
2608,atr20_m0p5_r3_n5_E1_X3b_1,18984.8,5968,0.0,29.7,7234.3,2698,16.96,1
2614,atr20_m0p5_r3_n5_E1_X3c_1_3,18996.0,5968,0.0,29.72,7228.6,2698,16.95,1
1414,atr14_m0p5_r3_n5_E1_X3c_1_3,18990.7,6048,0.0,29.76,6912.8,2682,16.21,1
