ci,name,is_pnl,is_ntrd,c0,c1,c2
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,40938.3,20000,14541.4,18182.0,8214.9
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,40933.6,20000,14550.2,18165.9,8217.6
2576,atr20_m0p5_r3_n3_E1_X3b_1,40931.8,20000,14541.4,18175.5,8214.9
1376,atr14_m0p5_r3_n3_E1_X3b_1,39255.0,20000,13667.8,17573.2,8013.9
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,39252.4,20000,13677.9,17570.2,8004.3
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,39248.3,20000,13667.8,17579.9,8000.5
2496,atr20_m0p5_r2_n3_E1_X3b_1,38078.6,20000,13140.5,17577.6,7360.5
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,38009.0,20000,13134.5,17524.9,7349.5
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,37920.1,20000,13129.5,17464.6,7326.1
176,atr7_m0p5_r3_n3_E1_X3b_1,36787.5,19967,12591.4,16346.3,7849.7
180,atr7_m0p5_r3_n3_E1_X3c_1_5,36780.8,19968,12596.1,16340.3,7844.4
182,atr7_m0p5_r3_n3_E1_X3c_1_3,36778.6,19968,12596.0,16340.7,7841.9
1296,atr14_m0p5_r2_n3_E1_X3b_1,35578.3,20000,12307.1,16218.3,7052.9
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,35500.0,20000,12253.4,16203.2,7043.5
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,35461.1,20000,12266.6,16162.7,7031.8
2416,atr20_m0p5_r1_n3_E1_X3b_1,34417.1,20000,14977.3,19000.2,439.6
2420,atr20_m0p5_r1_n3_E1_X3c_1_5,34357.8,20000,14952.7,19004.7,400.5
2422,atr20_m0p5_r1_n3_E1_X3c_1_3,34190.7,20000,14937.5,18885.5,367.7
96,atr7_m0p5_r2_n3_E1_X3b_1,32859.4,20000,11121.4,15270.4,6467.7
100,atr7_m0p5_r2_n3_E1_X3c_1_5,32834.2,20000,11118.8,15272.4,6443.0
102,atr7_m0p5_r2_n3_E1_X3c_1_3,32686.7,20000,11121.6,15161.3,6403.8
1216,atr14_m0p5_r1_n3_E1_X3b_1,32163.4,20000,13934.2,17531.8,697.4
1220,atr14_m0p5_r1_n3_E1_X3c_1_5,32139.1,20000,13958.2,17518.5,662.3
1222,atr14_m0p5_r1_n3_E1_X3c_1_3,31969.1,20000,13964.6,17367.2,637.3
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,29653.1,11585,10336.4,12147.7,7169.0
2592,atr20_m0p5_r3_n4_E1_X3b_1,29646.6,11585,10336.4,12141.2,7169.0
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,29642.8,11585,10345.2,12126.9,7170.7
16,atr7_m0p5_r1_n3_E1_X3b_1,28912.1,20000,11977.4,16321.7,613.1
20,atr7_m0p5_r1_n3_E1_X3c_1_5,28904.9,20000,11972.2,16340.0,592.7
22,atr7_m0p5_r1_n3_E1_X3c_1_3,28714.4,20000,11979.2,16146.0,589.2
2432,atr20_m0p5_r1_n4_E1_X3b_1,28555.3,8732,9779.5,11714.5,7061.3
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,28541.8,8735,9782.7,11705.0,7054.0
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,28486.7,8735,9764.2,11662.6,7060.0
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,28468.2,11523,9832.0,11978.6,6657.7
1392,atr14_m0p5_r3_n4_E1_X3b_1,28460.1,11523,9832.0,11970.4,6657.7
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,28443.3,11523,9835.0,11946.4,6662.0
192,atr7_m0p5_r3_n4_E1_X3b_1,25835.5,11135,8917.0,10621.4,6297.1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,25832.7,11135,8921.6,10614.0,6297.1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,25824.4,11135,8917.0,10610.5,6296.9
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,25655.1,7958,8929.2,10377.4,6348.4
