ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
2580,atr20_m0p5_r3_n3_E1_X3c_1_5,40938.3,20000,0.0,1240.8,65.22,1
2582,atr20_m0p5_r3_n3_E1_X3c_1_3,40933.6,20000,0.0,1246.3,65.2,1
2576,atr20_m0p5_r3_n3_E1_X3b_1,40931.8,20000,0.0,1245.9,65.2,1
1382,atr14_m0p5_r3_n3_E1_X3c_1_3,39252.4,20000,0.0,1288.5,62.36,1
1376,atr14_m0p5_r3_n3_E1_X3b_1,39255.0,20000,0.0,1264.6,62.35,1
1380,atr14_m0p5_r3_n3_E1_X3c_1_5,39248.3,20000,0.0,1272.1,62.35,1
2496,atr20_m0p5_r2_n3_E1_X3b_1,38078.6,20000,0.0,1202.5,60.44,1
2500,atr20_m0p5_r2_n3_E1_X3c_1_5,38009.0,20000,0.0,1293.1,60.37,1
2502,atr20_m0p5_r2_n3_E1_X3c_1_3,37920.1,20000,0.0,1240.5,60.23,1
176,atr7_m0p5_r3_n3_E1_X3b_1,36787.5,19967,0.0,1158.8,58.45,1
180,atr7_m0p5_r3_n3_E1_X3c_1_5,36780.8,19968,0.0,1247.2,58.43,1
182,atr7_m0p5_r3_n3_E1_X3c_1_3,36778.6,19968,0.0,1239.8,58.42,1
1296,atr14_m0p5_r2_n3_E1_X3b_1,35578.3,20000,0.0,1239.5,56.4,1
1300,atr14_m0p5_r2_n3_E1_X3c_1_5,35500.0,20000,0.0,1350.9,56.28,1
1302,atr14_m0p5_r2_n3_E1_X3c_1_3,35461.1,20000,0.0,1228.8,56.18,1
2416,atr20_m0p5_r1_n3_E1_X3b_1,34417.1,20000,0.0,1142.2,54.47,1
2420,atr20_m0p5_r1_n3_E1_X3c_1_5,34357.8,20000,0.0,1222.3,54.47,1
2422,atr20_m0p5_r1_n3_E1_X3c_1_3,34190.7,20000,0.0,1126.5,54.24,1
100,atr7_m0p5_r2_n3_E1_X3c_1_5,32834.2,20000,0.0,1188.1,52.04,1
96,atr7_m0p5_r2_n3_E1_X3b_1,32859.4,20000,0.0,1224.2,52.03,1
102,atr7_m0p5_r2_n3_E1_X3c_1_3,32686.7,20000,0.0,1173.7,51.72,1
1216,atr14_m0p5_r1_n3_E1_X3b_1,32163.4,20000,0.0,1140.5,50.89,1
1220,atr14_m0p5_r1_n3_E1_X3c_1_5,32139.1,20000,0.0,1160.9,50.72,1
1222,atr14_m0p5_r1_n3_E1_X3c_1_3,31969.1,20000,0.0,1170.9,50.51,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,29653.1,11585,0.0,1118.6,46.92,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,29646.6,11585,0.0,1114.7,46.91,1
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,29642.8,11585,0.0,1118.0,46.89,1
16,atr7_m0p5_r1_n3_E1_X3b_1,28912.1,20000,0.0,1167.0,45.52,1
20,atr7_m0p5_r1_n3_E1_X3c_1_5,28904.9,20000,0.0,1176.3,45.52,1
22,atr7_m0p5_r1_n3_E1_X3c_1_3,28714.4,20000,0.0,1140.8,45.35,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,28555.3,8732,0.0,1080.5,45.26,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,28541.8,8735,0.0,1002.4,45.22,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,28486.7,8735,0.0,995.4,45.13,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,28468.2,11523,0.0,1130.9,44.99,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,28460.1,11523,0.0,1134.4,44.97,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,28443.3,11523,0.0,1145.5,44.94,1
192,atr7_m0p5_r3_n4_E1_X3b_1,25835.5,11135,0.0,1016.3,40.85,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,25832.7,11135,0.0,1020.6,40.85,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,25824.4,11135,0.0,1014.7,40.83,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,25629.8,7955,0.0,997.6,40.57,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,25655.1,7958,0.0,990.8,40.56,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,25614.0,7958,0.0,1006.8,40.49,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,25207.5,7431,0.0,1069.4,39.88,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,25148.9,7432,0.0,1010.7,39.72,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,25147.6,7433,0.0,1010.0,39.67,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,23559.7,6989,0.0,1005.7,37.2,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,23523.9,6990,0.0,1072.2,37.13,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,23529.0,6991,0.0,988.0,37.12,1
32,atr7_m0p5_r1_n4_E1_X3b_1,22705.5,7036,0.0,923.4,35.88,1
