ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
2598,atr20_m0p5_r3_n4_E1_X3c_1_3,34867.5,11619,0.0,55.36,22240.1,5944,52.12,1
2592,atr20_m0p5_r3_n4_E1_X3b_1,34889.1,11619,0.0,55.39,22230.2,5944,52.1,1
2596,atr20_m0p5_r3_n4_E1_X3c_1_5,34890.3,11619,0.0,55.39,22230.2,5944,52.1,1
1398,atr14_m0p5_r3_n4_E1_X3c_1_3,33504.8,11469,0.0,53.06,21141.7,5886,49.55,1
1392,atr14_m0p5_r3_n4_E1_X3b_1,33539.5,11468,0.0,53.04,21141.7,5886,49.55,1
1396,atr14_m0p5_r3_n4_E1_X3c_1_5,33512.4,11469,0.0,53.07,21138.6,5886,49.54,1
2436,atr20_m0p5_r1_n4_E1_X3c_1_5,30969.2,8469,0.0,49.07,20168.0,4757,47.27,1
2438,atr20_m0p5_r1_n4_E1_X3c_1_3,30826.5,8469,0.0,48.86,20162.4,4758,47.25,1
2432,atr20_m0p5_r1_n4_E1_X3b_1,31038.7,8469,0.0,49.17,20106.2,4757,47.12,1
192,atr7_m0p5_r3_n4_E1_X3b_1,30059.4,11090,0.0,47.54,19974.8,5632,46.81,1
196,atr7_m0p5_r3_n4_E1_X3c_1_5,30058.6,11090,0.0,47.54,19954.9,5632,46.77,1
198,atr7_m0p5_r3_n4_E1_X3c_1_3,30060.9,11090,0.0,47.54,19951.0,5632,46.76,1
1238,atr14_m0p5_r1_n4_E1_X3c_1_3,28633.0,7885,0.0,45.33,18301.3,4462,42.89,1
1236,atr14_m0p5_r1_n4_E1_X3c_1_5,28689.3,7885,0.0,45.44,18267.2,4462,42.81,1
1232,atr14_m0p5_r1_n4_E1_X3b_1,28761.8,7884,0.0,45.52,18268.9,4461,42.81,1
2518,atr20_m0p5_r2_n4_E1_X3c_1_3,28946.0,7743,0.0,45.83,18091.3,3761,42.4,1
2512,atr20_m0p5_r2_n4_E1_X3b_1,28990.3,7740,0.0,45.86,18087.4,3761,42.39,1
2516,atr20_m0p5_r2_n4_E1_X3c_1_5,28964.9,7742,0.0,45.74,18089.6,3761,42.39,1
1318,atr14_m0p5_r2_n4_E1_X3c_1_3,27053.0,7333,0.0,42.78,16740.0,3549,39.23,1
1312,atr14_m0p5_r2_n4_E1_X3b_1,27137.7,7331,0.0,42.93,16730.2,3548,39.21,1
1316,atr14_m0p5_r2_n4_E1_X3c_1_5,27104.0,7331,0.0,42.88,16732.7,3548,39.21,1
32,atr7_m0p5_r1_n4_E1_X3b_1,24485.7,6996,0.0,38.61,16000.2,4079,37.5,1
38,atr7_m0p5_r1_n4_E1_X3c_1_3,24296.9,6996,0.0,38.3,16001.7,4080,37.5,1
36,atr7_m0p5_r1_n4_E1_X3c_1_5,24378.1,6996,0.0,38.43,15982.1,4080,37.46,1
