tf,filter,threshold,hold,sig_day,win_pct,mean_ret,sharpe,pct_trend,pct_mr,pct_fade,pct_late,is_wf,oos_wf,p5,prob_pos,sp_med,gate
M30,all,2.4,12,0.1,43.3,-5.901,-0.945,33.3,48.3,8.3,10.0,3,1,,,2.5,2.5
M30,all,2.4,20,0.1,41.7,-13.527,-1.842,31.7,43.3,15.0,10.0,3,1,,,2.5,2.5
M30,sma10,2.4,12,0.1,42.4,-6.234,-0.992,32.2,49.2,8.5,10.2,3,1,,,2.5,2.5
M30,sma10,2.4,15,0.1,37.3,-7.908,-1.143,30.5,42.4,20.3,6.8,3,1,,,2.5,2.5
M30,sma10,2.4,20,0.1,40.7,-13.853,-1.873,32.2,44.1,15.3,8.5,3,1,,,2.5,2.5
H1,all,2.1,3,0.4,44.9,-2.603,-0.474,29.7,41.8,13.3,15.2,3,0,,,2.5,2.5
H1,all,2.3,3,0.1,38.9,-5.766,-0.789,29.6,46.3,14.8,9.3,3,1,,,2.5,2.5
H1,all,2.4,4,0.1,44.4,-6.394,-1.453,33.3,44.4,11.1,11.1,3,1,,,2.5,2.5
H1,sma10,2.1,3,0.4,45.2,-2.555,-0.464,29.9,41.4,13.4,15.3,3,0,,,2.5,2.5
H1,sma10,2.3,3,0.1,39.6,-5.684,-0.771,30.2,45.3,15.1,9.4,3,1,,,2.5,2.5
H1,sma10,2.4,4,0.1,44.4,-6.394,-1.453,33.3,44.4,11.1,11.1,3,1,,,2.5,2.5
