replicate,mean_net_pips,n_trades
0,26.409604891274913,47
1,-13.743003274332217,44
2,-31.866181946411857,30
3,35.233603337243494,38
4,3.7228533148383067,36
5,16.856143286547848,47
6,-12.146070233658207,44
7,46.134361593576905,45
8,26.86995842462765,46
9,38.91215978945359,38
10,-21.55456537503343,35
11,-17.293240155045158,42
12,47.31832391301162,41
13,30.565603018605074,47
14,12.187888015767756,44
15,37.65255066856015,40
16,56.39725786331992,46
17,58.864139566497556,34
18,18.047509379513976,40
19,28.672179140160594,43
20,64.49772329441757,39
21,17.516100452993783,37
22,30.97827323923922,37
23,33.67705902657055,41
24,18.261599666187028,34
25,-17.07738855706188,39
26,12.253134027102723,37
27,19.162479510638047,38
28,31.056370376291035,44
29,36.56609613222014,41
30,82.1955062917656,43
31,48.465505285464495,31
32,43.24480821561782,37
33,11.876957976084249,32
34,16.0505343915811,44
35,19.511627809392774,47
36,72.26248409456261,38
37,34.799823503695144,46
38,28.225843060833583,53
39,32.65833488908214,46
40,38.802186982323924,37
41,31.434636338323703,43
42,10.542194692318258,40
43,12.665672250241483,39
44,8.20238929356853,39
45,35.42076219076594,41
46,-3.7924491155956397,47
47,7.202005421404281,39
48,-16.179539328152632,44
49,-12.403111011693928,47
50,20.90254384389735,56
51,18.991683221171353,45
52,21.17530257107299,49
53,10.108095450208138,45
54,-7.454725533912377,43
55,-17.090131725830723,37
56,29.133853817125285,41
57,58.43681817347106,44
58,-18.08126283148655,42
59,17.477952458015263,38
60,-35.99076128894134,50
61,16.318067729609595,34
62,18.309434090357367,37
63,6.682964279952415,42
64,36.48037871746494,32
65,34.62038330513469,33
66,56.80573781429644,37
67,34.29141142299313,48
68,2.6093532144626037,40
69,11.682617060953037,39
70,24.851399603571206,42
71,29.208028983273444,29
72,28.11199200937498,39
73,78.2369341783205,50
74,20.364150841948113,35
75,48.57442538453005,40
76,-0.8803116514185514,33
77,-0.2306787365190759,41
78,55.85943457588809,53
79,27.723052813989796,48
80,46.74429661169332,52
81,57.394979051343576,51
82,35.41235275390799,35
83,29.409176554665976,41
84,0.9309747278120333,45
85,17.690441000463377,43
86,43.053965122769135,47
87,11.857574136193842,43
88,23.804206115580214,32
89,11.475733169724338,42
90,40.24273809970573,42
91,40.256902944771085,45
92,31.69649754308244,35
93,16.91345040857615,49
94,54.280109871898006,40
95,27.146050109455075,43
96,16.198185526509352,41
97,26.097113300148525,43
98,42.34384694891041,44
99,24.558018317396666,43
100,60.95251318108415,36
101,8.792933239637538,40
102,-8.3046678664037,30
103,16.13628621694707,42
104,-1.3214619193943293,40
105,11.125332689295714,50
106,17.523924395715408,34
107,-4.5129727527761005,44
108,20.31788020783687,49
109,56.921708792890584,37
110,12.135873286001889,33
111,-23.74053233582798,43
112,13.443661070674354,43
113,-15.69739488345579,39
114,43.983730769171814,42
115,9.366749389254409,45
116,5.316285562942514,51
117,12.245807844839625,43
118,52.56158695996706,41
119,7.925910528601173,46
120,43.09014034118262,42
121,18.109791920876148,35
122,44.12813849064199,43
123,-14.046507562923829,41
124,40.32345376911371,39
125,-15.221016771579617,33
126,-7.535693916501481,44
127,12.10974419223691,40
128,-9.340607791391566,34
129,22.870174116768943,41
130,75.58160000315604,48
131,7.313713912946363,43
132,28.52603644510888,44
133,-30.987815907193095,38
134,52.38188753530103,44
135,48.62270104324599,38
136,-2.1040963899646425,49
137,76.63078225057693,37
138,0.41925703310725554,46
139,48.051830443108024,47
140,15.42242073760836,41
141,22.727162554847858,40
142,12.563510276605097,49
143,18.293854110185144,40
144,15.921150596641562,28
145,16.168136552844576,41
146,58.66606228634253,44
147,33.81696765288077,46
148,50.14969886168859,42
149,24.657957824273538,44
150,-4.5851568230219915,39
151,15.157508791183801,45
152,23.37084289902742,36
153,-19.831925056562604,35
154,38.13212162258552,42
155,32.18814479241451,49
156,29.051491496727166,36
157,26.129951517045136,39
158,40.27952758770048,35
159,-7.147218896690638,36
160,27.606325735881892,47
161,31.17370763392463,38
162,38.357659474948754,40
163,11.734164316201769,38
164,9.988174435714656,39
165,-10.538116362847447,32
166,8.949436585595173,35
167,-22.619850795346267,37
168,-6.414760488325245,38
169,2.0328419422602453,46
170,19.84987085958377,48
171,-17.736206553522322,46
172,27.19996832305464,50
173,-36.175328067833206,36
174,21.53477342642796,34
175,-22.439167368815685,41
176,-1.2629723048952317,41
177,37.451892038848584,32
178,11.435088208039417,43
179,5.529398302590743,44
180,9.377699014757551,49
181,40.250595717209514,46
182,30.224739565692058,48
183,54.54361627046696,48
184,9.998914223148171,37
185,24.269702153155617,44
186,0.4118676300165305,36
187,36.699896093207144,33
188,21.755449997034724,51
189,34.694664535277425,50
190,85.00317759762211,41
191,25.897078589326178,40
192,47.17055194702316,45
193,65.29724426093237,41
194,32.14775526421903,44
195,-35.84714061907544,46
196,23.886785596388616,35
197,34.11150233859091,47
198,14.877360005679712,44
199,24.20909167765195,51
