pair,sig_tf,hold,d,is_n,is_wr,is_ppd,oos_n,oos_wr,oos_ppd,oos_dd
GBP_JPY,1,3072,trd,93,55.91397849462365,2.1874075025440063,40,60.0,6.500303362868676,-534.0000000000032
USD_JPY,3,512,ctr,554,44.94584837545126,-6.951703533921584,238,51.26050420168067,5.987237965412448,-1638.2000000000062
USD_JPY,48,512,trd,554,52.166064981949454,3.171815568223303,238,49.159663865546214,5.366808451647896,-1161.5000000000036
GBP_JPY,12,3072,ctr,93,51.61290322580645,3.9369351603948215,40,62.5,4.834645749338649,-1736.1000000000047
USD_JPY,12,512,trd,554,50.18050541516246,2.0865268378465793,238,47.89915966386555,4.181145293023513,-1133.8000000000166
USD_JPY,12,3072,trd,93,41.935483870967744,-3.214040051768938,40,60.0,3.8339003962431892,-1840.0000000000036
CHF_JPY,1,3072,trd,93,47.31182795698925,1.02464082830296,40,65.0,3.50971200166352,-1212.6999999999985
AUD_USD,1,3072,ctr,93,56.98924731182796,2.0734810658078304,40,62.5,3.430062266788379,-294.2999999999985
GBP_USD,1,3072,ctr,93,48.38709677419355,0.335903733488797,40,57.49999999999999,3.2654062359206324,-576.9000000000023
AUD_JPY,3,3072,ctr,93,51.61290322580645,1.4963799286695265,40,55.00000000000001,3.210909048900795,-517.8999999999945
NZD_JPY,3,3072,ctr,93,51.61290322580645,2.034542921783456,40,57.49999999999999,3.2036893360904912,-558.5000000000065
GBP_JPY,1,128,ctr,2201,47.16038164470695,-5.078390420770515,944,48.940677966101696,3.076762127005351,-1497.1000000000317
EUR_USD,12,512,trd,554,46.931407942238266,-1.2237133344530418,238,52.94117647058824,2.984536118202766,-840.1000000000146
EUR_JPY,1,256,ctr,1105,48.86877828054298,-0.5146606862348694,474,51.68776371308017,2.9656717073113668,-2048.1000000000154
USD_JPY,3,3072,trd,93,47.31182795698925,1.5588203795729945,40,50.0,2.6806094982844644,-1766.6000000000022
EUR_USD,1,3072,ctr,93,47.31182795698925,0.6992932157006047,40,55.00000000000001,2.648004343657234,-713.1000000000021
NZD_USD,3,3072,ctr,93,55.91397849462365,0.8294521779507721,40,65.0,2.620522856185644,-514.6000000000017
AUD_USD,3,3072,ctr,93,55.91397849462365,1.0114954702180636,40,67.5,2.549024409967339,-491.19999999999607
CHF_JPY,3,3072,ctr,93,53.76344086021505,-1.932865568717389,40,50.0,2.5415718031953696,-1353.9000000000015
GBP_USD,1,256,trd,1105,48.1447963800905,-2.221067586125016,474,50.84388185654009,2.5159534674167916,-1032.900000000031
AUD_JPY,3,512,trd,554,51.624548736462096,1.7100915835959845,238,51.26050420168067,2.4940614350241614,-738.5000000000006
AUD_JPY,1,256,ctr,1105,47.873303167420815,-2.0791574704353186,474,51.0548523206751,2.482649630904678,-1698.4000000000096
EUR_USD,1,256,trd,1105,47.601809954751126,-1.5317329750343243,474,49.15611814345991,2.4628536441667284,-1018.2000000000048
USD_JPY,1,3072,trd,93,49.46236559139785,3.0541048617354303,40,57.49999999999999,2.4092880329932975,-1479.600000000005
EUR_JPY,48,256,ctr,1105,46.9683257918552,-5.168615378535638,474,52.53164556962025,2.32032253965306,-1626.6000000000531
NZD_USD,1,512,ctr,554,50.0,0.8849216056273361,238,50.0,2.3035541744161203,-480.80000000002246
AUD_JPY,1,3072,ctr,93,54.83870967741935,0.28033471976605545,40,50.0,2.302622598569808,-770.6999999999994
EUR_USD,48,512,trd,554,48.55595667870036,-1.9058777502246835,238,47.89915966386555,2.2003821494170817,-709.0000000000197
EUR_JPY,12,3072,trd,93,49.46236559139785,-2.0172149497624354,40,47.5,2.170804616291005,-1504.900000000012
