fast,slow,ag,trig,ma,K,exp,wr,n,tdpp,pdpp,pairs_pos,pairs_n,wf_pos,med_meat,med_sp
10s,5m,both,reenter,5,1.0,-3.2823529313218422,0.001707455890722823,1757,5.630928597502013,-1.5402245823395602,0,12,0,0.27329758900629386,2.0000457763671875
10s,5m,both,reenter,9,1.0,-2.2632955856418846,0.024217766153250025,113553,363.9207939852852,-68.63836054584881,0,12,0,0.5924846249749649,1.9001960754394531
10s,5m,both,reenter,9,1.5,-4.153072952723254,0.03816793893129771,524,1.679343531639758,-0.5812030166319856,0,12,0,0.897013200211827,2.1999359130859375
10s,5m,both,reenter,14,1.0,-2.2625964885834624,0.044808220364838953,265487,850.8470919550466,-160.4269702149116,0,12,0,0.8049677277284673,1.9500732421875
10s,5m,both,reenter,14,1.5,-2.3309400766763257,0.0947380501520629,17427,55.85099184329401,-10.848776267471381,0,12,0,1.3167145221686383,1.949310302734375
10s,5m,both,reenter,14,2.0,-8.550413249055556,0.05970149253731343,67,0.21472522255699195,-0.1529991156548089,0,12,0,1.7707922665399778,5.0506591796875
10s,5m,both,reenter,20,1.0,-2.273966437148788,0.06756383104788354,329111,1054.7527271784206,-199.87269175790675,0,12,0,0.9951949597430954,1.9502639770507812
10s,5m,both,reenter,20,1.5,-2.2464753571440874,0.12719446004117538,53430,171.23535285403105,-32.05633337153777,0,12,0,1.6682541600089529,1.9502639770507812
10s,5m,both,reenter,20,2.0,-3.237895858356841,0.14581458145814583,1111,3.5605928695644486,-0.9607357421381356,0,12,0,2.4902480512409397,2.0999908447265625
10s,5m,both,reenter,50,1.0,-2.2973258769197598,0.1632021918035679,289077,926.4495994195158,-177.36305320069994,0,12,0,1.6669890148202526,1.9997358322143555
10s,5m,both,reenter,50,1.5,-2.224819500075932,0.20880179054757445,115272,369.42993812820265,-68.49291085495587,0,12,0,2.8060199646162687,1.9997358322143555
10s,5m,both,reenter,50,2.0,-2.289247325263107,0.18785547911814093,18461,59.16481094962132,-11.286907101343168,0,12,0,4.317041121301202,2.0003318786621094
10s,5m,both,reenter,50,2.5,-2.766132410164534,0.14422241529105126,1151,3.688787032285041,-0.8503061136831916,0,12,0,6.244118326448889,2.1495819091796875
10s,5m,both,close_beyond,5,1.0,-2.843997062275514,0.012199434229137199,5656,18.12665460869174,-4.296012704666851,0,12,0,0.44490733200452937,1.9997358322143555
10s,5m,both,close_beyond,9,1.0,-2.237890584334136,0.0360386992743886,223260,715.5157192249854,-133.43715758305518,0,12,0,0.8953173840772877,1.9496917724609375
10s,5m,both,close_beyond,9,1.5,-3.6369051735025546,0.0380517503805175,1314,4.211178245371454,-1.2763046622610712,0,12,0,0.9931626619973599,2.1495819091796875
10s,5m,both,close_beyond,14,1.0,-2.2147050565066553,0.05717788675880517,574208,1840.2528446866454,-339.6347733648558,0,12,0,1.2477140770556616,1.9991397857666016
10s,5m,both,close_beyond,14,1.5,-2.329781505374094,0.08816601568323444,33539,107.48760058714856,-20.868551992081354,0,12,0,1.6150229946816363,1.9502639770507812
10s,5m,both,close_beyond,14,2.0,-7.71081442941944,0.04895104895104895,143,0.45829413172611716,-0.29448508365266646,0,12,0,1.9762696119968837,4.900360107421875
10s,5m,both,close_beyond,20,1.0,-2.219435699546093,0.07470994264701705,774502,2482.165885385603,-459.08396485168686,0,12,0,1.5637908726660044,2.0000457763671875
10s,5m,both,close_beyond,20,1.5,-2.224689408743052,0.10144440084459144,107034,343.02835031589666,-63.59429482053139,0,12,0,2.090324712591496,1.9997358322143555
10s,5m,both,close_beyond,20,2.0,-3.1007752959595036,0.12621832358674465,2052,6.576360547566381,-1.6993180269347121,0,12,0,2.677638266797544,2.099609375
10s,5m,both,close_beyond,50,1.0,-2.2052646429196945,0.10793578158360756,856639,2745.4029839701348,-504.5283442596303,0,12,0,2.681436174327656,2.00042724609375
10s,5m,both,close_beyond,50,1.5,-2.189022385395074,0.11000271654098366,290811,932.0068163734536,-170.0153153651905,0,12,0,3.6152955170410728,2.00042724609375
10s,5m,both,close_beyond,50,2.0,-2.2609824126490348,0.10141190287742231,39167,125.52451928193588,-23.650727537723473,0,12,0,5.079910022078593,2.050018310546875
10s,5m,both,close_beyond,50,2.5,-2.626620775133492,0.08345463367297429,2061,6.6052042341785135,-1.4457805554577494,0,12,0,6.885086291894282,2.1495819091796875
10s,5m,both,close_beyond,50,3.0,-3.3593188039285424,0.12162162162162163,74,0.2371592010330956,-0.06639111362959561,2,12,0,12.337940023600424,2.6498794555664062
10s,5m,both,two_outside,5,1.0,-5.719897006788801,0.0,156,0.4999572346103096,-0.23830865748082639,0,12,0,0.2878681126617266,2.8500795364379883
10s,5m,both,two_outside,9,1.0,-2.2499561838457685,0.024515038263036127,44952,144.06460006540152,-27.011586482534806,0,12,0,0.6033248900427779,1.850128173828125
10s,5m,both,two_outside,14,1.0,-2.2359482252033733,0.05211526294128126,162793,521.7278082943342,-97.21303058291352,0,12,0,0.8561886379609973,1.900482177734375
