pair,filter,score_thr,n,sum_pips,ppd,wr,n_long,n_short,days
GBP_JPY,none,0,201,220.2,0.51,93.5,104,97,429.2
GBP_JPY,score>=3,3,149,100.2,0.23,92.6,70,79,429.2
GBP_JPY,score>=4,4,191,20.2,0.05,93.2,97,94,429.2
GBP_JPY,score>=5,5,191,20.2,0.05,93.2,97,94,429.2
GBP_JPY,_bin_-5,-5,3,60.0,0.14,100.0,0,3,429.2
GBP_JPY,_bin_-4,-4,1,20.0,0.05,100.0,1,0,429.2
GBP_JPY,_bin_-3,-3,27,-24.0,-0.06,96.3,12,15,429.2
GBP_JPY,_bin_-2,-2,1,20.0,0.05,100.0,1,0,429.2
GBP_JPY,_bin_-1,-1,45,-1024.0,-2.39,86.7,20,25,429.2
GBP_JPY,_bin_+1,1,68,784.5,1.83,94.1,36,32,429.2
GBP_JPY,_bin_+3,3,44,143.7,0.33,95.5,27,17,429.2
GBP_JPY,_bin_+5,5,12,240.0,0.56,100.0,7,5,429.2
USD_JPY,none,0,178,-594.3,-1.39,91.6,91,87,429.0
USD_JPY,score>=3,3,133,-35.1,-0.08,92.5,64,69,429.0
USD_JPY,score>=4,4,164,-440.1,-1.03,91.5,79,85,429.0
USD_JPY,score>=5,5,164,-440.1,-1.03,91.5,79,85,429.0
USD_JPY,_bin_-5,-5,3,60.0,0.14,100.0,1,2,429.0
USD_JPY,_bin_-3,-3,25,-456.4,-1.06,88.0,9,16,429.0
USD_JPY,_bin_-2,-2,2,40.0,0.09,100.0,2,0,429.0
USD_JPY,_bin_-1,-1,52,783.5,1.83,98.1,26,26,429.0
USD_JPY,_bin_+0,0,1,20.0,0.05,100.0,0,1,429.0
USD_JPY,_bin_+1,1,47,-670.9,-1.56,85.1,25,22,429.0
USD_JPY,_bin_+2,2,1,20.0,0.05,100.0,1,0,429.0
USD_JPY,_bin_+3,3,30,-296.3,-0.69,90.0,15,15,429.0
USD_JPY,_bin_+4,4,1,20.0,0.05,100.0,0,1,429.0
USD_JPY,_bin_+5,5,16,-114.2,-0.27,93.8,12,4,429.0
EUR_JPY,none,0,112,463.2,1.08,95.5,54,58,429.0
EUR_JPY,score>=3,3,89,730.3,1.7,95.5,47,42,429.0
EUR_JPY,score>=4,4,109,403.2,0.94,95.4,52,57,429.0
EUR_JPY,score>=5,5,109,403.2,0.94,95.4,52,57,429.0
EUR_JPY,_bin_-5,-5,1,20.0,0.05,100.0,0,1,429.0
EUR_JPY,_bin_-3,-3,21,-307.1,-0.72,95.2,6,15,429.0
EUR_JPY,_bin_-2,-2,1,20.0,0.05,100.0,1,0,429.0
EUR_JPY,_bin_-1,-1,37,740.0,1.72,100.0,21,16,429.0
EUR_JPY,_bin_+1,1,36,131.2,0.31,91.7,18,18,429.0
EUR_JPY,_bin_+2,2,1,20.0,0.05,100.0,1,0,429.0
EUR_JPY,_bin_+3,3,13,-200.9,-0.47,92.3,5,8,429.0
EUR_JPY,_bin_+5,5,2,40.0,0.09,100.0,2,0,429.0
GBP_USD,none,0,173,1125.1,2.62,91.9,93,80,428.8
GBP_USD,score>=3,3,116,412.1,0.96,91.4,61,55,428.8
GBP_USD,score>=4,4,158,891.6,2.08,91.8,84,74,428.8
GBP_USD,score>=5,5,160,931.6,2.17,91.9,86,74,428.8
GBP_USD,_bin_-5,-5,8,93.5,0.22,87.5,2,6,428.8
GBP_USD,_bin_-3,-3,24,104.1,0.24,87.5,5,19,428.8
GBP_USD,_bin_-2,-2,1,20.0,0.05,100.0,1,0,428.8
GBP_USD,_bin_-1,-1,47,428.4,1.0,95.7,17,30,428.8
GBP_USD,_bin_+0,0,3,60.0,0.14,100.0,2,1,428.8
GBP_USD,_bin_+1,1,48,-97.0,-0.23,89.6,34,14,428.8
GBP_USD,_bin_+3,3,31,358.2,0.84,93.5,23,8,428.8
GBP_USD,_bin_+4,4,2,40.0,0.09,100.0,2,0,428.8
GBP_USD,_bin_+5,5,9,117.9,0.27,88.9,7,2,428.8
AUD_JPY,none,0,146,719.1,1.67,93.2,81,65,429.3
AUD_JPY,score>=3,3,106,344.4,0.8,92.5,53,53,429.3
AUD_JPY,score>=4,4,138,731.0,1.7,93.5,74,64,429.3
AUD_JPY,score>=5,5,138,731.0,1.7,93.5,74,64,429.3
AUD_JPY,_bin_-5,-5,1,20.0,0.05,100.0,0,1,429.3
AUD_JPY,_bin_-3,-3,21,166.6,0.39,95.2,10,11,429.3
AUD_JPY,_bin_-1,-1,41,179.8,0.42,95.1,26,15,429.3
AUD_JPY,_bin_+0,0,1,20.0,0.05,100.0,0,1,429.3
AUD_JPY,_bin_+1,1,42,-295.4,-0.69,85.7,17,25,429.3
AUD_JPY,_bin_+3,3,29,580.0,1.35,100.0,21,8,429.3
AUD_JPY,_bin_+4,4,1,20.0,0.05,100.0,0,1,429.3
AUD_JPY,_bin_+5,5,10,28.1,0.07,90.0,7,3,429.3
EUR_USD,none,0,130,-796.0,-1.86,88.5,61,69,428.9
EUR_USD,score>=3,3,95,-669.2,-1.56,88.4,41,54,428.9
EUR_USD,score>=4,4,122,-956.0,-2.23,87.7,56,66,428.9
EUR_USD,score>=5,5,122,-956.0,-2.23,87.7,56,66,428.9
EUR_USD,_bin_-5,-5,3,60.0,0.14,100.0,0,3,428.9
EUR_USD,_bin_-3,-3,16,-138.5,-0.32,87.5,4,12,428.9
EUR_USD,_bin_-2,-2,1,20.0,0.05,100.0,0,1,428.9
EUR_USD,_bin_-1,-1,37,-513.1,-1.2,81.1,15,22,428.9
EUR_USD,_bin_+0,0,2,40.0,0.09,100.0,1,1,428.9
EUR_USD,_bin_+1,1,37,-42.6,-0.1,91.9,20,17,428.9
EUR_USD,_bin_+2,2,2,40.0,0.09,100.0,1,1,428.9
EUR_USD,_bin_+3,3,23,-441.8,-1.03,87.0,15,8,428.9
EUR_USD,_bin_+4,4,1,20.0,0.05,100.0,0,1,428.9
EUR_USD,_bin_+5,5,8,160.0,0.37,100.0,5,3,428.9
EUR_GBP,none,0,87,-423.8,-0.99,73.6,52,35,429.0
EUR_GBP,score>=3,3,68,100.0,0.23,79.4,38,30,429.0
EUR_GBP,score>=4,4,81,-191.2,-0.45,75.3,48,33,429.0
EUR_GBP,score>=5,5,82,-234.0,-0.55,74.4,49,33,429.0
EUR_GBP,_bin_-5,-5,3,-54.0,-0.13,66.7,1,2,429.0
EUR_GBP,_bin_-3,-3,7,57.7,0.13,85.7,4,3,429.0
EUR_GBP,_bin_-2,-2,1,20.0,0.05,100.0,1,0,429.0
EUR_GBP,_bin_-1,-1,25,-45.3,-0.11,72.0,14,11,429.0
EUR_GBP,_bin_+0,0,1,20.0,0.05,100.0,1,0,429.0
EUR_GBP,_bin_+1,1,30,-114.7,-0.27,76.7,16,14,429.0
EUR_GBP,_bin_+2,2,1,20.0,0.05,100.0,1,0,429.0
EUR_GBP,_bin_+3,3,14,-188.9,-0.44,64.3,10,4,429.0
EUR_GBP,_bin_+4,4,2,-22.8,-0.05,50.0,1,1,429.0
