spike,m1_min,peak_frac,tp,sl,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd
30.0,0.0,0.5,1.0,3.0,12,15725,-77950.7,-218.89,0.0,28.8,30.8,40.4,-4.96,77945.5
30.0,0.0,0.5,1.0,3.0,60,15138,-63101.8,-177.19,0.0,46.2,47.3,6.4,-4.17,63096.8
30.0,0.0,0.5,1.0,3.0,120,15056,-60701.9,-170.46,0.0,48.4,49.4,2.2,-4.03,60696.9
30.0,0.0,0.5,1.0,5.0,12,15459,-84924.6,-238.47,0.0,30.2,16.5,53.3,-5.49,84919.4
30.0,0.0,0.5,1.0,5.0,60,14423,-67217.9,-188.75,0.0,53.2,33.9,13.0,-4.66,67210.7
30.0,0.0,0.5,1.0,5.0,120,14270,-63612.5,-178.63,0.0,57.3,37.7,5.1,-4.46,63605.3
30.0,0.0,0.5,1.0,10.0,12,15236,-91146.6,-255.95,0.0,30.6,4.0,65.4,-5.98,91141.4
30.0,0.0,0.5,1.0,10.0,60,13360,-71173.1,-199.86,0.0,58.5,15.2,26.3,-5.33,71161.9
30.0,0.0,0.5,1.0,10.0,120,12872,-65379.2,-183.59,0.0,66.0,20.2,13.8,-5.08,65367.0
30.0,0.0,0.5,2.0,3.0,12,15555,-75640.2,-212.4,2.4,21.0,31.4,47.6,-4.86,75635.0
30.0,0.0,0.5,2.0,3.0,60,14759,-58955.7,-165.55,4.4,39.4,51.0,9.6,-3.99,58950.7
30.0,0.0,0.5,2.0,3.0,120,14656,-56045.1,-157.38,4.6,42.6,54.0,3.4,-3.82,56040.1
30.0,0.0,0.5,2.0,5.0,12,15286,-82652.6,-232.09,2.4,22.0,16.8,61.2,-5.41,82647.4
30.0,0.0,0.5,2.0,5.0,60,13981,-62920.6,-176.69,5.3,45.6,36.6,17.8,-4.5,62913.4
30.0,0.0,0.5,2.0,5.0,120,13784,-58718.5,-164.89,5.8,51.1,41.6,7.3,-4.26,58711.5
30.0,0.0,0.5,2.0,10.0,12,15062,-88956.6,-249.8,2.4,22.2,4.2,73.6,-5.91,88951.4
30.0,0.0,0.5,2.0,10.0,60,12877,-67345.2,-189.11,5.8,50.0,16.5,33.5,-5.23,67334.0
30.0,0.0,0.5,2.0,10.0,120,12280,-60624.4,-170.24,6.9,59.4,22.5,18.0,-4.94,60612.4
30.0,0.0,0.5,3.0,3.0,12,15411,-74107.9,-208.1,13.3,14.8,31.7,53.5,-4.81,74102.7
30.0,0.0,0.5,3.0,3.0,60,14414,-55965.9,-157.16,28.3,33.1,53.5,13.4,-3.88,55960.9
30.0,0.0,0.5,3.0,3.0,120,14253,-52226.0,-146.65,31.9,37.5,57.6,4.9,-3.66,52221.0
30.0,0.0,0.5,3.0,5.0,12,15143,-81126.2,-227.81,13.8,15.6,17.0,67.4,-5.36,81121.0
30.0,0.0,0.5,3.0,5.0,60,13595,-60045.1,-168.61,32.6,38.3,38.8,23.0,-4.42,60037.9
30.0,0.0,0.5,3.0,5.0,120,13314,-54995.4,-154.43,38.4,45.2,44.9,9.9,-4.13,54990.2
30.0,0.0,0.5,3.0,10.0,12,14921,-87491.4,-245.68,14.0,15.7,4.2,80.1,-5.86,87486.2
30.0,0.0,0.5,3.0,10.0,60,12455,-64396.4,-180.83,35.9,42.0,17.3,40.8,-5.17,64385.2
30.0,0.0,0.5,3.0,10.0,120,11738,-56594.5,-158.92,45.4,53.1,24.1,22.9,-4.82,56584.3
30.0,0.0,0.7,1.0,3.0,12,16953,-83627.3,-234.83,0.0,29.1,31.4,39.6,-4.93,83622.1
30.0,0.0,0.7,1.0,3.0,60,16285,-67763.3,-190.28,0.0,46.2,47.6,6.2,-4.16,67758.3
30.0,0.0,0.7,1.0,3.0,120,16200,-65289.8,-183.34,0.0,48.2,49.7,2.1,-4.03,65284.8
30.0,0.0,0.7,1.0,5.0,12,16634,-91135.6,-255.92,0.0,30.5,17.0,52.5,-5.48,91130.4
30.0,0.0,0.7,1.0,5.0,60,15461,-72119.8,-202.52,0.0,53.2,34.3,12.5,-4.66,72112.6
30.0,0.0,0.7,1.0,5.0,120,15301,-68183.5,-191.46,0.0,57.2,37.9,4.9,-4.46,68176.3
30.0,0.0,0.7,1.0,10.0,12,16344,-97703.4,-274.36,0.0,31.0,4.2,64.8,-5.98,97698.2
30.0,0.0,0.7,1.0,10.0,60,14191,-75688.2,-212.54,0.0,58.7,15.6,25.7,-5.33,75677.0
30.0,0.0,0.7,1.0,10.0,120,13663,-69466.2,-195.07,0.0,66.1,20.6,13.3,-5.08,69454.0
30.0,0.0,0.7,2.0,3.0,12,16745,-80924.6,-227.24,2.4,21.4,31.9,46.7,-4.83,80919.4
30.0,0.0,0.7,2.0,3.0,60,15846,-63072.2,-177.11,4.4,39.5,51.1,9.3,-3.98,63067.2
30.0,0.0,0.7,2.0,3.0,120,15736,-60077.5,-168.7,4.7,42.6,54.2,3.2,-3.82,60072.5
30.0,0.0,0.7,2.0,5.0,12,16424,-88495.7,-248.5,2.5,22.3,17.3,60.4,-5.39,88490.5
30.0,0.0,0.7,2.0,5.0,60,14955,-67269.2,-188.9,5.2,45.7,37.0,17.3,-4.5,67262.0
30.0,0.0,0.7,2.0,5.0,120,14743,-62690.0,-176.04,5.8,51.1,41.8,7.1,-4.25,62683.0
30.0,0.0,0.7,2.0,10.0,12,16137,-95171.4,-267.25,2.5,22.6,4.4,73.1,-5.9,95166.2
30.0,0.0,0.7,2.0,10.0,60,13656,-71456.9,-200.66,5.8,50.2,16.8,32.9,-5.23,71445.7
30.0,0.0,0.7,2.0,10.0,120,13007,-64325.8,-180.63,6.8,59.5,22.9,17.6,-4.95,64313.8
30.0,0.0,0.7,3.0,3.0,12,16580,-79149.6,-222.26,13.5,15.3,32.2,52.6,-4.77,79144.4
30.0,0.0,0.7,3.0,3.0,60,15441,-59591.7,-167.34,28.5,33.5,53.6,13.0,-3.86,59586.7
30.0,0.0,0.7,3.0,3.0,120,15266,-55715.5,-156.45,31.9,37.8,57.6,4.7,-3.65,55710.5
30.0,0.0,0.7,3.0,5.0,12,16259,-86772.0,-243.66,13.9,15.9,17.5,66.6,-5.34,86766.8
30.0,0.0,0.7,3.0,5.0,60,14518,-63992.4,-179.7,32.7,38.5,39.0,22.4,-4.41,63985.2
30.0,0.0,0.7,3.0,5.0,120,14208,-58492.5,-164.25,38.4,45.3,45.1,9.6,-4.12,58487.3
30.0,0.0,0.7,3.0,10.0,12,15972,-93470.5,-262.47,14.1,16.0,4.4,79.6,-5.85,93465.3
30.0,0.0,0.7,3.0,10.0,60,13189,-68239.4,-191.62,36.0,42.3,17.6,40.1,-5.17,68228.2
30.0,0.0,0.7,3.0,10.0,120,12410,-60046.1,-168.61,45.2,53.1,24.5,22.4,-4.84,60035.9
30.0,0.0,0.9,1.0,3.0,12,17561,-86336.9,-242.44,0.0,29.3,31.7,39.0,-4.92,86331.7
30.0,0.0,0.9,1.0,3.0,60,16858,-70110.1,-196.87,0.0,46.2,47.7,6.1,-4.16,70105.1
30.0,0.0,0.9,1.0,3.0,120,16768,-67493.5,-189.53,0.0,48.2,49.7,2.1,-4.03,67488.5
30.0,0.0,0.9,1.0,5.0,12,17219,-93992.1,-263.94,0.0,30.8,17.3,51.9,-5.46,93986.9
30.0,0.0,0.9,1.0,5.0,60,15971,-74430.8,-209.01,0.0,53.2,34.5,12.3,-4.66,74423.6
30.0,0.0,0.9,1.0,5.0,120,15806,-70372.7,-197.61,0.0,57.2,38.0,4.8,-4.45,70365.5
30.0,0.0,0.9,1.0,10.0,12,16893,-100785.8,-283.01,0.0,31.3,4.4,64.3,-5.97,100780.6
30.0,0.0,0.9,1.0,10.0,60,14615,-78043.0,-219.15,0.0,58.7,15.8,25.4,-5.34,78031.8
30.0,0.0,0.9,1.0,10.0,120,14062,-71600.0,-201.06,0.0,66.1,20.8,13.1,-5.09,71587.8
30.0,0.0,0.9,2.0,3.0,12,17344,-83501.0,-234.48,2.5,21.7,32.3,46.1,-4.81,83495.8
30.0,0.0,0.9,2.0,3.0,60,16394,-65141.4,-182.92,4.5,39.6,51.2,9.2,-3.97,65136.4
30.0,0.0,0.9,2.0,3.0,120,16278,-61985.9,-174.06,4.7,42.7,54.1,3.2,-3.81,61980.9
30.0,0.0,0.9,2.0,5.0,12,16995,-91191.3,-256.07,2.5,22.6,17.6,59.8,-5.37,91186.1
30.0,0.0,0.9,2.0,5.0,60,15433,-69266.1,-194.5,5.3,45.9,37.1,17.0,-4.49,69258.9
30.0,0.0,0.9,2.0,5.0,120,15213,-64544.4,-181.25,5.8,51.2,41.9,6.9,-4.24,64537.4
30.0,0.0,0.9,2.0,10.0,12,16670,-98105.5,-275.49,2.6,22.9,4.5,72.6,-5.89,98100.3
30.0,0.0,0.9,2.0,10.0,60,14046,-73454.4,-206.27,5.8,50.4,17.0,32.6,-5.23,73443.2
30.0,0.0,0.9,2.0,10.0,120,13359,-66064.8,-185.52,6.8,59.6,23.0,17.4,-4.95,66052.8
30.0,0.0,0.9,3.0,3.0,12,17153,-81627.6,-229.22,13.6,15.4,32.6,52.0,-4.76,81622.4
30.0,0.0,0.9,3.0,3.0,60,15941,-61385.5,-172.38,28.4,33.6,53.6,12.9,-3.85,61380.5
30.0,0.0,0.9,3.0,3.0,120,15757,-57341.7,-161.02,31.9,37.8,57.6,4.6,-3.64,57336.7
30.0,0.0,0.9,3.0,5.0,12,16804,-89347.0,-250.89,14.0,16.1,17.8,66.1,-5.32,89341.8
30.0,0.0,0.9,3.0,5.0,60,14940,-65699.0,-184.49,32.7,38.7,39.2,22.2,-4.4,65691.8
30.0,0.0,0.9,3.0,5.0,120,14621,-60014.2,-168.52,38.4,45.4,45.1,9.5,-4.1,60009.0
30.0,0.0,0.9,3.0,10.0,12,16481,-96366.2,-270.6,14.2,16.2,4.6,79.2,-5.85,96361.0
30.0,0.0,0.9,3.0,10.0,60,13540,-70055.9,-196.72,36.0,42.4,17.9,39.7,-5.17,70044.7
30.0,0.0,0.9,3.0,10.0,120,12723,-61499.5,-172.7,45.3,53.3,24.6,22.1,-4.83,61489.3
30.0,5.0,0.5,1.0,3.0,12,6949,-33595.6,-94.34,0.0,34.8,35.9,29.3,-4.83,33592.4
30.0,5.0,0.5,1.0,3.0,60,6861,-28833.7,-80.97,0.0,48.3,48.1,3.6,-4.2,28832.6
30.0,5.0,0.5,1.0,3.0,120,6853,-28228.5,-79.27,0.0,49.2,49.3,1.5,-4.12,28227.4
30.0,5.0,0.5,1.0,5.0,12,6819,-36808.9,-103.36,0.0,37.3,21.6,41.1,-5.4,36805.7
30.0,5.0,0.5,1.0,5.0,60,6648,-31163.7,-87.51,0.0,56.0,36.6,7.4,-4.69,31162.6
30.0,5.0,0.5,1.0,5.0,120,6629,-30245.7,-84.93,0.0,58.1,38.9,3.0,-4.56,30244.6
30.0,5.0,0.5,1.0,10.0,12,6679,-40167.7,-112.79,0.0,38.1,6.7,55.2,-6.01,40164.5
30.0,5.0,0.5,1.0,10.0,60,6275,-33470.2,-93.99,0.0,63.3,18.8,17.8,-5.33,33469.1
30.0,5.0,0.5,1.0,10.0,120,6209,-31981.6,-89.81,0.0,68.5,22.7,8.7,-5.15,31980.5
30.0,5.0,0.5,2.0,3.0,12,6892,-32257.1,-90.58,2.5,27.3,36.8,35.9,-4.68,32253.9
