spike,m1_min,peak_mode,peak_frac,tp_K,sl_K,max_hold,n,sum_pips,ppd,wr,tp_pct,sl_pct,time_pct,mean_pnl,mdd,mean_sp_entry
30.0,0.0,0,0.3,1.0,1.0,12,13458,-32626.8,-91.62,13.5,10.1,80.1,9.8,-2.42,32624.3,3.23
30.0,0.0,0,0.3,1.0,1.0,60,13330,-31656.3,-88.89,14.2,13.8,84.5,1.7,-2.37,31653.8,3.19
30.0,0.0,0,0.3,1.0,1.0,120,13306,-31391.9,-88.15,14.4,14.2,84.9,0.9,-2.36,31389.4,3.18
30.0,0.0,0,0.3,1.0,2.0,12,12857,-34753.6,-97.59,25.0,16.5,34.8,48.7,-2.7,34750.9,3.2
30.0,0.0,0,0.3,1.0,2.0,60,12121,-29996.8,-84.23,35.3,32.6,53.9,13.5,-2.47,29991.8,3.07
30.0,0.0,0,0.3,1.0,2.0,120,11965,-28663.4,-80.49,37.2,36.0,57.6,6.4,-2.4,28658.4,3.01
30.0,0.0,0,0.3,1.0,3.0,12,12636,-35648.3,-100.1,27.2,17.8,15.4,66.8,-2.82,35645.6,3.21
30.0,0.0,0,0.3,1.0,3.0,60,11459,-29042.1,-81.55,44.6,41.0,34.9,24.1,-2.53,29034.6,3.08
30.0,0.0,0,0.3,1.0,3.0,120,11198,-27326.9,-76.74,49.1,47.4,40.6,12.0,-2.44,27319.4,3.02
30.0,0.0,0,0.3,2.0,1.0,12,13369,-31686.2,-88.98,12.0,4.9,81.0,14.2,-2.37,31683.7,3.23
30.0,0.0,0,0.3,2.0,1.0,60,13133,-30340.7,-85.2,10.8,9.3,87.6,3.0,-2.31,30338.2,3.19
30.0,0.0,0,0.3,2.0,1.0,120,13086,-29982.1,-84.19,10.8,10.0,88.4,1.6,-2.29,29979.6,3.18
30.0,0.0,0,0.3,2.0,2.0,12,12734,-33186.7,-93.19,23.0,7.6,35.2,57.2,-2.61,33184.0,3.21
30.0,0.0,0,0.3,2.0,2.0,60,11721,-27632.4,-77.59,28.9,21.4,58.0,20.6,-2.36,27627.4,3.08
30.0,0.0,0,0.3,2.0,2.0,120,11477,-26116.7,-73.34,29.7,25.9,63.5,10.7,-2.28,26113.5,3.02
30.0,0.0,0,0.3,2.0,3.0,12,12516,-34050.1,-95.62,25.1,8.1,15.6,76.3,-2.72,34047.4,3.21
30.0,0.0,0,0.3,2.0,3.0,60,10993,-26631.4,-74.78,37.1,26.7,38.2,35.1,-2.42,26623.9,3.1
30.0,0.0,0,0.3,2.0,3.0,120,10576,-24411.9,-68.55,40.4,34.5,46.0,19.5,-2.31,24404.7,3.03
30.0,0.0,0,0.3,3.0,1.0,12,13315,-31401.6,-88.18,11.5,2.5,81.2,16.2,-2.36,31399.1,3.24
30.0,0.0,0,0.3,3.0,1.0,60,12953,-29683.4,-83.35,9.1,6.4,89.2,4.4,-2.29,29680.9,3.2
30.0,0.0,0,0.3,3.0,1.0,120,12880,-29290.9,-82.25,8.8,7.3,90.3,2.4,-2.27,29288.4,3.19
30.0,0.0,0,0.3,3.0,2.0,12,12666,-32715.7,-91.87,22.4,3.7,35.3,61.1,-2.58,32713.0,3.21
30.0,0.0,0,0.3,3.0,2.0,60,11412,-26362.2,-74.03,26.1,14.1,59.7,26.2,-2.31,26357.3,3.09
30.0,0.0,0,0.3,3.0,2.0,120,11062,-24577.5,-69.02,25.8,18.6,66.5,14.9,-2.22,24580.4,3.03
30.0,0.0,0,0.3,3.0,3.0,12,12444,-33578.7,-94.29,24.3,3.9,15.6,80.5,-2.7,33576.0,3.22
30.0,0.0,0,0.3,3.0,3.0,60,10648,-25046.1,-70.33,33.8,17.5,39.3,43.2,-2.35,25038.6,3.11
30.0,0.0,0,0.3,3.0,3.0,120,10064,-22598.2,-63.46,35.7,24.7,48.6,26.7,-2.25,22591.8,3.05
30.0,0.0,0,0.5,1.0,1.0,12,16441,-38630.1,-108.48,14.3,11.1,79.6,9.3,-2.35,38627.6,3.19
30.0,0.0,0,0.5,1.0,1.0,60,16270,-37407.2,-105.04,14.9,14.6,84.0,1.5,-2.3,37404.7,3.15
