pair,ws_thr,tp,mode,n,ppd,wr,tp_pct,mdd,calmar,mean_hold,days
GBP_JPY,1.0,10.0,TP_ONLY,87,2.8,100.0,100.0,0.0,0.0,202.5,429.2
GBP_JPY,1.0,10.0,TP_SL50,205,-1.51,77.1,77.1,806.7,-0.0,11.2,429.2
GBP_JPY,1.0,10.0,TP_TIME24h,185,-1.55,89.7,89.7,1475.0,-0.0,48.0,429.2
GBP_JPY,1.0,10.0,TP_SIG_DIE,217,-1.96,51.6,51.6,962.8,-0.0,3.0,429.2
GBP_JPY,1.0,15.0,TP_ONLY,86,3.63,100.0,100.0,0.0,0.0,217.1,429.2
GBP_JPY,1.0,15.0,TP_SL50,205,-1.42,73.2,73.2,898.9,-0.0,14.9,429.2
GBP_JPY,1.0,15.0,TP_TIME24h,177,-1.81,87.0,87.0,1479.4,-0.0,59.8,429.2
GBP_JPY,1.0,15.0,TP_SIG_DIE,217,-1.87,42.4,42.4,1016.4,-0.0,3.6,429.2
GBP_JPY,1.0,20.0,TP_ONLY,50,3.12,100.0,100.0,0.0,0.0,614.6,429.2
GBP_JPY,1.0,20.0,TP_SL50,202,-2.13,66.8,66.8,1168.0,-0.0,19.1,429.2
GBP_JPY,1.0,20.0,TP_TIME24h,168,-3.9,82.7,82.7,1932.0,-0.0,77.0,429.2
GBP_JPY,1.0,20.0,TP_SIG_DIE,215,-1.83,36.7,36.3,982.7,-0.0,3.9,429.2
GBP_JPY,1.0,30.0,TP_ONLY,38,2.8,100.0,100.0,0.0,0.0,954.6,429.2
GBP_JPY,1.0,30.0,TP_SL50,195,-2.59,59.0,59.5,1381.5,-0.0,26.4,429.2
GBP_JPY,1.0,30.0,TP_TIME24h,159,-4.32,76.1,76.1,2120.6,-0.0,101.3,429.2
GBP_JPY,1.0,30.0,TP_SIG_DIE,213,-2.1,31.5,27.2,1059.7,-0.0,4.5,429.2
GBP_JPY,1.5,10.0,TP_ONLY,33,1.15,100.0,100.0,0.0,0.0,587.4,429.2
GBP_JPY,1.5,10.0,TP_SL50,43,-0.67,72.1,72.1,406.3,-0.0,12.9,429.2
GBP_JPY,1.5,10.0,TP_TIME24h,43,0.53,93.0,93.0,189.5,0.0,41.6,429.2
GBP_JPY,1.5,10.0,TP_SIG_DIE,44,-0.55,50.0,50.0,333.8,-0.0,3.3,429.2
GBP_JPY,1.5,15.0,TP_ONLY,33,1.39,100.0,100.0,0.0,0.0,589.7,429.2
GBP_JPY,1.5,15.0,TP_SL50,43,-0.34,72.1,72.1,295.1,-0.0,14.4,429.2
GBP_JPY,1.5,15.0,TP_TIME24h,43,0.9,93.0,93.0,189.5,0.0,43.2,429.2
GBP_JPY,1.5,15.0,TP_SIG_DIE,44,-0.51,43.2,43.2,342.9,-0.0,3.6,429.2
GBP_JPY,1.5,20.0,TP_ONLY,33,1.72,100.0,100.0,0.0,0.0,594.9,429.2
GBP_JPY,1.5,20.0,TP_SL50,43,-0.35,69.8,69.8,354.5,-0.0,16.4,429.2
GBP_JPY,1.5,20.0,TP_TIME24h,43,1.24,93.0,93.0,189.5,0.01,47.2,429.2
GBP_JPY,1.5,20.0,TP_SIG_DIE,44,-0.53,40.9,40.9,342.9,-0.0,3.7,429.2
GBP_JPY,1.5,30.0,TP_ONLY,29,2.14,100.0,100.0,0.0,0.0,845.8,429.2
GBP_JPY,1.5,30.0,TP_SL50,43,-0.37,62.8,62.8,447.0,-0.0,23.1,429.2
GBP_JPY,1.5,30.0,TP_TIME24h,42,1.29,85.7,85.7,251.2,0.01,73.2,429.2
GBP_JPY,1.5,30.0,TP_SIG_DIE,44,-0.69,34.1,29.5,416.8,-0.0,4.5,429.2
GBP_JPY,2.0,10.0,TP_ONLY,10,0.47,100.0,100.0,0.0,0.0,11.8,429.2
GBP_JPY,2.0,10.0,TP_SL50,10,0.25,90.0,90.0,63.0,0.0,6.2,429.2
GBP_JPY,2.0,10.0,TP_TIME24h,10,0.47,100.0,100.0,0.0,0.0,11.8,429.2
GBP_JPY,2.0,10.0,TP_SIG_DIE,10,0.16,70.0,70.0,70.4,0.0,3.8,429.2
GBP_JPY,2.0,15.0,TP_ONLY,10,0.51,100.0,100.0,0.0,0.0,11.9,429.2
GBP_JPY,2.0,15.0,TP_SL50,10,0.29,90.0,90.0,63.0,0.0,6.3,429.2
GBP_JPY,2.0,15.0,TP_TIME24h,10,0.51,100.0,100.0,0.0,0.0,11.9,429.2
GBP_JPY,2.0,15.0,TP_SIG_DIE,10,0.2,70.0,70.0,70.4,0.0,3.9,429.2
GBP_JPY,2.0,20.0,TP_ONLY,10,0.51,100.0,100.0,0.0,0.0,18.6,429.2
GBP_JPY,2.0,20.0,TP_SL50,10,0.12,80.0,80.0,120.1,0.0,9.9,429.2
GBP_JPY,2.0,20.0,TP_TIME24h,10,0.51,100.0,100.0,0.0,0.0,18.6,429.2
GBP_JPY,2.0,20.0,TP_SIG_DIE,10,0.2,70.0,70.0,70.4,0.0,3.9,429.2
GBP_JPY,2.0,30.0,TP_ONLY,10,0.72,100.0,100.0,0.0,0.0,19.4,429.2
GBP_JPY,2.0,30.0,TP_SL50,10,0.3,80.0,80.0,120.1,0.0,10.6,429.2
GBP_JPY,2.0,30.0,TP_TIME24h,10,0.72,100.0,100.0,0.0,0.0,19.4,429.2
GBP_JPY,2.0,30.0,TP_SIG_DIE,10,0.34,70.0,70.0,70.4,0.0,4.5,429.2
USD_JPY,1.0,10.0,TP_ONLY,87,3.09,100.0,100.0,0.0,0.0,267.3,429.0
USD_JPY,1.0,10.0,TP_SL50,113,0.35,83.2,83.2,284.8,0.0,17.6,429.0
USD_JPY,1.0,10.0,TP_TIME24h,106,0.72,89.6,89.6,287.9,0.0,50.3,429.0
USD_JPY,1.0,10.0,TP_SIG_DIE,117,-0.77,52.1,52.1,446.0,-0.0,3.0,429.0
USD_JPY,1.0,15.0,TP_ONLY,65,2.96,100.0,100.0,0.0,0.0,198.2,429.0
USD_JPY,1.0,15.0,TP_SL50,111,0.23,78.4,78.4,441.6,0.0,27.3,429.0
USD_JPY,1.0,15.0,TP_TIME24h,104,1.8,89.4,89.4,268.5,0.01,62.4,429.0
USD_JPY,1.0,15.0,TP_SIG_DIE,116,-0.95,43.1,40.5,519.0,-0.0,3.6,429.0
USD_JPY,1.0,20.0,TP_ONLY,34,1.8,100.0,100.0,0.0,0.0,1977.4,429.0
USD_JPY,1.0,20.0,TP_SL50,108,0.06,72.2,72.2,469.6,0.0,33.3,429.0
USD_JPY,1.0,20.0,TP_TIME24h,101,1.01,82.2,82.2,372.4,0.0,86.9,429.0
USD_JPY,1.0,20.0,TP_SIG_DIE,116,-1.14,37.1,29.3,581.0,-0.0,4.1,429.0
USD_JPY,1.0,30.0,TP_ONLY,33,2.58,100.0,100.0,0.0,0.0,2087.7,429.0
USD_JPY,1.0,30.0,TP_SL50,106,1.22,68.9,68.9,397.2,0.0,45.3,429.0
USD_JPY,1.0,30.0,TP_TIME24h,96,2.31,78.1,76.0,361.5,0.01,106.8,429.0
USD_JPY,1.0,30.0,TP_SIG_DIE,115,-0.88,34.8,22.6,483.6,-0.0,4.7,429.0
USD_JPY,1.5,10.0,TP_ONLY,28,0.95,100.0,100.0,0.0,0.0,93.4,429.0
USD_JPY,1.5,10.0,TP_SL50,30,0.04,86.7,86.7,243.6,0.0,12.9,429.0
USD_JPY,1.5,10.0,TP_TIME24h,28,0.37,92.9,92.9,166.1,0.0,37.8,429.0
USD_JPY,1.5,10.0,TP_SIG_DIE,30,-0.29,66.7,66.7,244.3,-0.0,2.5,429.0
USD_JPY,1.5,15.0,TP_ONLY,18,0.78,100.0,100.0,0.0,0.0,17.3,429.0
USD_JPY,1.5,15.0,TP_SL50,29,-0.15,79.3,79.3,397.8,-0.0,27.6,429.0
USD_JPY,1.5,15.0,TP_TIME24h,28,0.57,89.3,89.3,166.1,0.0,47.5,429.0
USD_JPY,1.5,15.0,TP_SIG_DIE,30,-0.31,56.7,56.7,266.5,-0.0,3.2,429.0
USD_JPY,1.5,20.0,TP_ONLY,18,0.99,100.0,100.0,0.0,0.0,21.6,429.0
USD_JPY,1.5,20.0,TP_SL50,29,0.06,79.3,79.3,397.8,0.0,30.2,429.0
USD_JPY,1.5,20.0,TP_TIME24h,28,0.6,85.7,85.7,184.5,0.0,60.4,429.0
