split,pair,pct,thr_abs,tp,accel,n,ppd,wr,mdd,calmar,mean_hold,days
OOS_A,GBP_JPY,90,0.416,10.0,False,719,-26.88,86.8,5785.8,-0.0,58.7,214.6
OOS_A,GBP_JPY,90,0.416,10.0,True,719,-26.88,86.8,5785.8,-0.0,58.7,214.6
OOS_A,GBP_JPY,90,0.416,15.0,False,599,-21.03,84.0,4572.4,-0.0,74.3,214.6
OOS_A,GBP_JPY,90,0.416,15.0,True,599,-21.03,84.0,4572.4,-0.0,74.3,214.6
OOS_A,GBP_JPY,90,0.416,20.0,False,514,-19.92,81.1,4317.9,-0.0,89.4,214.6
OOS_A,GBP_JPY,90,0.416,20.0,True,514,-19.92,81.1,4317.9,-0.0,89.4,214.6
OOS_A,GBP_JPY,90,0.416,30.0,False,413,-15.47,75.5,4211.6,-0.0,120.1,214.6
OOS_A,GBP_JPY,90,0.416,30.0,True,413,-15.47,75.5,4211.6,-0.0,120.1,214.6
OOS_A,GBP_JPY,95,0.569,10.0,False,508,-20.54,87.2,4455.5,-0.0,58.3,214.6
OOS_A,GBP_JPY,95,0.569,10.0,True,508,-20.54,87.2,4455.5,-0.0,58.3,214.6
OOS_A,GBP_JPY,95,0.569,15.0,False,426,-20.23,83.8,4424.6,-0.0,75.8,214.6
OOS_A,GBP_JPY,95,0.569,15.0,True,426,-20.23,83.8,4424.6,-0.0,75.8,214.6
OOS_A,GBP_JPY,95,0.569,20.0,False,389,-20.07,81.7,4398.0,-0.0,87.7,214.6
OOS_A,GBP_JPY,95,0.569,20.0,True,389,-20.07,81.7,4398.0,-0.0,87.7,214.6
OOS_A,GBP_JPY,95,0.569,30.0,False,331,-15.95,75.8,3510.6,-0.0,114.1,214.6
OOS_A,GBP_JPY,95,0.569,30.0,True,331,-15.95,75.8,3510.6,-0.0,114.1,214.6
OOS_A,GBP_JPY,98,0.807,10.0,False,261,-5.14,89.3,1488.0,-0.0,52.8,214.6
OOS_A,GBP_JPY,98,0.807,10.0,True,261,-5.14,89.3,1488.0,-0.0,52.8,214.6
OOS_A,GBP_JPY,98,0.807,15.0,False,230,-8.23,85.2,2248.1,-0.0,72.1,214.6
OOS_A,GBP_JPY,98,0.807,15.0,True,230,-8.23,85.2,2248.1,-0.0,72.1,214.6
OOS_A,GBP_JPY,98,0.807,20.0,False,213,-9.69,82.2,2444.7,-0.0,85.8,214.6
OOS_A,GBP_JPY,98,0.807,20.0,True,213,-9.69,82.2,2444.7,-0.0,85.8,214.6
OOS_A,GBP_JPY,98,0.807,30.0,False,197,-5.6,77.7,2587.0,-0.0,108.8,214.6
OOS_A,GBP_JPY,98,0.807,30.0,True,197,-5.6,77.7,2587.0,-0.0,108.8,214.6
OOS_B,GBP_JPY,90,0.416,10.0,False,463,-8.36,86.0,1913.2,-0.0,70.2,214.6
OOS_B,GBP_JPY,90,0.416,10.0,True,463,-8.36,86.0,1913.2,-0.0,70.2,214.6
OOS_B,GBP_JPY,90,0.416,15.0,False,381,-7.95,81.9,2083.8,-0.0,90.1,214.6
OOS_B,GBP_JPY,90,0.416,15.0,True,381,-7.95,81.9,2083.8,-0.0,90.1,214.6
OOS_B,GBP_JPY,90,0.416,20.0,False,332,-12.51,75.3,3079.0,-0.0,115.6,214.6
OOS_B,GBP_JPY,90,0.416,20.0,True,332,-12.51,75.3,3079.0,-0.0,115.6,214.6
OOS_B,GBP_JPY,90,0.416,30.0,False,270,-7.72,67.4,2363.4,-0.0,150.2,214.6
OOS_B,GBP_JPY,90,0.416,30.0,True,270,-7.72,67.4,2363.4,-0.0,150.2,214.6
OOS_B,GBP_JPY,95,0.569,10.0,False,243,-7.37,83.1,1792.6,-0.0,77.3,214.6
OOS_B,GBP_JPY,95,0.569,10.0,True,243,-7.37,83.1,1792.6,-0.0,77.3,214.6
OOS_B,GBP_JPY,95,0.569,15.0,False,208,-10.12,76.9,2311.5,-0.0,103.1,214.6
OOS_B,GBP_JPY,95,0.569,15.0,True,208,-10.12,76.9,2311.5,-0.0,103.1,214.6
OOS_B,GBP_JPY,95,0.569,20.0,False,204,-7.97,76.0,1916.8,-0.0,111.8,214.6
OOS_B,GBP_JPY,95,0.569,20.0,True,204,-7.97,76.0,1916.8,-0.0,111.8,214.6
OOS_B,GBP_JPY,95,0.569,30.0,False,185,-5.25,69.7,1365.5,-0.0,140.6,214.6
OOS_B,GBP_JPY,95,0.569,30.0,True,185,-5.25,69.7,1365.5,-0.0,140.6,214.6
OOS_B,GBP_JPY,98,0.807,10.0,False,87,-3.58,87.4,770.3,-0.0,53.7,214.6
OOS_B,GBP_JPY,98,0.807,10.0,True,87,-3.58,87.4,770.3,-0.0,53.7,214.6
OOS_B,GBP_JPY,98,0.807,15.0,False,83,-3.47,84.3,754.0,-0.0,71.8,214.6
OOS_B,GBP_JPY,98,0.807,15.0,True,83,-3.47,84.3,754.0,-0.0,71.8,214.6
OOS_B,GBP_JPY,98,0.807,20.0,False,81,-2.56,84.0,654.1,-0.0,82.3,214.6
OOS_B,GBP_JPY,98,0.807,20.0,True,81,-2.56,84.0,654.1,-0.0,82.3,214.6
OOS_B,GBP_JPY,98,0.807,30.0,False,75,-2.89,72.0,746.1,-0.0,108.6,214.6
OOS_B,GBP_JPY,98,0.807,30.0,True,75,-2.89,72.0,746.1,-0.0,108.6,214.6
OOS_A,USD_JPY,90,0.292,10.0,False,751,-7.35,88.7,2008.0,-0.0,62.3,214.5
OOS_A,USD_JPY,90,0.292,10.0,True,751,-7.35,88.7,2008.0,-0.0,62.3,214.5
OOS_A,USD_JPY,90,0.292,15.0,False,569,-8.45,83.3,2486.4,-0.0,87.6,214.5
OOS_A,USD_JPY,90,0.292,15.0,True,569,-8.45,83.3,2486.4,-0.0,87.6,214.5
OOS_A,USD_JPY,90,0.292,20.0,False,473,-15.67,76.7,3886.3,-0.0,111.0,214.5
OOS_A,USD_JPY,90,0.292,20.0,True,473,-15.67,76.7,3886.3,-0.0,111.0,214.5
OOS_A,USD_JPY,90,0.292,30.0,False,390,-8.96,70.8,2891.6,-0.0,139.5,214.5
OOS_A,USD_JPY,90,0.292,30.0,True,390,-8.96,70.8,2891.6,-0.0,139.5,214.5
OOS_A,USD_JPY,95,0.414,10.0,False,518,-10.29,86.9,2462.1,-0.0,69.5,214.5
OOS_A,USD_JPY,95,0.414,10.0,True,518,-10.29,86.9,2462.1,-0.0,69.5,214.5
OOS_A,USD_JPY,95,0.414,15.0,False,439,-13.65,80.9,3170.5,-0.0,93.1,214.5
OOS_A,USD_JPY,95,0.414,15.0,True,439,-13.65,80.9,3170.5,-0.0,93.1,214.5
OOS_A,USD_JPY,95,0.414,20.0,False,393,-12.38,78.4,2912.8,-0.0,107.8,214.5
OOS_A,USD_JPY,95,0.414,20.0,True,393,-12.38,78.4,2912.8,-0.0,107.8,214.5
OOS_A,USD_JPY,95,0.414,30.0,False,329,-10.59,71.4,2876.6,-0.0,139.0,214.5
OOS_A,USD_JPY,95,0.414,30.0,True,329,-10.59,71.4,2876.6,-0.0,139.0,214.5
OOS_A,USD_JPY,98,0.611,10.0,False,288,-3.34,87.5,1147.3,-0.0,66.2,214.5
OOS_A,USD_JPY,98,0.611,10.0,True,288,-3.34,87.5,1147.3,-0.0,66.2,214.5
OOS_A,USD_JPY,98,0.611,15.0,False,260,-4.11,82.7,1033.1,-0.0,84.4,214.5
OOS_A,USD_JPY,98,0.611,15.0,True,260,-4.11,82.7,1033.1,-0.0,84.4,214.5
OOS_A,USD_JPY,98,0.611,20.0,False,240,-5.74,77.9,1571.4,-0.0,101.7,214.5
OOS_A,USD_JPY,98,0.611,20.0,True,240,-5.74,77.9,1571.4,-0.0,101.7,214.5
OOS_A,USD_JPY,98,0.611,30.0,False,209,-3.98,70.3,1693.8,-0.0,130.5,214.5
OOS_A,USD_JPY,98,0.611,30.0,True,209,-3.98,70.3,1693.8,-0.0,130.5,214.5
OOS_B,USD_JPY,90,0.292,10.0,False,482,-10.92,80.9,2828.5,-0.0,87.4,214.5
OOS_B,USD_JPY,90,0.292,10.0,True,482,-10.92,80.9,2828.5,-0.0,87.4,214.5
OOS_B,USD_JPY,90,0.292,15.0,False,406,-8.15,76.1,2032.4,-0.0,108.8,214.5
OOS_B,USD_JPY,90,0.292,15.0,True,406,-8.15,76.1,2032.4,-0.0,108.8,214.5
OOS_B,USD_JPY,90,0.292,20.0,False,370,-4.89,73.8,1305.6,-0.0,122.7,214.5
OOS_B,USD_JPY,90,0.292,20.0,True,370,-4.89,73.8,1305.6,-0.0,122.7,214.5
OOS_B,USD_JPY,90,0.292,30.0,False,287,-7.06,64.5,1683.8,-0.0,169.9,214.5
OOS_B,USD_JPY,90,0.292,30.0,True,287,-7.06,64.5,1683.8,-0.0,169.9,214.5
OOS_B,USD_JPY,95,0.414,10.0,False,307,-10.27,80.5,2372.3,-0.0,86.9,214.5
OOS_B,USD_JPY,95,0.414,10.0,True,307,-10.27,80.5,2372.3,-0.0,86.9,214.5
OOS_B,USD_JPY,95,0.414,15.0,False,265,-12.17,73.2,2795.7,-0.0,116.4,214.5
OOS_B,USD_JPY,95,0.414,15.0,True,265,-12.17,73.2,2795.7,-0.0,116.4,214.5
OOS_B,USD_JPY,95,0.414,20.0,False,242,-9.28,70.7,2366.8,-0.0,133.6,214.5
OOS_B,USD_JPY,95,0.414,20.0,True,242,-9.28,70.7,2366.8,-0.0,133.6,214.5
OOS_B,USD_JPY,95,0.414,30.0,False,210,-9.46,62.4,2112.9,-0.0,164.6,214.5
OOS_B,USD_JPY,95,0.414,30.0,True,210,-9.46,62.4,2112.9,-0.0,164.6,214.5
OOS_B,USD_JPY,98,0.611,10.0,False,136,-3.7,80.1,924.8,-0.0,88.6,214.5
OOS_B,USD_JPY,98,0.611,10.0,True,136,-3.7,80.1,924.8,-0.0,88.6,214.5
OOS_B,USD_JPY,98,0.611,15.0,False,129,-3.88,75.2,999.1,-0.0,111.0,214.5
OOS_B,USD_JPY,98,0.611,15.0,True,129,-3.88,75.2,999.1,-0.0,111.0,214.5
OOS_B,USD_JPY,98,0.611,20.0,False,130,-0.91,74.6,692.1,-0.0,120.7,214.5
OOS_B,USD_JPY,98,0.611,20.0,True,130,-0.91,74.6,692.1,-0.0,120.7,214.5
OOS_B,USD_JPY,98,0.611,30.0,False,119,-1.24,63.0,649.1,-0.0,161.3,214.5
OOS_B,USD_JPY,98,0.611,30.0,True,119,-1.24,63.0,649.1,-0.0,161.3,214.5
OOS_A,EUR_JPY,90,0.325,10.0,False,544,-11.06,85.5,2386.5,-0.0,69.9,214.5
OOS_A,EUR_JPY,90,0.325,10.0,True,544,-11.06,85.5,2386.5,-0.0,69.9,214.5
OOS_A,EUR_JPY,90,0.325,15.0,False,469,-3.76,83.2,1713.0,-0.0,84.1,214.5
OOS_A,EUR_JPY,90,0.325,15.0,True,469,-3.76,83.2,1713.0,-0.0,84.1,214.5
OOS_A,EUR_JPY,90,0.325,20.0,False,400,-8.41,77.8,2780.4,-0.0,103.7,214.5
OOS_A,EUR_JPY,90,0.325,20.0,True,400,-8.41,77.8,2780.4,-0.0,103.7,214.5
OOS_A,EUR_JPY,90,0.325,30.0,False,320,-14.15,69.1,3111.7,-0.0,139.1,214.5
OOS_A,EUR_JPY,90,0.325,30.0,True,320,-14.15,69.1,3111.7,-0.0,139.1,214.5
OOS_A,EUR_JPY,95,0.448,10.0,False,377,-10.63,85.1,2420.1,-0.0,74.1,214.5
OOS_A,EUR_JPY,95,0.448,10.0,True,377,-10.63,85.1,2420.1,-0.0,74.1,214.5
OOS_A,EUR_JPY,95,0.448,15.0,False,325,-9.95,80.6,2359.9,-0.0,93.3,214.5
OOS_A,EUR_JPY,95,0.448,15.0,True,325,-9.95,80.6,2359.9,-0.0,93.3,214.5
OOS_A,EUR_JPY,95,0.448,20.0,False,289,-10.78,75.8,2530.7,-0.0,114.5,214.5
OOS_A,EUR_JPY,95,0.448,20.0,True,289,-10.78,75.8,2530.7,-0.0,114.5,214.5
OOS_A,EUR_JPY,95,0.448,30.0,False,244,-14.19,64.3,3126.3,-0.0,151.4,214.5
OOS_A,EUR_JPY,95,0.448,30.0,True,244,-14.19,64.3,3126.3,-0.0,151.4,214.5
OOS_A,EUR_JPY,98,0.642,10.0,False,192,-2.68,87.5,909.4,-0.0,69.9,214.5
OOS_A,EUR_JPY,98,0.642,10.0,True,192,-2.68,87.5,909.4,-0.0,69.9,214.5
OOS_A,EUR_JPY,98,0.642,15.0,False,178,-1.99,83.7,1079.6,-0.0,86.0,214.5
OOS_A,EUR_JPY,98,0.642,15.0,True,178,-1.99,83.7,1079.6,-0.0,86.0,214.5
OOS_A,EUR_JPY,98,0.642,20.0,False,167,-6.18,77.2,1880.8,-0.0,114.2,214.5
OOS_A,EUR_JPY,98,0.642,20.0,True,167,-6.18,77.2,1880.8,-0.0,114.2,214.5
OOS_A,EUR_JPY,98,0.642,30.0,False,146,-8.03,66.4,1852.8,-0.0,147.3,214.5
OOS_A,EUR_JPY,98,0.642,30.0,True,146,-8.03,66.4,1852.8,-0.0,147.3,214.5
OOS_B,EUR_JPY,90,0.325,10.0,False,136,-3.92,80.1,951.4,-0.0,98.1,214.5
OOS_B,EUR_JPY,90,0.325,10.0,True,136,-3.92,80.1,951.4,-0.0,98.1,214.5
OOS_B,EUR_JPY,90,0.325,15.0,False,129,-3.45,72.9,967.4,-0.0,124.1,214.5
OOS_B,EUR_JPY,90,0.325,15.0,True,129,-3.45,72.9,967.4,-0.0,124.1,214.5
OOS_B,EUR_JPY,90,0.325,20.0,False,123,-4.18,70.7,1012.4,-0.0,134.1,214.5
OOS_B,EUR_JPY,90,0.325,20.0,True,123,-4.18,70.7,1012.4,-0.0,134.1,214.5
OOS_B,EUR_JPY,90,0.325,30.0,False,117,-3.67,63.2,944.3,-0.0,160.8,214.5
OOS_B,EUR_JPY,90,0.325,30.0,True,117,-3.67,63.2,944.3,-0.0,160.8,214.5
OOS_B,EUR_JPY,95,0.448,10.0,False,53,-1.82,77.4,407.3,-0.0,94.6,214.5
OOS_B,EUR_JPY,95,0.448,10.0,True,53,-1.82,77.4,407.3,-0.0,94.6,214.5
OOS_B,EUR_JPY,95,0.448,15.0,False,51,-2.11,70.6,437.4,-0.0,117.8,214.5
OOS_B,EUR_JPY,95,0.448,15.0,True,51,-2.11,70.6,437.4,-0.0,117.8,214.5
OOS_B,EUR_JPY,95,0.448,20.0,False,51,-2.1,68.6,443.9,-0.0,133.4,214.5
OOS_B,EUR_JPY,95,0.448,20.0,True,51,-2.1,68.6,443.9,-0.0,133.4,214.5
OOS_B,EUR_JPY,95,0.448,30.0,False,50,-2.36,58.0,519.8,-0.0,170.0,214.5
OOS_B,EUR_JPY,95,0.448,30.0,True,50,-2.36,58.0,519.8,-0.0,170.0,214.5
OOS_B,EUR_JPY,98,0.642,10.0,False,12,-0.01,75.0,40.9,-0.0,74.6,214.5
OOS_B,EUR_JPY,98,0.642,10.0,True,12,-0.01,75.0,40.9,-0.0,74.6,214.5
OOS_B,EUR_JPY,98,0.642,15.0,False,12,0.28,83.3,30.7,0.01,85.6,214.5
OOS_B,EUR_JPY,98,0.642,15.0,True,12,0.28,83.3,30.7,0.01,85.6,214.5
OOS_B,EUR_JPY,98,0.642,20.0,False,12,0.5,83.3,30.7,0.02,100.8,214.5
OOS_B,EUR_JPY,98,0.642,20.0,True,12,0.5,83.3,30.7,0.02,100.8,214.5
OOS_B,EUR_JPY,98,0.642,30.0,False,12,0.15,58.3,104.1,0.0,163.2,214.5
OOS_B,EUR_JPY,98,0.642,30.0,True,12,0.15,58.3,104.1,0.0,163.2,214.5
OOS_A,GBP_USD,90,0.285,10.0,False,443,-5.64,82.2,1430.0,-0.0,85.8,214.4
OOS_A,GBP_USD,90,0.285,10.0,True,443,-5.64,82.2,1430.0,-0.0,85.8,214.4
OOS_A,GBP_USD,90,0.285,15.0,False,356,-9.62,72.8,2326.3,-0.0,118.8,214.4
OOS_A,GBP_USD,90,0.285,15.0,True,356,-9.62,72.8,2326.3,-0.0,118.8,214.4
OOS_A,GBP_USD,90,0.285,20.0,False,315,-6.51,69.5,1701.0,-0.0,137.1,214.4
OOS_A,GBP_USD,90,0.285,20.0,True,315,-6.51,69.5,1701.0,-0.0,137.1,214.4
OOS_A,GBP_USD,90,0.285,30.0,False,264,-3.87,63.3,1701.6,-0.0,171.8,214.4
OOS_A,GBP_USD,90,0.285,30.0,True,264,-3.87,63.3,1701.6,-0.0,171.8,214.4
OOS_A,GBP_USD,95,0.388,10.0,False,287,-6.23,81.9,1450.7,-0.0,88.7,214.4
OOS_A,GBP_USD,95,0.388,10.0,True,287,-6.23,81.9,1450.7,-0.0,88.7,214.4
OOS_A,GBP_USD,95,0.388,15.0,False,249,-8.24,72.3,1855.8,-0.0,117.8,214.4
OOS_A,GBP_USD,95,0.388,15.0,True,249,-8.24,72.3,1855.8,-0.0,117.8,214.4
OOS_A,GBP_USD,95,0.388,20.0,False,226,-6.35,68.1,1337.4,-0.0,136.6,214.4
OOS_A,GBP_USD,95,0.388,20.0,True,226,-6.35,68.1,1337.4,-0.0,136.6,214.4
