pair,n,ppd,wr,mdd,mean_hold_m5,mean_pnl,max_loss,max_win,pct_long,days,sum_pips
GBP_JPY,34176,-561.41,12.2,240989.1,1.9,-7.05,-97.4,294.2,52.3,429.2,-240981.1
USD_JPY,35232,-283.88,18.3,121799.0,1.9,-3.46,-151.8,229.5,51.8,429.0,-121770.6
EUR_JPY,17363,-190.22,15.4,81669.3,1.9,-4.7,-140.8,250.4,51.7,429.0,-81605.6
GBP_USD,35401,-324.0,12.6,138918.4,1.9,-3.92,-105.1,91.8,50.3,428.8,-138921.9
AUD_JPY,25486,-256.07,12.3,109923.0,1.9,-4.31,-185.5,162.6,52.6,429.3,-109933.3
EUR_USD,28809,-215.75,12.4,92548.9,1.9,-3.21,-86.7,95.5,49.8,428.9,-92542.4
EUR_GBP,36651,-253.05,5.7,108549.4,1.8,-2.96,-38.6,37.7,49.4,429.0,-108552.4
AUD_USD,35857,-228.27,11.8,97836.5,1.8,-2.73,-40.6,78.8,51.0,428.6,-97826.6
NZD_JPY,31126,-404.84,7.4,173684.2,1.9,-5.58,-76.7,80.0,51.1,429.0,-173677.9
CHF_JPY,14014,-230.81,10.9,98750.4,1.9,-7.05,-117.5,109.8,51.3,427.8,-98742.6
NZD_USD,35918,-253.03,9.8,108420.8,1.9,-3.02,-76.2,41.7,50.3,428.5,-108421.5
CAD_JPY,28599,-310.04,10.4,133079.9,1.9,-4.65,-108.2,164.6,51.7,429.2,-133079.4
