pair,n,ppd,wr,mdd,mean_hold_h1,mean_pnl,max_loss,max_win,sum_pips,days
GBP_JPY,3153,-52.29,25.3,22625.3,1.9,-7.12,-352.1,398.5,-22457.8,429.5
USD_JPY,3326,-28.38,28.7,12300.6,1.9,-3.66,-211.8,327.6,-12187.6,429.5
EUR_JPY,1727,-24.05,24.6,10509.8,1.9,-5.98,-263.9,180.6,-10330.8,429.5
GBP_USD,3385,-39.0,24.0,16781.6,1.9,-4.95,-132.3,142.5,-16749.8,429.5
AUD_JPY,2455,-28.14,25.0,12214.6,1.9,-4.92,-174.5,330.2,-12086.2,429.5
EUR_USD,2759,-22.15,25.0,9586.0,1.9,-3.45,-100.1,133.0,-9512.7,429.5
EUR_GBP,3514,-28.66,16.4,12306.7,1.8,-3.5,-43.3,83.9,-12309.8,429.5
AUD_USD,3367,-23.5,24.7,10237.9,1.9,-3.0,-61.7,118.8,-10093.6,429.5
NZD_JPY,2796,-36.67,22.6,15814.0,2.0,-5.63,-191.0,257.4,-15748.2,429.5
CHF_JPY,1388,-29.83,22.4,12886.6,1.9,-9.23,-246.3,130.5,-12810.8,429.5
NZD_USD,3427,-26.38,23.1,11379.3,1.9,-3.31,-60.4,64.1,-11334.3,429.6
CAD_JPY,2707,-32.73,22.8,14177.7,1.9,-5.19,-158.4,197.3,-14058.3,429.5
