pair,hyst,n,ppd,wr,mdd,mean_hold_m5,mean_pnl,max_loss,max_win,sum_pips,days
GBP_JPY,3,6744,-121.72,21.5,52372.0,10.3,-7.75,-213.6,358.4,-52246.9,429.2
GBP_JPY,6,1761,-33.4,26.8,14342.9,23.7,-8.14,-298.4,333.9,-14338.5,429.2
GBP_JPY,12,54,-2.06,14.8,853.8,39.0,-16.37,-82.3,100.2,-884.2,429.2
GBP_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.2
USD_JPY,3,7044,-63.02,26.3,27032.0,10.2,-3.84,-216.4,406.1,-27030.6,429.0
USD_JPY,6,1834,-19.95,29.6,8588.9,23.4,-4.67,-202.3,263.2,-8557.5,429.0
USD_JPY,12,57,-0.06,38.6,260.4,42.4,-0.43,-77.0,114.7,-24.3,429.0
USD_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0
EUR_JPY,3,3320,-39.96,23.4,17398.2,10.4,-5.16,-232.8,170.5,-17143.1,429.0
EUR_JPY,6,755,-11.01,25.7,4840.1,23.3,-6.26,-219.0,165.3,-4724.2,429.0
EUR_JPY,12,26,-0.45,23.1,344.3,37.5,-7.5,-52.2,121.6,-195.0,429.0
EUR_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0
GBP_USD,3,7153,-71.03,21.5,30522.4,10.0,-4.26,-92.9,103.0,-30455.1,428.8
GBP_USD,6,1858,-21.84,25.1,9430.1,23.1,-5.04,-110.4,129.9,-9366.0,428.8
GBP_USD,12,39,-0.72,25.6,349.1,41.3,-7.88,-52.8,94.0,-307.2,428.8
GBP_USD,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.8
AUD_JPY,3,4913,-50.81,22.0,21871.8,10.3,-4.44,-104.6,337.4,-21811.7,429.3
AUD_JPY,6,1147,-12.4,27.6,5391.3,23.9,-4.64,-145.7,158.8,-5324.5,429.3
AUD_JPY,12,30,0.12,33.3,192.9,38.3,1.77,-40.8,166.0,53.1,429.3
AUD_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.3
EUR_USD,3,5727,-48.71,20.7,20953.6,9.9,-3.65,-103.0,88.5,-20895.5,428.9
EUR_USD,6,1196,-11.95,24.1,5184.5,23.2,-4.29,-86.3,84.4,-5127.4,428.9
EUR_USD,12,29,-0.51,20.7,210.1,38.7,-7.48,-47.8,19.8,-217.0,428.9
EUR_USD,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.9
EUR_GBP,3,6939,-53.49,13.6,22941.8,9.5,-3.31,-48.9,101.8,-22945.9,429.0
EUR_GBP,6,1570,-11.62,21.9,4975.9,23.2,-3.17,-60.6,60.9,-4982.8,429.0
EUR_GBP,12,26,-0.16,30.8,87.0,41.3,-2.69,-14.4,17.0,-70.0,429.0
EUR_GBP,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0
AUD_USD,3,7127,-49.5,21.1,21237.3,9.9,-2.98,-47.4,97.7,-21212.8,428.6
AUD_USD,6,1808,-13.1,26.9,5617.2,23.6,-3.1,-70.9,81.0,-5612.5,428.6
AUD_USD,12,40,0.28,40.0,102.1,44.3,3.03,-39.6,239.7,121.0,428.6
AUD_USD,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.6
NZD_JPY,3,6139,-84.73,17.4,36362.4,10.1,-5.92,-111.5,113.0,-36348.3,429.0
NZD_JPY,6,1550,-20.25,24.1,8721.0,24.2,-5.6,-131.0,244.0,-8687.1,429.0
NZD_JPY,12,41,-0.14,39.0,225.2,47.7,-1.42,-46.0,96.0,-58.4,429.0
NZD_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.0
CHF_JPY,3,2668,-48.68,20.1,20838.9,10.2,-7.81,-113.2,123.6,-20824.6,427.8
CHF_JPY,6,573,-9.85,28.1,4304.1,24.6,-7.35,-184.5,119.8,-4213.5,427.8
CHF_JPY,12,25,-0.56,40.0,169.6,41.7,-9.56,-330.6,66.5,-239.1,427.8
CHF_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,427.8
NZD_USD,3,7147,-52.52,19.7,22494.3,10.1,-3.15,-45.7,84.5,-22505.9,428.5
NZD_USD,6,1779,-14.19,25.8,6123.0,23.6,-3.42,-65.1,69.9,-6082.1,428.5
NZD_USD,12,47,0.16,27.7,154.1,43.9,1.42,-22.8,152.5,66.6,428.5
NZD_USD,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,428.5
CAD_JPY,3,5627,-66.55,19.8,28592.5,10.2,-5.08,-166.8,148.5,-28566.5,429.2
CAD_JPY,6,1355,-16.61,24.9,7126.7,24.1,-5.26,-149.7,149.4,-7130.5,429.2
CAD_JPY,12,29,-0.2,31.0,179.9,48.4,-2.92,-62.3,115.4,-84.8,429.2
CAD_JPY,24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,429.2
