pair,hold_bars,mode,n,days,ppd,wr,mdd,mean_pnl,max_loss,max_win,sum_pips,n_long,n_short,wr_long,wr_short,ppd_long,ppd_short
GBP_JPY,96,long_only,64,429.2,-0.29,50.0,375.7,-1.95,-119.5,229.0,-124.9,64,0,50.0,0.0,-0.29,0.0
GBP_JPY,96,both,299,429.2,-2.02,49.2,1621.7,-2.9,-195.7,239.0,-868.3,64,235,50.0,48.9,-0.29,-1.73
GBP_JPY,288,long_only,23,429.2,0.97,47.8,257.3,18.02,-107.5,277.1,414.5,23,0,47.8,0.0,0.97,0.0
GBP_JPY,288,both,114,429.2,3.59,50.9,944.6,13.52,-248.8,358.8,1541.5,23,91,47.8,51.6,0.97,2.63
GBP_JPY,576,long_only,17,429.2,2.37,58.8,385.0,59.77,-159.0,447.1,1016.1,17,0,58.8,0.0,2.37,0.0
GBP_JPY,576,both,80,429.2,2.03,48.8,1152.5,10.9,-334.6,447.1,872.3,17,63,58.8,46.0,2.37,-0.34
USD_JPY,96,long_only,134,429.0,1.18,57.5,613.0,3.78,-137.2,119.4,506.7,134,0,57.5,0.0,1.18,0.0
USD_JPY,96,both,327,429.0,2.26,51.1,648.8,2.96,-137.2,248.9,967.7,134,193,57.5,46.6,1.18,1.07
USD_JPY,288,long_only,53,429.0,1.61,49.1,712.4,13.04,-190.2,218.9,691.3,53,0,49.1,0.0,1.61,0.0
USD_JPY,288,both,125,429.0,2.84,44.8,768.3,9.74,-240.6,354.6,1217.9,53,72,49.1,41.7,1.61,1.23
USD_JPY,576,long_only,39,429.0,0.99,51.3,1007.8,10.87,-304.0,236.4,423.9,39,0,51.3,0.0,0.99,0.0
USD_JPY,576,both,87,429.0,2.41,51.7,1069.9,11.91,-324.3,431.9,1035.8,39,48,51.3,52.1,0.99,1.43
EUR_JPY,96,long_only,84,429.0,1.29,61.9,410.5,6.61,-128.8,148.9,555.1,84,0,61.9,0.0,1.29,0.0
EUR_JPY,96,both,230,429.0,-0.62,50.4,1295.0,-1.16,-128.8,152.3,-267.4,84,146,61.9,43.8,1.29,-1.92
EUR_JPY,288,long_only,34,429.0,2.65,70.6,259.0,33.39,-193.8,274.0,1135.4,34,0,70.6,0.0,2.65,0.0
EUR_JPY,288,both,106,429.0,1.75,51.9,1250.0,7.09,-212.3,274.0,751.7,34,72,70.6,43.1,2.65,-0.89
EUR_JPY,576,long_only,27,429.0,3.72,63.0,271.0,59.12,-230.7,487.1,1596.3,27,0,63.0,0.0,3.72,0.0
EUR_JPY,576,both,75,429.0,3.36,52.0,779.5,19.24,-230.7,487.1,1443.2,27,48,63.0,45.8,3.72,-0.36
GBP_USD,96,long_only,182,428.8,-1.19,47.3,722.7,-2.8,-145.3,163.1,-510.4,182,0,47.3,0.0,-1.19,0.0
GBP_USD,96,both,378,428.8,-3.29,46.0,1715.9,-3.73,-145.3,163.1,-1409.6,182,196,47.3,44.9,-1.19,-2.1
GBP_USD,288,long_only,69,428.8,-0.36,43.5,545.7,-2.22,-130.7,140.8,-153.2,69,0,43.5,0.0,-0.36,0.0
GBP_USD,288,both,141,428.8,-0.94,48.9,996.2,-2.86,-192.4,150.2,-402.7,69,72,43.5,54.2,-0.36,-0.58
GBP_USD,576,long_only,49,428.8,0.21,49.0,527.9,1.85,-183.7,175.1,90.6,49,0,49.0,0.0,0.21,0.0
GBP_USD,576,both,97,428.8,-0.01,54.6,982.3,-0.07,-189.8,175.1,-6.4,49,48,49.0,60.4,0.21,-0.23
AUD_JPY,96,long_only,81,429.3,-0.68,42.0,570.4,-3.58,-162.8,166.1,-290.3,81,0,42.0,0.0,-0.68,0.0
AUD_JPY,96,both,303,429.3,-5.3,36.6,2643.0,-7.51,-162.8,166.1,-2276.6,81,222,42.0,34.7,-0.68,-4.63
AUD_JPY,288,long_only,33,429.3,0.3,45.5,408.4,3.86,-112.3,169.7,127.4,33,0,45.5,0.0,0.3,0.0
AUD_JPY,288,both,123,429.3,-1.73,40.7,1278.5,-6.05,-188.2,208.0,-743.6,33,90,45.5,38.9,0.3,-2.03
AUD_JPY,576,long_only,22,429.3,1.13,50.0,319.8,22.12,-139.2,215.0,486.6,22,0,50.0,0.0,1.13,0.0
AUD_JPY,576,both,80,429.3,-0.45,43.8,1073.6,-2.41,-259.0,215.0,-192.7,22,58,50.0,41.4,1.13,-1.58
EUR_USD,96,long_only,108,428.9,-0.38,40.7,422.9,-1.52,-85.8,168.5,-164.3,108,0,40.7,0.0,-0.38,0.0
EUR_USD,96,both,293,428.9,-1.03,45.7,853.0,-1.51,-85.8,168.5,-442.5,108,185,40.7,48.6,-0.38,-0.65
EUR_USD,288,long_only,42,428.9,-0.32,47.6,497.7,-3.31,-103.5,162.6,-139.1,42,0,47.6,0.0,-0.32,0.0
EUR_USD,288,both,113,428.9,-0.22,54.0,620.3,-0.85,-127.2,176.3,-95.8,42,71,47.6,57.7,-0.32,0.1
EUR_USD,576,long_only,29,428.9,-0.02,51.7,323.4,-0.36,-186.4,147.9,-10.3,29,0,51.7,0.0,-0.02,0.0
EUR_USD,576,both,79,428.9,0.95,59.5,426.0,5.15,-186.4,147.9,407.1,29,50,51.7,64.0,-0.02,0.97
EUR_GBP,96,long_only,167,429.0,0.17,41.9,177.1,0.44,-29.4,91.1,73.3,167,0,41.9,0.0,0.17,0.0
EUR_GBP,96,both,292,429.0,-0.19,42.1,308.8,-0.28,-46.8,91.1,-82.0,167,125,41.9,42.4,0.17,-0.36
EUR_GBP,288,long_only,63,429.0,0.81,58.7,119.4,5.54,-49.1,76.2,349.2,63,0,58.7,0.0,0.81,0.0
EUR_GBP,288,both,112,429.0,0.91,57.1,142.9,3.47,-72.4,76.2,388.5,63,49,58.7,55.1,0.8,0.11
EUR_GBP,576,long_only,47,429.0,0.9,48.9,164.9,8.23,-50.0,112.6,386.9,47,0,48.9,0.0,0.9,0.0
EUR_GBP,576,both,83,429.0,1.24,51.8,188.1,6.42,-66.1,128.8,533.0,46,37,47.8,56.8,0.82,0.42
AUD_USD,96,long_only,111,428.6,-0.4,43.2,302.4,-1.54,-93.0,60.6,-170.4,111,0,43.2,0.0,-0.4,0.0
AUD_USD,96,both,352,428.6,-1.41,45.2,979.4,-1.71,-93.0,73.3,-603.3,111,241,43.2,46.1,-0.4,-1.01
AUD_USD,288,long_only,42,428.6,0.35,50.0,290.9,3.58,-104.6,144.7,150.3,42,0,50.0,0.0,0.35,0.0
AUD_USD,288,both,130,428.6,-0.53,47.7,809.6,-1.76,-105.4,144.7,-228.3,42,88,50.0,46.6,0.35,-0.88
AUD_USD,576,long_only,30,428.6,-0.0,36.7,249.4,-0.04,-107.0,144.2,-1.1,30,0,36.7,0.0,-0.0,0.0
AUD_USD,576,both,88,428.6,-0.14,43.2,622.4,-0.68,-114.7,144.2,-60.0,30,58,36.7,46.6,-0.0,-0.14
NZD_JPY,96,long_only,148,429.0,-2.28,40.5,1270.0,-6.62,-157.5,105.5,-980.2,148,0,40.5,0.0,-2.28,0.0
NZD_JPY,96,both,329,429.0,-4.89,38.6,2408.1,-6.38,-157.5,131.3,-2099.0,148,181,40.5,37.0,-2.28,-2.61
NZD_JPY,288,long_only,58,429.0,-0.68,55.2,637.9,-5.04,-147.1,109.8,-292.6,58,0,55.2,0.0,-0.68,0.0
NZD_JPY,288,both,126,429.0,-1.77,46.0,1217.9,-6.01,-147.1,191.5,-757.4,58,68,55.2,38.2,-0.68,-1.08
NZD_JPY,576,long_only,40,429.0,1.48,57.5,289.7,15.9,-153.0,240.9,635.9,40,0,57.5,0.0,1.48,0.0
NZD_JPY,576,both,85,429.0,0.96,50.6,512.0,4.86,-153.0,240.9,413.3,40,45,57.5,44.4,1.48,-0.52
CHF_JPY,96,long_only,45,427.8,0.25,53.3,263.9,2.39,-102.3,115.0,107.4,45,0,53.3,0.0,0.25,0.0
CHF_JPY,96,both,154,427.8,-1.38,48.1,1026.0,-3.83,-102.3,139.3,-590.4,45,109,53.3,45.9,0.25,-1.63
CHF_JPY,288,long_only,19,427.8,1.02,63.2,314.2,22.96,-145.6,155.7,436.3,19,0,63.2,0.0,1.02,0.0
CHF_JPY,288,both,81,427.8,0.34,53.1,799.2,1.78,-328.4,192.5,144.1,19,62,63.2,50.0,1.02,-0.68
CHF_JPY,576,long_only,16,427.8,1.53,68.8,233.2,40.79,-165.2,221.8,652.6,16,0,68.8,0.0,1.53,0.0
CHF_JPY,576,both,60,427.8,1.49,51.7,781.1,10.61,-414.6,434.7,636.9,16,44,68.8,45.5,1.53,-0.04
NZD_USD,96,long_only,169,428.5,-1.16,46.2,641.7,-2.94,-102.4,72.8,-496.6,169,0,46.2,0.0,-1.16,0.0
NZD_USD,96,both,333,428.5,-2.04,45.0,999.3,-2.63,-102.4,72.8,-875.5,169,164,46.2,43.9,-1.16,-0.88
NZD_USD,288,long_only,66,428.5,0.08,48.5,330.3,0.54,-126.9,85.0,35.9,66,0,48.5,0.0,0.08,0.0
NZD_USD,288,both,125,428.5,0.0,52.0,469.5,0.01,-126.9,85.0,1.5,66,59,48.5,55.9,0.08,-0.08
NZD_USD,576,long_only,44,428.5,-0.09,56.8,456.1,-0.86,-134.3,120.5,-37.7,44,0,56.8,0.0,-0.09,0.0
NZD_USD,576,both,84,428.5,0.62,57.1,515.3,3.16,-134.3,120.5,265.8,44,40,56.8,57.5,-0.09,0.71
CAD_JPY,96,long_only,112,429.2,0.92,55.4,340.1,3.54,-124.5,145.4,396.7,112,0,55.4,0.0,0.92,0.0
CAD_JPY,96,both,287,429.2,-0.54,48.8,870.3,-0.81,-124.5,145.4,-233.9,112,175,55.4,44.6,0.92,-1.47
CAD_JPY,288,long_only,43,429.2,1.8,62.8,320.3,17.97,-121.8,109.4,772.8,43,0,62.8,0.0,1.8,0.0
CAD_JPY,288,both,111,429.2,2.13,55.9,364.5,8.24,-131.0,153.0,914.3,43,68,62.8,51.5,1.8,0.33
CAD_JPY,576,long_only,31,429.2,3.41,74.2,235.5,47.27,-143.3,194.3,1465.5,31,0,74.2,0.0,3.41,0.0
CAD_JPY,576,both,76,429.2,3.26,63.2,214.8,18.41,-143.3,194.3,1399.2,31,45,74.2,55.6,3.41,-0.15
