pair,fwd_window,score,n,mean_pips,wr,std_pips
GBP_JPY,1h,-5,1442,0.997,52.1,22.9
GBP_JPY,1h,-4,35,3.163,60.0,17.5
GBP_JPY,1h,-3,11317,1.092,53.5,23.9
GBP_JPY,1h,-2,336,0.28,48.2,20.3
GBP_JPY,1h,-1,32035,0.349,52.4,24.0
GBP_JPY,1h,0,861,1.14,53.2,17.2
GBP_JPY,1h,1,42871,0.175,51.9,22.0
GBP_JPY,1h,2,721,-0.114,49.2,17.0
GBP_JPY,1h,3,27367,-0.037,50.9,21.5
GBP_JPY,1h,4,195,-2.306,44.6,18.1
GBP_JPY,1h,5,6430,-0.897,50.0,22.1
GBP_JPY,4h,-5,1442,6.078,56.8,46.7
GBP_JPY,4h,-4,35,6.506,60.0,48.5
GBP_JPY,4h,-3,11317,3.6,54.7,46.7
GBP_JPY,4h,-2,336,2.012,52.7,37.9
GBP_JPY,4h,-1,32025,2.303,54.4,45.6
GBP_JPY,4h,0,861,-0.207,51.7,35.9
GBP_JPY,4h,1,42859,0.673,52.9,44.7
GBP_JPY,4h,2,721,-2.697,49.1,37.3
GBP_JPY,4h,3,27361,-0.892,50.9,44.2
GBP_JPY,4h,4,194,-1.179,46.9,39.7
GBP_JPY,4h,5,6423,-3.313,48.3,43.6
GBP_JPY,24h,-5,1442,33.708,59.8,105.2
GBP_JPY,24h,-4,35,0.863,42.9,84.3
GBP_JPY,24h,-3,11317,20.987,60.3,102.7
GBP_JPY,24h,-2,336,12.397,57.7,88.1
GBP_JPY,24h,-1,31984,10.61,57.2,103.0
GBP_JPY,24h,0,859,-2.305,48.8,90.2
GBP_JPY,24h,1,42738,0.94,53.2,103.2
GBP_JPY,24h,2,719,-6.651,49.0,103.0
GBP_JPY,24h,3,27287,-1.513,51.7,105.7
GBP_JPY,24h,4,194,-0.011,55.7,117.4
GBP_JPY,24h,5,6423,0.142,51.2,110.1
USD_JPY,1h,-5,3037,1.255,54.4,22.1
USD_JPY,1h,-4,134,-1.337,53.7,18.0
USD_JPY,1h,-3,17162,0.459,52.4,19.6
USD_JPY,1h,-2,680,-0.448,51.6,15.5
USD_JPY,1h,-1,35606,0.132,51.4,18.6
USD_JPY,1h,0,1117,-1.045,48.6,14.9
USD_JPY,1h,1,37864,0.163,51.2,17.8
USD_JPY,1h,2,864,-0.634,51.3,16.6
USD_JPY,1h,3,21572,0.015,50.8,17.2
USD_JPY,1h,4,304,-0.333,50.3,12.5
USD_JPY,1h,5,5186,-0.555,50.3,15.9
USD_JPY,4h,-5,3035,3.208,57.1,41.3
USD_JPY,4h,-4,134,3.114,54.5,44.4
USD_JPY,4h,-3,17149,1.214,52.9,39.7
USD_JPY,4h,-2,678,-1.952,46.0,32.4
USD_JPY,4h,-1,35587,0.356,52.3,36.9
USD_JPY,4h,0,1117,-1.245,49.4,28.6
USD_JPY,4h,1,37864,0.704,52.6,36.1
USD_JPY,4h,2,864,0.271,52.1,37.8
USD_JPY,4h,3,21572,0.489,51.9,35.0
USD_JPY,4h,4,304,1.924,49.7,39.5
USD_JPY,4h,5,5186,-1.724,48.7,30.9
USD_JPY,24h,-5,3035,24.83,63.2,91.1
USD_JPY,24h,-4,134,28.31,67.9,81.1
USD_JPY,24h,-3,17095,6.938,55.3,91.8
USD_JPY,24h,-2,675,6.219,54.8,85.7
USD_JPY,24h,-1,35459,5.051,55.5,89.9
USD_JPY,24h,0,1114,10.483,56.5,79.6
USD_JPY,24h,1,37812,2.309,54.6,90.7
USD_JPY,24h,2,864,2.58,53.8,94.8
USD_JPY,24h,3,21572,-2.227,53.3,92.5
USD_JPY,24h,4,304,4.076,57.6,102.4
USD_JPY,24h,5,5186,0.109,55.5,90.4
EUR_JPY,1h,-5,2368,0.127,50.1,18.8
EUR_JPY,1h,-4,83,-1.178,48.2,17.4
EUR_JPY,1h,-3,14568,0.768,53.4,19.2
EUR_JPY,1h,-2,541,0.757,54.2,15.5
EUR_JPY,1h,-1,34679,0.367,52.5,19.3
EUR_JPY,1h,0,986,0.993,52.7,15.9
EUR_JPY,1h,1,40567,0.155,51.6,17.9
EUR_JPY,1h,2,837,0.766,50.8,12.0
EUR_JPY,1h,3,23243,-0.16,50.7,16.1
EUR_JPY,1h,4,247,-0.302,45.7,10.5
EUR_JPY,1h,5,5424,0.053,51.5,15.5
EUR_JPY,4h,-5,2368,4.145,54.2,42.9
EUR_JPY,4h,-4,83,-7.661,39.8,40.4
EUR_JPY,4h,-3,14568,2.628,54.9,38.4
EUR_JPY,4h,-2,541,0.655,55.8,33.6
EUR_JPY,4h,-1,34669,1.442,54.5,36.9
EUR_JPY,4h,0,985,0.838,52.2,31.4
EUR_JPY,4h,1,40556,0.866,53.4,34.7
EUR_JPY,4h,2,837,2.132,55.2,30.6
EUR_JPY,4h,3,23237,-0.221,52.3,32.2
EUR_JPY,4h,4,247,0.328,49.8,26.7
EUR_JPY,4h,5,5416,-2.784,49.6,32.1
EUR_JPY,24h,-5,2368,19.183,59.0,107.6
