pair,fwd_window,corr,n
GBP_JPY,1h,-0.0168,123610
GBP_JPY,4h,-0.0395,123574
GBP_JPY,24h,-0.066,123334
USD_JPY,1h,-0.0115,123526
USD_JPY,4h,-0.0119,123490
USD_JPY,24h,-0.0424,123250
EUR_JPY,1h,-0.0126,123543
EUR_JPY,4h,-0.032,123507
EUR_JPY,24h,-0.0626,123267
GBP_USD,1h,-0.0065,123474
GBP_USD,4h,-0.0084,123438
GBP_USD,24h,-0.0051,123198
AUD_JPY,1h,-0.0092,123631
AUD_JPY,4h,-0.0173,123595
AUD_JPY,24h,-0.0275,123355
EUR_USD,1h,-0.005,123523
EUR_USD,4h,-0.0114,123487
EUR_USD,24h,-0.0107,123247
EUR_GBP,1h,-0.029,123531
EUR_GBP,4h,-0.0425,123495
EUR_GBP,24h,-0.0723,123255
AUD_USD,1h,-0.0133,123411
AUD_USD,4h,-0.0113,123375
AUD_USD,24h,0.0102,123135
NZD_JPY,1h,-0.0087,123540
NZD_JPY,4h,-0.0182,123504
NZD_JPY,24h,-0.0255,123264
CHF_JPY,1h,-0.0091,123195
CHF_JPY,4h,-0.0165,123159
CHF_JPY,24h,-0.0281,122919
NZD_USD,1h,-0.0058,123394
NZD_USD,4h,-0.0046,123358
NZD_USD,24h,-0.0016,123118
CAD_JPY,1h,-0.0148,123607
CAD_JPY,4h,-0.0351,123571
CAD_JPY,24h,-0.0647,123331
