pair,cell,n_events,n_filled,skipped_markov,skipped_ws,wr,net,ppd,mdd,days
GBP_JPY,baseline,15474,15449,0,0,56.3,14154.2,37.11,1140.7,381.4
GBP_JPY,markov,10999,10982,86852,0,56.7,12654.2,33.17,660.6,381.4
GBP_JPY,ws,1846,1843,0,279563,74.7,12226.7,32.05,192.0,381.4
GBP_JPY,markov+ws,891,889,191485,128993,75.8,6355.5,16.66,125.5,381.4
USD_JPY,baseline,14992,14548,0,0,52.4,6473.6,17.75,1667.9,364.7
USD_JPY,markov,11281,10982,82363,0,53.0,6182.8,16.95,774.2,364.7
USD_JPY,ws,1297,1288,0,344428,72.5,8994.7,24.67,187.4,364.7
USD_JPY,markov+ws,629,625,217853,163418,73.6,4631.0,12.7,241.7,364.7
EUR_JPY,baseline,14389,14300,0,0,52.1,3582.9,10.06,3296.2,356.1
EUR_JPY,markov,10547,10476,70331,0,52.3,4201.9,11.8,2383.1,356.1
EUR_JPY,ws,1075,1071,0,280194,74.6,7499.0,21.06,154.1,356.1
EUR_JPY,markov+ws,518,517,176410,130630,75.6,3842.2,10.79,84.3,356.1
AUD_JPY,baseline,15158,14934,0,0,49.4,-3435.9,-8.91,4152.7,385.6
AUD_JPY,markov,11239,11073,63873,0,50.0,736.8,1.91,2504.6,385.6
AUD_JPY,ws,734,729,0,278533,71.1,4449.7,11.54,141.5,385.6
AUD_JPY,markov+ws,349,347,169959,129225,68.9,2005.1,5.2,112.0,385.6
