pair,ws_thr,n_events,n_filled,n_skipped,n_tp,wr,tp_pct,net_pnl,ppd,mdd,days
GBP_JPY,0.0,15474,15449,0,5790,56.3,37.5,14154.2,7.42,1140.7,1907.2
GBP_JPY,0.5,1846,1843,279563,1302,74.7,70.6,12226.7,6.41,192.0,1907.2
GBP_JPY,1.0,406,406,332657,350,85.2,86.2,3755.4,1.97,202.7,1907.2
GBP_JPY,1.5,138,138,347093,121,84.8,87.7,1129.7,0.59,215.7,1907.2
GBP_JPY,2.0,52,52,353317,46,86.5,88.5,409.1,0.21,158.5,1907.2
USD_JPY,0.0,14992,14548,0,3187,52.4,21.9,6473.6,3.55,1667.9,1823.3
USD_JPY,0.5,1297,1288,344428,771,72.5,59.9,8994.7,4.93,187.4,1823.3
USD_JPY,1.0,240,240,395381,198,85.8,82.5,2752.4,1.51,78.7,1823.3
USD_JPY,1.5,90,90,408209,83,94.4,92.2,1341.1,0.74,48.1,1823.3
USD_JPY,2.0,42,42,413220,40,95.2,95.2,636.8,0.35,41.1,1823.3
EUR_JPY,0.0,14389,14300,0,3221,52.1,22.5,3582.9,2.01,3296.2,1780.6
EUR_JPY,0.5,1075,1071,280194,675,74.6,63.0,7499.0,4.21,154.1,1780.6
EUR_JPY,1.0,202,201,319190,156,83.6,77.6,1885.7,1.06,107.6,1780.6
EUR_JPY,1.5,64,64,328106,52,84.4,81.2,537.3,0.3,70.2,1780.6
EUR_JPY,2.0,34,34,330556,31,91.2,91.2,356.3,0.2,53.5,1780.6
AUD_JPY,0.0,15158,14934,0,2284,49.4,15.3,-3435.9,-1.78,4152.7,1928.2
AUD_JPY,0.5,734,729,278533,421,71.1,57.8,4449.7,2.31,141.5,1928.2
AUD_JPY,1.0,144,143,306858,104,75.5,72.7,1091.4,0.57,127.0,1928.2
AUD_JPY,1.5,49,48,313929,39,79.2,81.2,435.0,0.23,62.4,1928.2
AUD_JPY,2.0,23,22,316285,19,86.4,86.4,249.5,0.13,68.0,1928.2
