pair,mfe_win,max_hold,is_trd,is_pd,is_max,is_min,oos_trd,oos_pd,oos_max,oos_min,wf_pass
GBP_JPY,12,180,606233,-2004.6,281.3,-166.0,253330,-2295.78,172.2,-161.0,0
GBP_JPY,12,720,606233,-2004.6,281.3,-166.0,253330,-2295.78,172.2,-161.0,0
GBP_JPY,12,2880,606233,-2004.6,281.3,-166.0,253330,-2295.78,172.2,-161.0,0
GBP_JPY,60,180,176816,-608.5,310.3,-146.5,74686,-715.04,165.7,-168.2,0
GBP_JPY,60,720,175161,-603.4,310.3,-146.5,73997,-709.31,208.0,-168.2,0
GBP_JPY,60,2880,175161,-603.4,310.3,-146.5,73997,-709.31,208.0,-168.2,0
GBP_JPY,144,180,91711,-320.04,287.7,-176.7,38765,-378.46,202.7,-201.2,0
GBP_JPY,144,720,79382,-279.44,436.6,-172.0,33687,-337.54,232.8,-142.6,0
GBP_JPY,144,2880,79367,-279.2,436.6,-172.0,33678,-337.42,232.8,-142.6,0
USD_JPY,12,180,588403,-1119.2,218.0,-88.3,253353,-1171.85,145.1,-66.2,0
USD_JPY,12,720,588403,-1119.2,218.0,-88.3,253353,-1171.85,145.1,-66.2,0
USD_JPY,12,2880,588403,-1119.2,218.0,-88.3,253353,-1171.85,145.1,-66.2,0
USD_JPY,60,180,171835,-333.91,235.1,-220.4,73640,-356.69,144.2,-110.8,0
USD_JPY,60,720,170262,-331.77,235.1,-220.4,72841,-352.17,157.7,-110.8,0
USD_JPY,60,2880,170262,-331.77,235.1,-220.4,72841,-352.17,157.7,-110.8,0
USD_JPY,144,180,89278,-174.33,231.5,-211.7,38270,-186.83,154.4,-201.3,0
USD_JPY,144,720,76694,-150.47,333.6,-211.7,32931,-171.44,198.5,-201.9,0
USD_JPY,144,2880,76683,-150.49,333.6,-211.7,32927,-171.84,198.5,-201.9,0
EUR_JPY,12,180,572383,-1347.13,234.1,-71.0,139608,-947.16,153.8,-89.0,0
EUR_JPY,12,720,572383,-1347.13,234.1,-71.0,139608,-947.16,153.8,-89.0,0
EUR_JPY,12,2880,572383,-1347.13,234.1,-71.0,139608,-947.16,153.8,-89.0,0
EUR_JPY,60,180,167018,-409.64,257.7,-154.8,52165,-378.12,175.0,-249.7,0
EUR_JPY,60,720,165436,-406.27,257.7,-154.8,51779,-376.02,262.8,-249.7,0
EUR_JPY,60,2880,165436,-406.27,257.7,-154.8,51779,-376.02,262.8,-249.7,0
EUR_JPY,144,180,86519,-212.05,253.7,-151.1,30035,-227.46,164.2,-249.7,0
EUR_JPY,144,720,74872,-186.16,357.8,-163.2,26625,-204.93,197.7,-249.7,0
EUR_JPY,144,2880,74853,-186.02,357.8,-163.2,26620,-204.87,197.7,-249.7,0
AUD_JPY,12,180,617900,-1224.78,139.0,-58.0,206979,-1162.22,78.6,-91.7,0
AUD_JPY,12,720,617900,-1224.78,139.0,-58.0,206979,-1162.22,78.6,-91.7,0
AUD_JPY,12,2880,617900,-1224.78,139.0,-58.0,206979,-1162.22,78.6,-91.7,0
AUD_JPY,60,180,180350,-368.05,162.9,-196.2,68011,-403.74,95.3,-119.8,0
AUD_JPY,60,720,178468,-364.68,181.8,-196.2,67411,-400.67,101.0,-119.8,0
AUD_JPY,60,2880,178468,-364.68,181.8,-196.2,67411,-400.67,101.0,-119.8,0
AUD_JPY,144,180,93736,-195.86,151.4,-180.6,36708,-221.11,182.5,-161.6,0
AUD_JPY,144,720,80760,-168.51,220.0,-180.6,31997,-197.56,167.3,-224.3,0
AUD_JPY,144,2880,80728,-168.35,220.0,-180.6,31989,-197.62,135.9,-224.3,0
