pair,high_thr,low_thr,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,n_long_pct
USD_JPY,30.0,30.0,2830,1644,1186,-22.75,-38.7,-3608.0,-3069.4,-6677.3,0.0,45.3
USD_JPY,30.0,60.0,776,381,395,-5.71,-13.37,-905.6,-1060.3,-1965.9,0.0,35.4
USD_JPY,30.0,100.0,293,126,167,-2.1,-5.93,-333.0,-470.1,-803.0,0.0,28.7
USD_JPY,30.0,150.0,114,48,66,-0.9,-2.44,-142.3,-193.8,-336.1,0.0,27.2
USD_JPY,30.0,250.0,39,23,16,-0.38,-0.47,-60.8,-37.3,-98.1,0.0,15.4
USD_JPY,60.0,30.0,710,382,328,-5.61,-11.87,-890.1,-941.6,-1831.7,0.0,51.1
USD_JPY,60.0,60.0,389,176,213,-2.67,-7.64,-423.3,-606.1,-1029.4,0.0,41.6
USD_JPY,60.0,100.0,204,82,122,-1.27,-4.03,-201.1,-319.7,-520.8,0.0,30.4
USD_JPY,60.0,150.0,95,33,62,-0.53,-2.21,-83.7,-175.2,-259.0,0.0,26.3
USD_JPY,60.0,250.0,30,15,15,-0.25,-0.44,-40.0,-34.6,-74.6,0.0,13.3
USD_JPY,100.0,30.0,217,108,109,-1.66,-3.95,-263.5,-313.4,-576.9,0.0,53.5
USD_JPY,100.0,60.0,152,73,79,-1.05,-2.87,-166.6,-227.7,-394.2,0.0,45.4
USD_JPY,100.0,100.0,106,47,59,-0.73,-2.04,-116.0,-161.5,-277.5,0.0,36.8
USD_JPY,100.0,150.0,60,21,39,-0.33,-1.43,-52.2,-113.6,-165.8,0.0,28.3
USD_JPY,100.0,250.0,20,8,12,-0.12,-0.35,-18.6,-27.6,-46.2,0.0,15.0
USD_JPY,150.0,30.0,70,33,37,-0.52,-1.5,-82.8,-118.6,-201.4,0.0,62.9
USD_JPY,150.0,60.0,52,24,28,-0.37,-1.06,-58.0,-84.4,-142.4,0.0,59.6
USD_JPY,150.0,100.0,42,17,25,-0.28,-0.98,-44.4,-77.8,-122.1,0.0,52.4
USD_JPY,150.0,150.0,29,11,18,-0.2,-0.76,-31.7,-60.0,-91.7,0.0,41.4
USD_JPY,150.0,250.0,10,4,6,-0.07,-0.2,-10.6,-16.2,-26.8,0.0,20.0
USD_JPY,250.0,30.0,17,11,6,-0.16,-0.38,-24.8,-29.9,-54.7,0.0,70.6
USD_JPY,250.0,60.0,13,9,4,-0.13,-0.13,-20.5,-10.1,-30.7,0.0,76.9
USD_JPY,250.0,100.0,10,7,3,-0.11,-0.1,-17.3,-8.1,-25.4,0.0,70.0
USD_JPY,250.0,150.0,8,5,3,-0.08,-0.1,-12.3,-8.1,-20.5,0.0,75.0
USD_JPY,250.0,250.0,3,2,1,-0.03,-0.02,-5.1,-1.9,-7.0,0.0,33.3
EUR_JPY,30.0,30.0,2611,1491,1120,-46.38,-70.57,-7477.7,-5689.1,-13166.8,0.0,45.2
