pair,ws_thr,tp,tc_s5,n,ppd,wr,mdd,calmar,mean_hold_s5,days
GBP_JPY,0.5,5.0,60,35716,-639.46,18.6,243909.7,-0.0,52.8,381.4
GBP_JPY,0.5,5.0,720,13448,-251.54,50.9,95952.2,-0.0,339.4,381.4
GBP_JPY,0.5,5.0,2880,7155,-141.17,61.6,53856.5,-0.0,770.8,381.4
GBP_JPY,0.5,5.0,17280,2978,-56.21,68.7,21469.0,-0.0,2072.5,381.4
GBP_JPY,0.5,10.0,60,34462,-621.03,14.0,236878.5,-0.0,58.0,381.4
GBP_JPY,0.5,10.0,720,10371,-196.0,52.5,74780.1,-0.0,476.5,381.4
GBP_JPY,0.5,10.0,2880,4996,-97.23,73.9,37125.2,-0.0,1161.1,381.4
GBP_JPY,0.5,10.0,17280,1947,-31.63,88.4,12518.8,-0.0,3248.3,381.4
GBP_JPY,0.5,20.0,60,34033,-616.6,12.5,235190.4,-0.0,59.7,381.4
GBP_JPY,0.5,20.0,720,8328,-158.64,38.2,60524.5,-0.0,619.7,381.4
GBP_JPY,0.5,20.0,2880,3330,-69.84,57.8,26713.7,-0.0,1805.2,381.4
GBP_JPY,0.5,20.0,17280,1200,-25.95,80.2,10158.7,-0.0,5341.8,381.4
GBP_JPY,0.5,30.0,60,33984,-616.02,12.5,234968.2,-0.0,59.9,381.4
GBP_JPY,0.5,30.0,720,7729,-145.8,34.6,55615.9,-0.0,675.8,381.4
GBP_JPY,0.5,30.0,2880,2818,-47.07,50.8,18041.7,-0.0,2158.6,381.4
GBP_JPY,0.5,30.0,17280,891,-18.65,74.0,7271.1,-0.0,7244.8,381.4
GBP_JPY,1.0,5.0,60,15065,-270.68,23.5,103242.0,-0.0,50.4,381.4
GBP_JPY,1.0,5.0,720,8518,-156.08,54.3,59538.6,-0.0,315.5,381.4
GBP_JPY,1.0,5.0,2880,5415,-102.87,62.7,39245.4,-0.0,739.6,381.4
GBP_JPY,1.0,5.0,17280,2755,-47.38,70.2,18104.9,-0.0,1957.1,381.4
GBP_JPY,1.0,10.0,60,14647,-264.0,18.2,100693.1,-0.0,56.9,381.4
GBP_JPY,1.0,10.0,720,6983,-126.38,56.7,48226.6,-0.0,450.2,381.4
GBP_JPY,1.0,10.0,2880,4011,-77.41,74.3,29570.1,-0.0,1128.4,381.4
GBP_JPY,1.0,10.0,17280,1836,-34.66,88.2,13390.1,-0.0,3151.5,381.4
GBP_JPY,1.0,20.0,60,14417,-259.06,16.2,98810.7,-0.0,59.5,381.4
GBP_JPY,1.0,20.0,720,5713,-108.49,40.9,41392.7,-0.0,605.5,381.4
GBP_JPY,1.0,20.0,2880,2835,-53.45,59.8,20470.8,-0.0,1746.6,381.4
GBP_JPY,1.0,20.0,17280,1140,-18.98,82.2,7430.1,-0.0,5309.9,381.4
GBP_JPY,1.0,30.0,60,14378,-258.47,16.0,98583.8,-0.0,59.9,381.4
GBP_JPY,1.0,30.0,720,5323,-101.97,36.6,38955.7,-0.0,666.8,381.4
GBP_JPY,1.0,30.0,2880,2379,-49.79,50.4,19304.4,-0.0,2150.6,381.4
GBP_JPY,1.0,30.0,17280,834,-23.09,71.8,9224.9,-0.0,7384.9,381.4
GBP_JPY,1.5,5.0,60,5990,-111.82,28.4,42641.7,-0.0,47.7,381.4
GBP_JPY,1.5,5.0,720,4362,-77.31,58.8,29489.3,-0.0,279.9,381.4
GBP_JPY,1.5,5.0,2880,3354,-59.24,66.1,22619.0,-0.0,652.3,381.4
GBP_JPY,1.5,5.0,17280,2222,-31.73,73.7,12230.4,-0.0,1616.4,381.4
GBP_JPY,1.5,10.0,60,5857,-108.84,22.7,41507.4,-0.0,55.3,381.4
GBP_JPY,1.5,10.0,720,3807,-66.85,61.2,25525.4,-0.0,411.3,381.4
GBP_JPY,1.5,10.0,2880,2685,-45.75,77.2,17520.1,-0.0,1023.6,381.4
GBP_JPY,1.5,10.0,17280,1511,-24.75,89.6,9921.8,-0.0,2929.7,381.4
GBP_JPY,1.5,20.0,60,5760,-107.06,19.6,40828.0,-0.0,59.1,381.4
GBP_JPY,1.5,20.0,720,3232,-58.52,44.4,22358.9,-0.0,573.8,381.4
GBP_JPY,1.5,20.0,2880,2035,-33.29,62.4,12779.9,-0.0,1622.2,381.4
GBP_JPY,1.5,20.0,17280,996,-15.13,81.7,6138.3,-0.0,5228.5,381.4
GBP_JPY,1.5,30.0,60,5742,-106.71,19.4,40694.3,-0.0,59.8,381.4
GBP_JPY,1.5,30.0,720,3003,-54.64,38.8,20871.9,-0.0,646.9,381.4
GBP_JPY,1.5,30.0,2880,1734,-33.66,52.0,13246.5,-0.0,2069.4,381.4
GBP_JPY,1.5,30.0,17280,778,-5.63,76.9,4238.3,-0.0,6951.9,381.4
GBP_JPY,2.0,5.0,60,2573,-48.28,33.5,18403.2,-0.0,44.5,381.4
GBP_JPY,2.0,5.0,720,2104,-40.36,61.0,15395.2,-0.0,262.1,381.4
GBP_JPY,2.0,5.0,2880,1746,-37.34,68.2,14252.0,-0.0,637.6,381.4
GBP_JPY,2.0,5.0,17280,1285,-18.66,74.5,7126.6,-0.0,1797.4,381.4
GBP_JPY,2.0,10.0,60,2511,-46.94,27.2,17892.7,-0.0,53.5,381.4
GBP_JPY,2.0,10.0,720,1919,-34.21,65.0,13065.2,-0.0,380.2,381.4
GBP_JPY,2.0,10.0,2880,1532,-29.6,78.3,11340.2,-0.0,951.9,381.4
GBP_JPY,2.0,10.0,17280,1082,-12.57,89.9,4864.0,-0.0,2751.0,381.4
GBP_JPY,2.0,20.0,60,2478,-46.26,22.8,17635.4,-0.0,58.5,381.4
GBP_JPY,2.0,20.0,720,1689,-30.54,49.1,11666.7,-0.0,542.0,381.4
GBP_JPY,2.0,20.0,2880,1248,-24.12,64.7,9265.3,-0.0,1531.6,381.4
GBP_JPY,2.0,20.0,17280,808,-5.33,84.4,2852.3,-0.0,4675.1,381.4
GBP_JPY,2.0,30.0,60,2471,-46.23,22.5,17621.4,-0.0,59.5,381.4
GBP_JPY,2.0,30.0,720,1586,-29.91,42.2,11414.9,-0.0,626.3,381.4
GBP_JPY,2.0,30.0,2880,1083,-24.72,54.0,9522.9,-0.0,1987.4,381.4
GBP_JPY,2.0,30.0,17280,598,-12.22,74.6,5191.3,-0.0,7084.2,381.4
USD_JPY,0.5,5.0,60,28394,-264.26,28.4,96363.8,-0.0,53.3,364.7
USD_JPY,0.5,5.0,720,11949,-104.02,69.4,37945.0,-0.0,345.6,364.7
USD_JPY,0.5,5.0,2880,6471,-56.02,83.3,20451.1,-0.0,801.5,364.7
USD_JPY,0.5,5.0,17280,2875,-22.17,93.4,8141.7,-0.0,2028.6,364.7
USD_JPY,0.5,10.0,60,27432,-255.76,23.8,93264.4,-0.0,58.4,364.7
