pair,ws_thr,tp_pips,hold_min,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,tp_rate,n_long_pct
USD_JPY,0.3,1.0,1,376994,251915,125079,-2744.81,-2850.46,-435372.2,-226065.0,-661437.2,8.2,40.8,49.0
USD_JPY,0.3,1.0,2,242175,161903,80272,-1750.54,-1805.78,-277664.4,-143213.6,-420877.9,11.2,55.5,49.2
USD_JPY,0.3,1.0,5,139076,93120,45956,-1008.58,-1021.86,-159977.3,-81042.1,-241019.4,14.5,71.0,49.3
USD_JPY,0.3,1.0,10,94868,63674,31194,-673.12,-684.66,-106767.3,-54299.6,-161066.9,16.5,79.8,49.3
USD_JPY,0.3,1.0,30,52330,34965,17365,-374.29,-375.97,-59368.3,-29817.5,-89185.8,18.4,88.4,49.5
USD_JPY,0.3,2.0,1,324631,216693,107938,-2349.84,-2464.9,-372724.0,-195486.8,-568210.8,18.4,18.6,49.0
USD_JPY,0.3,2.0,2,191221,127671,63550,-1378.18,-1425.44,-218602.5,-113049.0,-331652.6,31.3,32.5,49.0
USD_JPY,0.3,2.0,5,99566,66676,32890,-711.81,-733.6,-112904.7,-58180.9,-171086.6,49.3,52.4,49.5
USD_JPY,0.3,2.0,10,63779,42803,20976,-445.95,-457.21,-70734.5,-36260.6,-106996.1,61.9,65.7,49.3
USD_JPY,0.3,2.0,30,33184,22353,10831,-231.99,-236.68,-36797.8,-18770.9,-55570.2,75.3,80.0,49.6
USD_JPY,0.3,3.0,1,309139,206078,103061,-2231.5,-2341.53,-353952.9,-185702.7,-539655.6,14.6,8.1,48.8
USD_JPY,0.3,3.0,2,173167,115468,57699,-1250.47,-1314.57,-198345.9,-104256.4,-302602.8,23.6,17.9,48.9
USD_JPY,0.3,3.0,5,83464,55758,27706,-593.51,-616.74,-94139.9,-48912.9,-143052.8,39.2,36.9,49.2
USD_JPY,0.3,3.0,10,50554,33904,16650,-352.54,-370.75,-55919.2,-29403.9,-85324.4,51.7,52.2,49.0
USD_JPY,0.3,3.0,30,24985,16780,8205,-171.84,-175.81,-27256.8,-13942.9,-41226.8,69.5,71.6,49.6
USD_JPY,0.3,5.0,1,302305,201483,100822,-2183.11,-2296.63,-346277.5,-182141.9,-528419.4,13.3,2.1,48.7
USD_JPY,0.3,5.0,2,163429,108796,54633,-1171.75,-1236.2,-185859.4,-98041.1,-283900.9,20.5,6.2,48.8
USD_JPY,0.3,5.0,5,72581,48340,24241,-513.28,-543.28,-81414.8,-43087.0,-124501.8,31.5,18.3,49.0
USD_JPY,0.3,5.0,10,41005,27388,13617,-279.36,-301.63,-44311.7,-23922.1,-68233.9,41.2,32.9,48.8
USD_JPY,0.3,5.0,30,18177,12246,5931,-124.58,-135.65,-19760.2,-10758.5,-30559.8,57.0,56.0,49.4
USD_JPY,0.5,1.0,1,358825,240370,118455,-2617.53,-2701.33,-415184.3,-214238.0,-629422.2,8.6,41.0,48.9
USD_JPY,0.5,1.0,2,234583,156968,77615,-1700.61,-1750.6,-269744.5,-138837.5,-408581.9,11.5,55.6,49.1
USD_JPY,0.5,1.0,5,137015,91741,45274,-986.66,-1001.6,-156500.5,-79435.1,-235935.7,14.9,71.1,49.4
USD_JPY,0.5,1.0,10,93082,62266,30816,-661.1,-679.83,-104860.7,-53916.5,-158777.1,16.8,79.7,49.4
USD_JPY,0.5,1.0,30,52085,34804,17281,-370.94,-375.58,-58837.5,-29786.3,-88623.8,18.9,88.4,49.3
USD_JPY,0.5,2.0,1,310220,207568,102652,-2249.07,-2325.07,-356739.4,-184397.1,-541136.6,19.1,18.9,49.0
USD_JPY,0.5,2.0,2,186375,124685,61690,-1342.61,-1386.95,-212960.0,-109997.0,-322958.1,31.5,32.8,49.1
USD_JPY,0.5,2.0,5,98138,65696,32442,-701.16,-722.53,-111215.0,-57302.5,-168518.5,49.7,52.6,49.4
USD_JPY,0.5,2.0,10,63264,42376,20888,-443.71,-453.84,-70380.0,-35993.2,-106375.4,61.9,65.7,49.3
USD_JPY,0.5,2.0,30,33402,22527,10875,-228.9,-234.39,-36306.8,-18589.3,-54897.6,75.5,80.4,50.0
USD_JPY,0.5,3.0,1,295512,197649,97863,-2130.16,-2212.85,-337878.7,-175497.4,-513376.1,15.1,8.4,48.8
USD_JPY,0.5,3.0,2,168945,112815,56130,-1213.86,-1262.72,-192538.6,-100144.3,-292683.4,24.3,18.1,48.8
USD_JPY,0.5,3.0,5,82623,55231,27392,-587.3,-602.7,-93155.7,-47799.4,-140955.1,39.5,37.1,49.3
USD_JPY,0.5,3.0,10,50326,33689,16637,-350.62,-364.4,-55614.1,-28900.2,-84514.4,52.0,52.3,49.0
USD_JPY,0.5,3.0,30,24838,16805,8033,-165.83,-186.94,-26302.7,-14826.0,-41138.7,69.3,71.8,49.5
USD_JPY,0.5,5.0,1,288810,193134,95676,-2090.86,-2170.2,-331645.4,-172115.3,-503760.7,13.7,2.1,48.8
USD_JPY,0.5,5.0,2,159255,106253,53002,-1141.33,-1196.9,-181033.5,-94924.5,-275958.5,20.9,6.2,48.9
USD_JPY,0.5,5.0,5,71755,47805,23950,-509.61,-542.03,-80832.6,-42987.8,-123820.4,31.6,18.4,48.9
USD_JPY,0.5,5.0,10,40670,27162,13508,-281.62,-311.48,-44669.1,-24703.1,-69372.2,40.9,32.6,48.9
USD_JPY,0.5,5.0,30,18343,12363,5980,-117.36,-139.56,-18615.1,-11068.2,-29706.2,57.3,56.9,49.6
USD_JPY,1.0,1.0,1,319412,214948,104464,-2329.53,-2362.21,-369501.3,-187342.6,-556844.0,9.3,42.3,49.2
USD_JPY,1.0,1.0,2,217623,145987,71636,-1575.91,-1607.43,-249965.7,-127482.8,-377448.5,12.1,56.4,49.2
USD_JPY,1.0,1.0,5,131046,87832,43214,-945.06,-971.72,-149901.7,-77065.6,-226967.2,15.3,71.3,49.1
USD_JPY,1.0,1.0,10,91253,61050,30203,-646.43,-660.74,-102534.1,-52402.0,-154936.1,17.2,80.1,49.4
USD_JPY,1.0,1.0,30,51452,34518,16934,-367.5,-375.29,-58292.0,-29763.6,-88055.6,19.5,88.5,49.3
USD_JPY,1.0,2.0,1,278440,187251,91189,-2008.45,-2044.95,-318573.7,-162181.5,-480755.2,20.4,20.0,49.0
USD_JPY,1.0,2.0,2,174480,117034,57446,-1247.8,-1285.05,-197921.3,-101915.1,-299837.0,32.7,33.5,49.3
USD_JPY,1.0,2.0,5,95322,63969,31353,-674.83,-696.69,-107038.8,-55253.0,-162292.5,50.1,53.1,49.5
