pair,ws_thr,tp_pips,hold_min,trades,is_n,oos_n,is_pd,oos_pd,is_net,oos_net,oos_dd,oos_wr,tp_rate,n_long_pct
USD_JPY,0.3,1.0,1,379858,253984,125874,-2742.47,-2859.97,-435000.5,-226819.1,-661820.6,8.7,41.0,51.0
USD_JPY,0.3,1.0,2,243221,162755,80466,-1756.39,-1822.08,-278593.2,-144505.9,-423100.1,11.4,54.9,51.0
USD_JPY,0.3,1.0,5,139219,93206,46013,-994.83,-1029.77,-157797.2,-81669.7,-239467.9,14.8,70.4,50.8
USD_JPY,0.3,1.0,10,93535,63056,30479,-663.95,-694.49,-105313.9,-55078.5,-160393.3,16.7,79.1,50.5
USD_JPY,0.3,1.0,30,51230,34914,16316,-363.35,-368.63,-57633.6,-29235.3,-86869.8,19.3,87.9,50.4
USD_JPY,0.3,2.0,1,326292,217814,108478,-2360.69,-2479.13,-374444.3,-196615.7,-571061.0,18.9,19.1,51.1
USD_JPY,0.3,2.0,2,192166,128481,63685,-1384.66,-1450.06,-219630.0,-115002.1,-334633.1,31.2,32.7,51.0
USD_JPY,0.3,2.0,5,99697,66939,32758,-718.1,-738.66,-113902.3,-58581.5,-172484.9,49.2,52.1,50.8
USD_JPY,0.3,2.0,10,63142,42366,20776,-448.38,-467.19,-71121.1,-37052.3,-108174.5,61.3,64.9,50.6
USD_JPY,0.3,2.0,30,32428,21885,10543,-237.21,-225.42,-37625.8,-17877.6,-55512.1,75.6,79.2,50.4
USD_JPY,0.3,3.0,1,309885,206654,103231,-2235.43,-2366.05,-354575.7,-187647.3,-542223.0,14.7,8.6,51.2
USD_JPY,0.3,3.0,2,174008,116141,57867,-1257.33,-1336.06,-199434.1,-105960.4,-305394.4,23.6,18.3,51.2
USD_JPY,0.3,3.0,5,83574,55946,27628,-599.42,-644.95,-95077.8,-51149.6,-146229.3,38.5,36.5,50.7
USD_JPY,0.3,3.0,10,50325,33931,16394,-359.48,-390.6,-57020.2,-30978.2,-88000.2,50.5,51.1,50.6
USD_JPY,0.3,3.0,30,24529,16540,7989,-174.73,-180.98,-27714.8,-14353.2,-42069.9,68.4,70.6,50.2
USD_JPY,0.3,5.0,1,302544,201647,100897,-2183.54,-2310.88,-346345.0,-183271.7,-529616.7,13.6,2.3,51.2
USD_JPY,0.3,5.0,2,163629,108956,54673,-1178.68,-1257.06,-186958.0,-99695.0,-286653.0,20.5,6.3,51.2
USD_JPY,0.3,5.0,5,72770,48446,24324,-523.04,-561.51,-82963.3,-44532.6,-127500.3,31.4,18.4,51.1
USD_JPY,0.3,5.0,10,40885,27274,13611,-292.14,-305.98,-46337.6,-24266.6,-70613.5,40.9,32.4,51.2
USD_JPY,0.3,5.0,30,18217,12238,5979,-130.52,-138.4,-20702.1,-10976.4,-31710.2,57.0,55.8,51.3
USD_JPY,0.5,1.0,1,361821,242760,119061,-2622.21,-2710.87,-415925.7,-214994.5,-630921.1,8.9,41.2,50.9
USD_JPY,0.5,1.0,2,236325,158610,77715,-1705.76,-1752.52,-270561.2,-138989.2,-409551.3,11.7,55.2,50.8
USD_JPY,0.5,1.0,5,136690,91808,44882,-980.17,-1012.26,-155470.4,-80280.8,-235752.2,15.2,70.3,50.7
USD_JPY,0.5,1.0,10,92159,62001,30158,-648.88,-679.93,-102922.7,-53924.3,-156847.9,17.2,78.9,50.4
USD_JPY,0.5,1.0,30,50763,34493,16270,-362.17,-366.68,-57446.4,-29080.8,-86530.4,19.5,87.8,50.6
USD_JPY,0.5,2.0,1,311914,208952,102962,-2260.18,-2375.61,-358501.6,-188405.4,-546908.0,19.2,19.4,51.0
USD_JPY,0.5,2.0,2,187214,125392,61822,-1359.99,-1423.47,-215716.4,-112893.1,-328610.6,31.2,32.7,51.0
USD_JPY,0.5,2.0,5,98490,66170,32320,-706.03,-730.25,-111988.6,-57914.8,-169904.4,49.2,52.2,50.6
USD_JPY,0.5,2.0,10,62749,42205,20544,-445.06,-462.47,-70594.6,-36678.1,-107275.1,61.6,64.9,50.6
USD_JPY,0.5,2.0,30,32530,22066,10464,-229.41,-233.01,-36388.3,-18479.3,-54876.0,75.4,79.4,50.5
USD_JPY,0.5,3.0,1,296266,198231,98035,-2151.18,-2264.35,-341212.2,-179581.6,-520793.9,15.0,8.8,51.1
USD_JPY,0.5,3.0,2,169621,113384,56237,-1226.32,-1300.21,-194514.4,-103117.3,-297631.7,24.0,18.5,51.1
USD_JPY,0.5,3.0,5,82684,55349,27335,-592.98,-639.1,-94056.0,-50685.7,-144743.6,38.6,36.8,50.9
USD_JPY,0.5,3.0,10,50095,33751,16344,-353.57,-387.78,-56082.2,-30754.2,-86839.7,50.7,51.4,50.4
USD_JPY,0.5,3.0,30,24585,16654,7931,-170.83,-181.09,-27095.8,-14362.2,-41459.8,68.5,70.9,50.3
USD_JPY,0.5,5.0,1,289130,193347,95783,-2095.21,-2210.93,-332334.3,-175345.3,-507679.6,13.7,2.4,51.0
USD_JPY,0.5,5.0,2,159525,106459,53066,-1154.36,-1222.76,-183100.6,-96975.2,-280075.8,20.5,6.5,51.1
USD_JPY,0.5,5.0,5,71934,47929,24005,-528.26,-560.35,-83791.5,-44440.2,-128234.5,31.1,18.3,51.0
USD_JPY,0.5,5.0,10,40770,27286,13484,-277.66,-321.04,-44042.2,-25461.3,-69510.9,40.3,32.7,50.8
USD_JPY,0.5,5.0,30,18141,12193,5948,-131.28,-144.02,-20823.1,-11422.2,-32272.5,57.1,55.8,50.1
USD_JPY,1.0,1.0,1,321569,217083,104486,-2355.96,-2400.6,-373693.6,-190387.3,-564081.9,9.5,41.6,50.8
USD_JPY,1.0,1.0,2,218116,147294,70822,-1590.04,-1626.13,-252207.4,-128965.8,-381174.2,12.4,55.2,50.7
USD_JPY,1.0,1.0,5,130292,87924,42368,-945.1,-963.92,-149908.9,-76446.9,-226356.8,15.7,70.2,50.6
USD_JPY,1.0,1.0,10,88925,60007,28918,-632.4,-654.35,-100308.8,-51895.2,-152204.9,17.4,78.9,50.9
USD_JPY,1.0,1.0,30,49959,33947,16012,-353.56,-363.44,-56080.8,-28823.6,-84905.4,19.8,87.9,50.6
USD_JPY,1.0,2.0,1,279638,188266,91372,-2046.16,-2116.3,-324554.6,-167840.1,-492395.8,20.1,20.0,50.9
USD_JPY,1.0,2.0,2,175181,117795,57386,-1283.35,-1329.5,-203561.3,-105440.4,-309002.8,31.8,33.1,50.6
USD_JPY,1.0,2.0,5,94966,63908,31058,-684.97,-705.97,-108647.2,-55989.7,-164637.9,49.5,52.3,50.3
USD_JPY,1.0,2.0,10,61444,41472,19972,-435.17,-459.49,-69025.2,-36441.3,-105467.9,61.2,64.8,50.5
USD_JPY,1.0,2.0,30,32112,21747,10365,-225.04,-224.17,-35695.5,-17778.2,-53479.1,75.7,79.3,50.9
USD_JPY,1.0,3.0,1,265806,178846,86960,-1950.44,-2023.52,-309372.7,-160482.0,-469854.7,15.8,9.2,51.0
USD_JPY,1.0,3.0,2,159176,106794,52382,-1167.81,-1223.54,-185234.2,-97036.8,-282271.1,24.3,18.8,50.9
USD_JPY,1.0,3.0,5,80235,53869,26366,-583.1,-619.36,-92489.2,-49120.3,-141612.3,38.9,36.8,50.6
USD_JPY,1.0,3.0,10,49153,33062,16091,-356.26,-380.14,-56508.6,-30148.5,-86669.8,51.2,51.4,50.1
USD_JPY,1.0,3.0,30,24631,16529,8102,-165.24,-175.75,-26209.4,-13938.3,-40149.6,69.6,71.3,50.3
USD_JPY,1.0,5.0,1,259126,174312,84814,-1904.81,-1981.12,-302133.7,-157119.4,-459253.1,14.4,2.5,51.1
USD_JPY,1.0,5.0,2,149770,100378,49392,-1099.38,-1151.2,-174379.3,-91299.6,-265678.9,20.8,6.7,50.8
USD_JPY,1.0,5.0,5,69979,46766,23213,-501.88,-539.64,-79607.2,-42797.6,-122407.5,31.5,18.9,50.5
USD_JPY,1.0,5.0,10,40173,26898,13275,-279.62,-312.33,-44353.0,-24770.2,-69155.9,40.4,32.8,50.7
USD_JPY,1.0,5.0,30,18247,12296,5951,-118.37,-132.79,-18774.8,-10531.7,-29311.2,57.8,56.9,50.5
USD_JPY,1.5,1.0,1,288650,195006,93644,-2121.63,-2166.02,-336524.9,-171783.3,-508308.2,9.8,42.5,50.7
USD_JPY,1.5,1.0,2,202690,136750,65940,-1485.14,-1514.39,-235567.4,-120103.8,-355671.2,12.6,55.7,50.5
USD_JPY,1.5,1.0,5,124809,84378,40431,-899.91,-920.45,-142741.0,-72999.5,-215740.5,15.7,70.5,50.4
USD_JPY,1.5,1.0,10,86715,58598,28117,-616.45,-633.11,-97778.7,-50211.2,-147989.9,17.7,79.0,50.7
USD_JPY,1.5,1.0,30,48850,33130,15720,-344.82,-349.88,-54694.0,-27748.8,-82442.8,18.9,87.8,50.4
USD_JPY,1.5,2.0,1,252706,170424,82282,-1850.24,-1914.33,-293479.0,-151822.6,-445301.6,20.7,20.8,50.8
USD_JPY,1.5,2.0,2,163995,110535,53460,-1204.34,-1254.84,-191027.9,-99519.2,-290547.1,32.0,33.5,50.6
USD_JPY,1.5,2.0,5,91292,61542,29750,-675.27,-692.11,-107109.1,-54890.2,-161999.3,48.9,51.9,50.4
USD_JPY,1.5,2.0,10,59624,40175,19449,-429.09,-455.44,-68060.6,-36120.1,-104182.1,60.8,64.5,50.3
USD_JPY,1.5,2.0,30,31454,21388,10066,-222.75,-237.8,-35332.5,-18859.9,-54198.6,74.8,79.1,50.7
USD_JPY,1.5,3.0,1,240467,162057,78410,-1767.08,-1839.83,-280288.6,-145913.7,-426202.3,16.2,9.7,50.8
USD_JPY,1.5,3.0,2,149460,100464,48996,-1092.09,-1161.33,-173223.9,-92103.1,-265327.0,24.7,19.3,50.7
USD_JPY,1.5,3.0,5,77689,52149,25540,-575.77,-593.47,-91326.1,-47066.8,-138392.8,39.6,37.0,50.6
