pair,n_bars,is_days,oos_days,sp_gate,elapsed,stage1,stage2,stage3,top_name,top_oos_pd,top_p5
GBP_JPY,409908,996,427,4.0,5.2,237,158,137,b5_r1_n4_E2_X3c_1_5,71.56,134.87
USD_JPY,409626,996,427,2.1,4.5,184,119,112,b5_r1_n3_E2_X3c_1_5,68.51,90.64
EUR_JPY,409673,996,427,2.5,3.3,192,129,113,b5_r1_n3_E2_X3c_1_5,39.94,104.47
GBP_USD,409454,995,427,2.4,3.1,229,167,147,b5_r1_n3_E2_X3b_1,15.37,65.43
AUD_JPY,409976,996,427,2.3,4.3,261,83,52,b5_r1_n3_E2_X3c_1_5,12.89,31.07
EUR_USD,409617,996,427,1.7,3.9,155,94,90,b5_r1_n2_E2_X3c_1_5,10.8,23.5
CHF_JPY,408525,993,426,3.7,4.6,110,28,21,b5_r1_n4_E2_X3c_1_3,7.69,58.62
CAD_JPY,409898,996,427,2.6,4.2,526,175,38,b5_r1_n3_E2_X3c_1_5,5.87,24.46
AUD_USD,409245,995,426,1.6,3.8,204,72,59,b5_r1_n3_E2_X3c_1_5,4.47,11.56
NZD_JPY,409675,996,427,3.1,4.0,250,64,36,b5_r1_n4_E2_X3c_1_5,2.67,14.82
NZD_USD,409187,995,426,2.0,3.8,104,38,36,b5_r1_n5_E2_X3b_1,1.05,4.41
EUR_GBP,409643,996,427,2.0,3.6,84,34,18,b5_r1_n5_E2_X3c_1_3,0.72,1.89
