ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
56,b5_r1_n3_E2_X3c_1_5,14207.0,6371,0.0,31.07,1,5504.6,2129,12.89,1
55,b5_r1_n3_E2_X3c_1_3,14165.5,6369,0.0,30.98,1,5489.6,2120,12.85,1
49,b5_r1_n3_E2_X3b_1,13973.6,6349,0.0,30.45,1,5477.0,2119,12.82,1
26,b5_r1_n2_E2_X3c_1_5,14443.7,14349,0.0,30.53,1,5323.9,4567,12.47,1
86,b5_r1_n4_E2_X3c_1_5,10275.5,2862,0.0,22.36,1,4154.3,972,9.73,1
85,b5_r1_n4_E2_X3c_1_3,10254.0,2861,0.0,22.3,1,4137.8,967,9.69,1
79,b5_r1_n4_E2_X3b_1,10226.9,2857,0.0,22.3,1,4125.3,967,9.66,1
109,b5_r1_n5_E2_X3b_1,6551.1,1249,0.0,13.98,1,2695.1,440,6.31,1
115,b5_r1_n5_E2_X3c_1_3,6545.2,1249,0.0,13.97,1,2695.1,440,6.31,1
116,b5_r1_n5_E2_X3c_1_5,6545.2,1249,0.0,13.97,1,2687.5,442,6.29,1
100,b5_r1_n5_E1_X3c_1_3,5495.1,1987,0.0,11.38,1,2374.0,653,5.56,1
94,b5_r1_n5_E1_X3b_1,5491.5,1986,0.0,11.36,1,2374.0,653,5.56,1
101,b5_r1_n5_E1_X3c_1_5,5497.1,1987,0.0,11.38,1,2366.4,655,5.54,1
146,b5_r1_n6_E2_X3c_1_5,4515.7,581,0.0,9.41,1,1773.3,210,4.15,1
145,b5_r1_n6_E2_X3c_1_3,4515.7,581,0.0,9.41,1,1773.3,210,4.15,1
139,b5_r1_n6_E2_X3b_1,4515.6,581,0.0,9.41,1,1773.3,210,4.15,1
1648,b20_r1_n2_E2_X3c_2_5,2436.3,568,0.023,0.91,1,1713.1,219,4.01,1
131,b5_r1_n6_E1_X3c_1_5,4157.5,802,0.0,8.47,1,1640.8,285,3.84,1
124,b5_r1_n6_E1_X3b_1,4141.9,802,0.0,8.44,1,1640.8,285,3.84,1
130,b5_r1_n6_E1_X3c_1_3,4157.5,802,0.0,8.47,1,1640.8,285,3.84,1
319,b5_r2_n6_E2_X3b_1,4237.4,2034,0.0,8.28,1,1626.8,688,3.81,1
325,b5_r2_n6_E2_X3c_1_3,4269.4,2036,0.0,8.48,1,1626.8,688,3.81,1
326,b5_r2_n6_E2_X3c_1_5,4269.4,2036,0.0,8.48,1,1626.8,688,3.81,1
1640,b20_r1_n2_E2_X3b_2,2532.5,560,0.018,1.09,1,1475.3,217,3.45,1
118,b5_r1_n5_E2_X3c_2_5,2338.9,1232,0.0,4.05,1,1106.7,436,2.59,1
110,b5_r1_n5_E2_X3b_2,2311.7,1226,0.0,3.87,1,1082.6,434,2.54,1
349,b5_r2_n8_E2_X3b_1,2800.2,777,0.0,5.39,1,1029.4,257,2.41,1
356,b5_r2_n8_E2_X3c_1_5,2805.5,778,0.0,5.38,1,1029.4,257,2.41,1
355,b5_r2_n8_E2_X3c_1_3,2805.5,778,0.0,5.38,1,1029.4,257,2.41,1
148,b5_r1_n6_E2_X3c_2_5,2402.2,572,0.0,4.43,1,1018.2,210,2.38,1
140,b5_r1_n6_E2_X3b_2,2379.6,572,0.0,4.35,1,996.1,210,2.33,1
175,b5_r1_n8_E2_X3c_1_3,2303.6,190,0.0,4.54,1,854.4,63,2.0,1
176,b5_r1_n8_E2_X3c_1_5,2303.6,190,0.0,4.54,1,854.4,63,2.0,1
169,b5_r1_n8_E2_X3b_1,2303.6,190,0.0,4.54,1,854.4,63,2.0,1
161,b5_r1_n8_E1_X3c_1_5,2257.3,225,0.0,4.4,1,810.6,73,1.9,1
160,b5_r1_n8_E1_X3c_1_3,2257.3,225,0.0,4.4,1,810.6,73,1.9,1
154,b5_r1_n8_E1_X3b_1,2246.6,225,0.0,4.38,1,810.6,73,1.9,1
133,b5_r1_n6_E1_X3c_2_5,2236.6,789,0.0,3.83,1,770.4,285,1.8,1
125,b5_r1_n6_E1_X3b_2,2237.4,787,0.0,3.81,1,765.0,285,1.79,1
804,b10_r2_n4_E2_X7_8,2384.5,761,0.049,-0.23,1,688.0,291,1.61,1
1281,b15_r2_n2_E2_X3b_3,3225.0,745,0.018,2.09,1,669.6,294,1.57,1
1289,b15_r2_n2_E2_X3c_3_5,3967.3,750,0.004,3.47,1,648.6,295,1.52,1
177,b5_r1_n8_E2_X3c_2_3,1513.7,187,0.0,2.66,1,596.7,63,1.4,1
178,b5_r1_n8_E2_X3c_2_5,1510.3,187,0.0,2.62,1,596.7,63,1.4,1
170,b5_r1_n8_E2_X3b_2,1498.7,187,0.0,2.6,1,594.3,63,1.39,1
