ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
26,b5_r1_n2_E2_X3c_1_5,14443.7,14349,5323.9,4567,17.6,9677.3,4748.8
56,b5_r1_n3_E2_X3c_1_5,14207.0,6371,5504.6,2129,858.6,7973.4,5375.0
55,b5_r1_n3_E2_X3c_1_3,14165.5,6369,5489.6,2120,868.6,7941.8,5355.1
49,b5_r1_n3_E2_X3b_1,13973.6,6349,5477.0,2119,845.6,7859.4,5268.6
86,b5_r1_n4_E2_X3c_1_5,10275.5,2862,4154.3,972,934.0,5007.5,4334.0
85,b5_r1_n4_E2_X3c_1_3,10254.0,2861,4137.8,967,934.0,4986.0,4334.0
79,b5_r1_n4_E2_X3b_1,10226.9,2857,4125.3,967,938.9,4957.7,4330.3
109,b5_r1_n5_E2_X3b_1,6551.1,1249,2695.1,440,640.4,2787.9,3122.8
116,b5_r1_n5_E2_X3c_1_5,6545.2,1249,2687.5,442,634.4,2787.9,3122.9
115,b5_r1_n5_E2_X3c_1_3,6545.2,1249,2695.1,440,634.4,2787.9,3122.9
101,b5_r1_n5_E1_X3c_1_5,5497.1,1987,2366.4,655,325.2,2520.5,2651.4
100,b5_r1_n5_E1_X3c_1_3,5495.1,1987,2374.0,653,325.2,2518.5,2651.4
94,b5_r1_n5_E1_X3b_1,5491.5,1986,2374.0,653,326.8,2515.0,2649.7
146,b5_r1_n6_E2_X3c_1_5,4515.7,581,1773.3,210,345.3,1773.4,2397.0
145,b5_r1_n6_E2_X3c_1_3,4515.7,581,1773.3,210,345.3,1773.4,2397.0
139,b5_r1_n6_E2_X3b_1,4515.6,581,1773.3,210,345.3,1773.4,2396.9
325,b5_r2_n6_E2_X3c_1_3,4269.4,2036,1626.8,688,74.5,2227.1,1967.8
326,b5_r2_n6_E2_X3c_1_5,4269.4,2036,1626.8,688,74.5,2227.1,1967.8
319,b5_r2_n6_E2_X3b_1,4237.4,2034,1626.8,688,47.8,2227.1,1962.5
131,b5_r1_n6_E1_X3c_1_5,4157.5,802,1640.8,285,264.8,1668.6,2224.1
130,b5_r1_n6_E1_X3c_1_3,4157.5,802,1640.8,285,264.8,1668.6,2224.1
124,b5_r1_n6_E1_X3b_1,4141.9,802,1640.8,285,260.4,1663.4,2218.1
2379,b30_r2_n3_E1_X7_8,4059.3,127,-176.4,67,649.8,2133.5,1276.0
1289,b15_r2_n2_E2_X3c_3_5,3967.3,750,648.6,295,30.4,1631.9,2305.0
2019,b20_r3_n3_E1_X7_8,3662.4,153,-1112.1,76,614.4,1564.3,1483.7
2088,b20_r3_n5_E2_X2,3632.3,276,-1583.7,99,844.6,1150.1,1637.6
2384,b30_r2_n3_E1_X3c_3_5,3497.7,204,-1371.3,94,627.5,2560.1,310.1
2028,b20_r3_n3_E2_X2,3425.6,492,-1466.2,175,916.7,936.2,1572.7
2091,b20_r3_n5_E2_X3b_3,3398.5,276,-1488.9,99,869.0,1132.6,1396.9
2099,b20_r3_n5_E2_X3c_3_5,3398.5,276,-1488.9,99,869.0,1132.6,1396.9
1998,b20_r3_n2_E2_X2,3373.4,493,-1466.2,175,864.5,936.2,1572.7
2376,b30_r2_n3_E1_X3b_3,3367.2,204,-1304.1,92,627.5,2460.8,278.9
2049,b20_r3_n4_E1_X7_8,3364.3,148,-1004.0,73,614.4,1573.3,1176.6
2058,b20_r3_n4_E2_X2,3345.3,353,-1373.3,132,892.9,516.2,1936.2
2031,b20_r3_n3_E2_X3b_3,3322.2,493,-1129.0,174,914.5,852.7,1555.0
2039,b20_r3_n3_E2_X3c_3_5,3283.4,493,-1129.0,174,914.5,852.7,1516.2
2001,b20_r3_n2_E2_X3b_3,3278.7,494,-1129.0,174,871.0,852.7,1555.0
2047,b20_r3_n4_E1_X7_3,3274.1,170,-749.6,80,538.5,1515.8,1219.8
2009,b20_r3_n2_E2_X3c_3_5,3239.9,494,-1129.0,174,871.0,852.7,1516.2
1281,b15_r2_n2_E2_X3b_3,3225.0,745,669.6,294,30.4,1108.6,2086.0
2018,b20_r3_n3_E1_X7_5,3181.4,163,-1284.1,80,659.6,1134.4,1387.4
1101,b15_r1_n2_E2_X3b_3,3076.7,697,101.1,285,755.8,1448.0,872.9
2553,b30_r3_n3_E1_X2,3070.2,306,-1937.9,107,646.8,2003.4,420.0
2118,b20_r3_n6_E2_X2,3057.5,219,-882.8,70,509.2,1259.2,1289.1
937,b10_r3_n3_E1_X7_3,3055.4,653,-314.5,304,454.1,1930.4,670.9
2062,b20_r3_n4_E2_X7_3,3022.9,138,-906.4,63,119.0,1880.0,1023.9
2177,b30_r1_n2_E2_X1_8,3012.6,108,-978.9,49,82.9,2056.5,873.2
2073,b20_r3_n5_E1_X2,3008.5,383,-1696.3,132,833.0,688.3,1487.2
2523,b30_r3_n2_E1_X2,3006.9,307,-1937.9,107,583.5,2003.4,420.0
2069,b20_r3_n4_E2_X3c_3_5,2979.7,354,-1194.3,132,886.9,483.8,1609.0
2061,b20_r3_n4_E2_X3b_3,2979.7,354,-1194.3,132,886.9,483.8,1609.0
1655,b20_r1_n3_E1_X3b_2,2900.2,687,-846.2,264,55.9,1979.4,864.9
356,b5_r2_n8_E2_X3c_1_5,2805.5,778,1029.4,257,131.6,1013.8,1660.1
355,b5_r2_n8_E2_X3c_1_3,2805.5,778,1029.4,257,131.6,1013.8,1660.1
349,b5_r2_n8_E2_X3b_1,2800.2,777,1029.4,257,131.6,1013.8,1654.8
2121,b20_r3_n6_E2_X3b_3,2785.5,219,-889.4,70,526.0,1222.5,1037.0
2129,b20_r3_n6_E2_X3c_3_5,2785.5,219,-889.4,70,526.0,1222.5,1037.0
2394,b30_r2_n3_E2_X7_8,2770.3,108,96.8,46,485.2,2015.0,270.1
2564,b30_r3_n3_E1_X3c_3_5,2740.2,304,-1442.9,105,664.1,1785.9,290.2
2556,b30_r3_n3_E1_X3b_3,2708.5,304,-1442.9,105,664.1,1785.9,258.5
2534,b30_r3_n2_E1_X3c_3_5,2677.7,305,-1442.9,105,601.6,1785.9,290.2
2526,b30_r3_n2_E1_X3b_3,2646.0,305,-1442.9,105,601.6,1785.9,258.5
2027,b20_r3_n3_E2_X1_8,2576.0,176,922.0,79,1230.5,1077.9,267.6
2048,b20_r3_n4_E1_X7_5,2548.7,164,-849.9,76,659.6,932.0,957.1
1640,b20_r1_n2_E2_X3b_2,2532.5,560,1475.3,217,497.5,822.6,1212.4
2583,b30_r3_n4_E1_X2,2520.1,238,-1187.9,83,70.6,1801.0,648.5
1297,b15_r2_n3_E1_X7_3,2487.9,560,-331.2,235,445.9,568.6,1473.4
2363,b30_r2_n2_E2_X7_5,2454.4,123,-1006.1,60,601.6,1204.3,648.5
1648,b20_r1_n2_E2_X3c_2_5,2436.3,568,1713.1,219,514.7,508.6,1413.0
2364,b30_r2_n2_E2_X7_8,2423.4,127,-1010.6,61,535.8,1221.2,666.4
1997,b20_r3_n2_E2_X1_8,2417.6,175,922.0,79,1072.1,1077.9,267.6
2079,b20_r3_n5_E1_X7_8,2402.9,145,-1800.3,70,614.4,1406.6,381.9
148,b5_r1_n6_E2_X3c_2_5,2402.2,572,1018.2,210,82.8,868.2,1451.2
804,b10_r2_n4_E2_X7_8,2384.5,761,688.0,291,63.9,728.8,1591.8
140,b5_r1_n6_E2_X3b_2,2379.6,572,996.1,210,77.0,844.6,1458.0
1643,b20_r1_n2_E2_X7_5,2344.2,466,762.7,203,790.7,645.8,907.7
118,b5_r1_n5_E2_X3c_2_5,2338.9,1232,1106.7,436,63.4,684.2,1591.3
110,b5_r1_n5_E2_X3b_2,2311.7,1226,1082.6,434,52.8,704.4,1554.5
1899,b20_r2_n5_E1_X7_8,2310.4,234,-5.8,100,552.7,35.9,1721.8
1357,b15_r2_n5_E1_X7_3,2308.4,421,344.0,166,671.7,653.2,983.5
169,b5_r1_n8_E2_X3b_1,2303.6,190,854.4,63,140.2,720.7,1442.7
176,b5_r1_n8_E2_X3c_1_5,2303.6,190,854.4,63,140.2,720.7,1442.7
175,b5_r1_n8_E2_X3c_1_3,2303.6,190,854.4,63,140.2,720.7,1442.7
2076,b20_r3_n5_E1_X3b_3,2302.3,383,-1570.8,132,841.5,363.5,1097.3
2084,b20_r3_n5_E1_X3c_3_5,2302.3,383,-1570.8,132,841.5,363.5,1097.3
2568,b30_r3_n3_E2_X2,2270.0,237,-1582.3,76,480.2,1181.8,608.0
160,b5_r1_n8_E1_X3c_1_3,2257.3,225,810.6,73,135.0,692.2,1430.1
161,b5_r1_n8_E1_X3c_1_5,2257.3,225,810.6,73,135.0,692.2,1430.1
1479,b15_r3_n3_E1_X7_8,2254.2,268,535.6,113,818.5,695.8,739.9
2103,b20_r3_n6_E1_X2,2248.3,310,-1247.3,98,436.3,871.4,940.6
154,b5_r1_n8_E1_X3b_1,2246.6,225,810.6,73,130.6,692.2,1423.8
2017,b20_r3_n3_E1_X7_3,2243.9,179,-967.1,84,410.9,341.3,1491.7
125,b5_r1_n6_E1_X3b_2,2237.4,787,765.0,285,8.3,932.8,1296.3
133,b5_r1_n6_E1_X3c_2_5,2236.6,789,770.4,285,40.3,917.0,1279.3
2594,b30_r3_n4_E1_X3c_3_5,2223.4,236,-711.1,82,96.3,1711.8,415.3
1502,b15_r3_n4_E1_X1_8,2218.6,359,884.7,158,14.9,1913.4,290.3
2586,b30_r3_n4_E1_X3b_3,2191.7,236,-711.1,82,96.3,1711.8,383.6
2538,b30_r3_n2_E2_X2,2173.0,238,-1582.3,76,383.2,1181.8,608.0
2377,b30_r2_n3_E1_X7_3,2161.8,145,-1020.3,70,669.3,864.3,628.2
1649,b20_r1_n2_E2_X3c_3_5,2133.4,498,1161.5,208,826.5,489.9,817.0
2013,b20_r3_n3_E1_X2,2127.4,686,-1293.5,233,962.8,65.3,1099.3
2598,b30_r3_n4_E2_X2,2119.2,181,-1151.3,61,140.4,1228.3,750.5
1477,b15_r3_n3_E1_X7_3,2102.1,313,338.8,126,289.5,76.1,1736.5
1983,b20_r3_n2_E1_X2,2095.9,687,-1293.5,233,931.3,65.3,1099.3
2626,b30_r3_n5_E2_X1_5,2094.4,97,-511.9,39,420.5,1102.3,571.6
2388,b30_r2_n3_E2_X2,2062.2,266,-1049.2,85,532.0,804.1,726.1
2393,b30_r2_n3_E2_X7_5,2011.7,111,-232.0,44,449.9,1512.3,49.5
2085,b20_r3_n5_E2_X1_3,1960.7,248,-828.8,87,213.8,1302.9,444.0
