ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
26,b5_r1_n2_E2_X3c_1_5,14443.7,14349,0.0,30.53,1,5323.9,4567
56,b5_r1_n3_E2_X3c_1_5,14207.0,6371,0.0,31.07,1,5504.6,2129
55,b5_r1_n3_E2_X3c_1_3,14165.5,6369,0.0,30.98,1,5489.6,2120
49,b5_r1_n3_E2_X3b_1,13973.6,6349,0.0,30.45,1,5477.0,2119
86,b5_r1_n4_E2_X3c_1_5,10275.5,2862,0.0,22.36,1,4154.3,972
85,b5_r1_n4_E2_X3c_1_3,10254.0,2861,0.0,22.3,1,4137.8,967
79,b5_r1_n4_E2_X3b_1,10226.9,2857,0.0,22.3,1,4125.3,967
109,b5_r1_n5_E2_X3b_1,6551.1,1249,0.0,13.98,1,2695.1,440
116,b5_r1_n5_E2_X3c_1_5,6545.2,1249,0.0,13.97,1,2687.5,442
115,b5_r1_n5_E2_X3c_1_3,6545.2,1249,0.0,13.97,1,2695.1,440
101,b5_r1_n5_E1_X3c_1_5,5497.1,1987,0.0,11.38,1,2366.4,655
100,b5_r1_n5_E1_X3c_1_3,5495.1,1987,0.0,11.38,1,2374.0,653
94,b5_r1_n5_E1_X3b_1,5491.5,1986,0.0,11.36,1,2374.0,653
146,b5_r1_n6_E2_X3c_1_5,4515.7,581,0.0,9.41,1,1773.3,210
145,b5_r1_n6_E2_X3c_1_3,4515.7,581,0.0,9.41,1,1773.3,210
139,b5_r1_n6_E2_X3b_1,4515.6,581,0.0,9.41,1,1773.3,210
325,b5_r2_n6_E2_X3c_1_3,4269.4,2036,0.0,8.48,1,1626.8,688
326,b5_r2_n6_E2_X3c_1_5,4269.4,2036,0.0,8.48,1,1626.8,688
319,b5_r2_n6_E2_X3b_1,4237.4,2034,0.0,8.28,1,1626.8,688
131,b5_r1_n6_E1_X3c_1_5,4157.5,802,0.0,8.47,1,1640.8,285
130,b5_r1_n6_E1_X3c_1_3,4157.5,802,0.0,8.47,1,1640.8,285
124,b5_r1_n6_E1_X3b_1,4141.9,802,0.0,8.44,1,1640.8,285
2379,b30_r2_n3_E1_X7_8,4059.3,127,0.011,2.89,1,-176.4,67
1289,b15_r2_n2_E2_X3c_3_5,3967.3,750,0.004,3.47,1,648.6,295
2019,b20_r3_n3_E1_X7_8,3662.4,153,0.04,1.21,1,-1112.1,76
2088,b20_r3_n5_E2_X2,3632.3,276,0.004,3.04,1,-1583.7,99
2384,b30_r2_n3_E1_X3c_3_5,3497.7,204,0.029,1.17,1,-1371.3,94
2028,b20_r3_n3_E2_X2,3425.6,492,0.025,1.63,1,-1466.2,175
2091,b20_r3_n5_E2_X3b_3,3398.5,276,0.009,2.66,1,-1488.9,99
2099,b20_r3_n5_E2_X3c_3_5,3398.5,276,0.009,2.66,1,-1488.9,99
1998,b20_r3_n2_E2_X2,3373.4,493,0.025,0.95,1,-1466.2,175
2376,b30_r2_n3_E1_X3b_3,3367.2,204,0.034,0.94,1,-1304.1,92
2049,b20_r3_n4_E1_X7_8,3364.3,148,0.052,0.62,0,-1004.0,73
2058,b20_r3_n4_E2_X2,3345.3,353,0.014,1.99,1,-1373.3,132
2031,b20_r3_n3_E2_X3b_3,3322.2,493,0.026,1.22,1,-1129.0,174
2039,b20_r3_n3_E2_X3c_3_5,3283.4,493,0.028,1.16,1,-1129.0,174
2001,b20_r3_n2_E2_X3b_3,3278.7,494,0.016,1.18,1,-1129.0,174
2047,b20_r3_n4_E1_X7_3,3274.1,170,0.05,0.45,0,-749.6,80
2009,b20_r3_n2_E2_X3c_3_5,3239.9,494,0.019,1.12,1,-1129.0,174
1281,b15_r2_n2_E2_X3b_3,3225.0,745,0.018,2.09,1,669.6,294
2018,b20_r3_n3_E1_X7_5,3181.4,163,0.048,-0.11,1,-1284.1,80
1101,b15_r1_n2_E2_X3b_3,3076.7,697,0.02,1.5,1,101.1,285
2553,b30_r3_n3_E1_X2,3070.2,306,0.057,-0.22,0,-1937.9,107
2118,b20_r3_n6_E2_X2,3057.5,219,0.01,2.45,1,-882.8,70
937,b10_r3_n3_E1_X7_3,3055.4,653,0.066,-0.2,0,-314.5,304
2062,b20_r3_n4_E2_X7_3,3022.9,138,0.059,-0.08,0,-906.4,63
2177,b30_r1_n2_E2_X1_8,3012.6,108,0.057,0.29,0,-978.9,49
2073,b20_r3_n5_E1_X2,3008.5,383,0.037,0.53,1,-1696.3,132
2523,b30_r3_n2_E1_X2,3006.9,307,0.061,-0.29,0,-1937.9,107
2069,b20_r3_n4_E2_X3c_3_5,2979.7,354,0.02,1.16,1,-1194.3,132
2061,b20_r3_n4_E2_X3b_3,2979.7,354,0.02,1.16,1,-1194.3,132
1655,b20_r1_n3_E1_X3b_2,2900.2,687,0.026,1.14,1,-846.2,264
356,b5_r2_n8_E2_X3c_1_5,2805.5,778,0.0,5.38,1,1029.4,257
355,b5_r2_n8_E2_X3c_1_3,2805.5,778,0.0,5.38,1,1029.4,257
349,b5_r2_n8_E2_X3b_1,2800.2,777,0.0,5.39,1,1029.4,257
2121,b20_r3_n6_E2_X3b_3,2785.5,219,0.016,1.9,1,-889.4,70
2129,b20_r3_n6_E2_X3c_3_5,2785.5,219,0.016,1.9,1,-889.4,70
2394,b30_r2_n3_E2_X7_8,2770.3,108,0.075,-0.25,0,96.8,46
2564,b30_r3_n3_E1_X3c_3_5,2740.2,304,0.095,-0.98,0,-1442.9,105
2556,b30_r3_n3_E1_X3b_3,2708.5,304,0.098,-1.05,0,-1442.9,105
2534,b30_r3_n2_E1_X3c_3_5,2677.7,305,0.087,-1.3,0,-1442.9,105
2526,b30_r3_n2_E1_X3b_3,2646.0,305,0.091,-1.4,0,-1442.9,105
2027,b20_r3_n3_E2_X1_8,2576.0,176,0.061,-0.15,0,922.0,79
2048,b20_r3_n4_E1_X7_5,2548.7,164,0.1,-1.07,0,-849.9,76
1640,b20_r1_n2_E2_X3b_2,2532.5,560,0.018,1.09,1,1475.3,217
2583,b30_r3_n4_E1_X2,2520.1,238,0.097,-1.04,0,-1187.9,83
1297,b15_r2_n3_E1_X7_3,2487.9,560,0.105,-1.52,0,-331.2,235
2363,b30_r2_n2_E2_X7_5,2454.4,123,0.083,-0.71,0,-1006.1,60
1648,b20_r1_n2_E2_X3c_2_5,2436.3,568,0.023,0.91,1,1713.1,219
2364,b30_r2_n2_E2_X7_8,2423.4,127,0.119,-1.58,0,-1010.6,61
1997,b20_r3_n2_E2_X1_8,2417.6,175,0.073,-0.47,0,922.0,79
2079,b20_r3_n5_E1_X7_8,2402.9,145,0.098,-1.14,0,-1800.3,70
148,b5_r1_n6_E2_X3c_2_5,2402.2,572,0.0,4.43,1,1018.2,210
804,b10_r2_n4_E2_X7_8,2384.5,761,0.049,-0.23,1,688.0,291
140,b5_r1_n6_E2_X3b_2,2379.6,572,0.0,4.35,1,996.1,210
1643,b20_r1_n2_E2_X7_5,2344.2,466,0.068,-0.64,0,762.7,203
118,b5_r1_n5_E2_X3c_2_5,2338.9,1232,0.0,4.05,1,1106.7,436
110,b5_r1_n5_E2_X3b_2,2311.7,1226,0.0,3.87,1,1082.6,434
1899,b20_r2_n5_E1_X7_8,2310.4,234,0.115,-1.1,0,-5.8,100
1357,b15_r2_n5_E1_X7_3,2308.4,421,0.072,-0.91,0,344.0,166
169,b5_r1_n8_E2_X3b_1,2303.6,190,0.0,4.54,1,854.4,63
176,b5_r1_n8_E2_X3c_1_5,2303.6,190,0.0,4.54,1,854.4,63
