ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
56,b5_r1_n3_E2_X3c_1_5,5726.8,3440,0.0,11.56,1,1907.4,1287,4.47,1
55,b5_r1_n3_E2_X3c_1_3,5706.9,3428,0.0,11.57,1,1835.1,1282,4.3,1
49,b5_r1_n3_E2_X3b_1,5647.3,3418,0.0,11.44,1,1817.6,1284,4.26,1
86,b5_r1_n4_E2_X3c_1_5,4362.3,1578,0.0,8.91,1,1651.3,613,3.87,1
85,b5_r1_n4_E2_X3c_1_3,4357.4,1574,0.0,8.84,1,1591.8,610,3.73,1
79,b5_r1_n4_E2_X3b_1,4373.0,1571,0.0,8.9,1,1587.4,609,3.72,1
115,b5_r1_n5_E2_X3c_1_3,3226.5,754,0.0,6.5,1,1199.2,275,2.81,1
109,b5_r1_n5_E2_X3b_1,3218.7,753,0.0,6.45,1,1199.2,275,2.81,1
116,b5_r1_n5_E2_X3c_1_5,3201.5,758,0.0,6.44,1,1197.2,275,2.81,1
145,b5_r1_n6_E2_X3c_1_3,2388.8,391,0.0,4.69,1,898.4,145,2.11,1
139,b5_r1_n6_E2_X3b_1,2388.8,391,0.0,4.69,1,898.4,145,2.11,1
146,b5_r1_n6_E2_X3c_1_5,2387.5,392,0.0,4.68,1,896.4,145,2.1,1
100,b5_r1_n5_E1_X3c_1_3,2358.0,1469,0.0,4.28,1,779.4,542,1.83,1
101,b5_r1_n5_E1_X3c_1_5,2353.6,1475,0.0,4.27,1,774.9,542,1.82,1
94,b5_r1_n5_E1_X3b_1,2350.2,1468,0.0,4.27,1,763.4,542,1.79,1
130,b5_r1_n6_E1_X3c_1_3,2089.9,682,0.0,3.9,1,756.3,256,1.77,1
131,b5_r1_n6_E1_X3c_1_5,2088.6,683,0.0,3.88,1,754.3,256,1.77,1
124,b5_r1_n6_E1_X3b_1,2089.9,682,0.0,3.9,1,750.3,256,1.76,1
175,b5_r1_n8_E2_X3c_1_3,1584.1,135,0.0,2.99,1,570.3,46,1.34,1
169,b5_r1_n8_E2_X3b_1,1584.1,135,0.0,2.99,1,570.3,46,1.34,1
176,b5_r1_n8_E2_X3c_1_5,1584.1,135,0.0,2.99,1,568.3,46,1.33,1
161,b5_r1_n8_E1_X3c_1_5,1526.9,179,0.0,2.82,1,513.7,69,1.21,1
160,b5_r1_n8_E1_X3c_1_3,1526.9,179,0.0,2.82,1,515.7,69,1.21,1
154,b5_r1_n8_E1_X3b_1,1526.9,179,0.0,2.82,1,515.7,69,1.21,1
1189,b15_r1_n5_E2_X3b_1,548.3,106,0.013,0.41,1,515.0,33,1.21,1
