ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
56,b5_r1_n3_E2_X3c_1_5,5726.8,3440,1907.4,1287,385.0,3976.8,1365.0
55,b5_r1_n3_E2_X3c_1_3,5706.9,3428,1835.1,1282,370.5,3987.6,1348.8
49,b5_r1_n3_E2_X3b_1,5647.3,3418,1817.6,1284,386.9,3936.6,1323.8
79,b5_r1_n4_E2_X3b_1,4373.0,1571,1587.4,609,421.7,2731.8,1219.5
86,b5_r1_n4_E2_X3c_1_5,4362.3,1578,1651.3,613,437.6,2677.9,1246.8
85,b5_r1_n4_E2_X3c_1_3,4357.4,1574,1591.8,610,405.3,2718.9,1233.2
115,b5_r1_n5_E2_X3c_1_3,3226.5,754,1199.2,275,309.8,1956.3,960.4
109,b5_r1_n5_E2_X3b_1,3218.7,753,1199.2,275,309.8,1948.5,960.4
116,b5_r1_n5_E2_X3c_1_5,3201.5,758,1197.2,275,325.8,1915.3,960.4
1697,b20_r1_n4_E2_X1_8,2449.6,82,53.5,20,1412.2,982.7,54.7
145,b5_r1_n6_E2_X3c_1_3,2388.8,391,898.4,145,312.5,1335.6,740.7
139,b5_r1_n6_E2_X3b_1,2388.8,391,898.4,145,312.5,1335.6,740.7
146,b5_r1_n6_E2_X3c_1_5,2387.5,392,896.4,145,311.2,1335.6,740.7
100,b5_r1_n5_E1_X3c_1_3,2358.0,1469,779.4,542,12.6,1668.8,676.6
101,b5_r1_n5_E1_X3c_1_5,2353.6,1475,774.9,542,38.9,1627.8,686.9
94,b5_r1_n5_E1_X3b_1,2350.2,1468,763.4,542,12.6,1661.0,676.6
124,b5_r1_n6_E1_X3b_1,2089.9,682,750.3,256,213.5,1239.8,636.6
130,b5_r1_n6_E1_X3c_1_3,2089.9,682,756.3,256,213.5,1239.8,636.6
131,b5_r1_n6_E1_X3c_1_5,2088.6,683,754.3,256,212.2,1239.8,636.6
2557,b30_r3_n3_E1_X7_3,2077.8,37,-18.8,13,197.8,1591.4,288.6
2527,b30_r3_n2_E1_X7_3,2077.8,37,-18.8,13,197.8,1591.4,288.6
1127,b15_r1_n3_E2_X1_8,1873.5,195,-338.1,61,809.6,1004.7,59.2
2656,b30_r3_n6_E2_X1_5,1830.2,43,-706.9,13,971.6,330.9,527.7
2649,b30_r3_n6_E1_X7_8,1751.4,30,-77.6,12,662.4,878.1,210.9
2252,b30_r1_n5_E1_X1_8,1737.9,45,-133.5,10,340.0,212.0,1185.9
2251,b30_r1_n5_E1_X1_5,1660.6,58,-410.6,15,457.7,503.7,699.2
2642,b30_r3_n6_E1_X1_8,1616.2,46,-141.7,16,461.2,689.0,466.0
176,b5_r1_n8_E2_X3c_1_5,1584.1,135,568.3,46,143.4,832.4,608.3
169,b5_r1_n8_E2_X3b_1,1584.1,135,570.3,46,143.4,832.4,608.3
175,b5_r1_n8_E2_X3c_1_3,1584.1,135,570.3,46,143.4,832.4,608.3
117,b5_r1_n5_E2_X3c_2_3,1533.9,727,450.7,273,124.8,895.6,513.5
161,b5_r1_n8_E1_X3c_1_5,1526.9,179,513.7,69,152.9,823.2,550.8
160,b5_r1_n8_E1_X3c_1_3,1526.9,179,515.7,69,152.9,823.2,550.8
154,b5_r1_n8_E1_X3b_1,1526.9,179,515.7,69,152.9,823.2,550.8
2256,b30_r1_n5_E1_X3b_3,1523.3,53,-374.4,16,205.8,503.5,814.0
118,b5_r1_n5_E2_X3c_2_5,1521.4,731,427.0,273,177.0,836.9,507.5
2476,b30_r2_n6_E2_X1_5,1513.4,36,46.5,10,195.9,492.4,825.1
2627,b30_r3_n5_E2_X1_8,1501.0,41,-615.3,11,105.4,1050.8,344.8
1742,b20_r1_n6_E1_X1_8,1440.3,56,-414.9,11,138.6,1239.4,62.3
110,b5_r1_n5_E2_X3b_2,1430.2,722,477.8,271,45.8,893.4,491.0
2672,b30_r3_n8_E1_X1_8,1398.0,30,-975.3,11,469.1,216.4,712.5
2657,b30_r3_n6_E2_X1_8,1391.2,36,-1096.8,12,348.0,694.1,349.1
597,b10_r1_n3_E2_X3c_2_3,1308.1,842,-500.4,299,747.4,231.7,329.0
147,b5_r1_n6_E2_X3c_2_3,1295.4,381,425.1,145,39.7,785.1,470.6
148,b5_r1_n6_E2_X3c_2_5,1285.5,382,400.2,145,86.1,758.7,440.7
2559,b30_r3_n3_E1_X7_8,1280.9,34,-156.3,13,662.4,443.0,175.5
2529,b30_r3_n2_E1_X7_8,1280.9,34,-156.3,13,662.4,443.0,175.5
2589,b30_r3_n4_E1_X7_8,1280.9,34,-156.3,13,662.4,443.0,175.5
1937,b20_r2_n6_E2_X1_8,1272.5,67,37.1,23,692.0,123.1,457.4
1138,b15_r1_n3_E2_X3c_2_5,1267.5,393,-187.0,135,272.0,240.4,755.1
1130,b15_r1_n3_E2_X3b_2,1266.8,384,-292.2,132,373.8,211.2,681.8
598,b10_r1_n3_E2_X3c_2_5,1257.9,838,-571.7,301,826.5,41.2,390.2
1157,b15_r1_n4_E2_X1_8,1231.6,150,117.5,45,544.0,77.1,610.5
140,b5_r1_n6_E2_X3b_2,1228.9,381,388.3,145,56.8,742.4,429.7
2626,b30_r3_n5_E2_X1_5,1214.1,55,-422.2,15,937.7,22.3,254.1
2611,b30_r3_n5_E1_X1_5,1191.3,71,-56.5,19,632.3,521.6,37.4
1168,b15_r1_n4_E2_X3c_2_5,1185.6,214,-234.2,75,112.7,221.4,851.5
1160,b15_r1_n4_E2_X3b_2,1158.8,211,-230.8,75,112.7,224.0,822.1
1163,b15_r1_n4_E2_X7_5,1156.8,206,-264.3,72,468.8,23.7,664.3
1136,b15_r1_n3_E2_X3c_1_5,1152.3,496,285.3,165,403.5,431.2,317.6
1133,b15_r1_n3_E2_X7_5,1149.4,360,-104.6,119,359.6,138.9,650.9
2641,b30_r3_n6_E1_X1_5,1147.8,61,35.3,18,425.9,262.0,459.9
1137,b15_r1_n3_E2_X3c_2_3,1139.9,393,-156.3,134,128.3,271.8,739.8
2446,b30_r2_n5_E2_X1_5,1133.3,48,160.3,14,219.3,180.1,733.9
2552,b30_r3_n3_E1_X1_8,1130.8,50,-987.1,20,101.2,446.3,583.3
2582,b30_r3_n4_E1_X1_8,1130.8,50,-987.1,20,101.2,446.3,583.3
2522,b30_r3_n2_E1_X1_8,1130.8,50,-987.1,20,101.2,446.3,583.3
1139,b15_r1_n3_E2_X3c_3_5,1128.8,369,-198.8,129,388.4,79.9,660.5
1135,b15_r1_n3_E2_X3c_1_3,1101.0,494,285.3,165,403.5,431.2,266.3
1129,b15_r1_n3_E2_X3b_1,1101.0,494,285.3,165,403.5,431.2,266.3
177,b5_r1_n8_E2_X3c_2_3,1091.4,132,388.5,46,43.8,573.3,474.3
178,b5_r1_n8_E2_X3c_2_5,1080.1,132,379.0,46,43.8,573.1,463.2
170,b5_r1_n8_E2_X3b_2,1080.1,132,376.0,46,43.8,573.1,463.2
1166,b15_r1_n4_E2_X3c_1_5,1073.4,243,335.3,82,316.2,367.3,389.9
1676,b20_r1_n3_E2_X3c_1_5,1064.2,265,12.4,100,187.4,269.9,606.9
163,b5_r1_n8_E1_X3c_2_5,1041.9,174,392.6,68,32.8,544.8,464.3
162,b5_r1_n8_E1_X3c_2_3,1034.3,174,386.4,68,45.2,553.4,435.7
1151,b15_r1_n4_E1_X3c_1_5,1030.4,505,465.4,162,200.9,539.8,289.7
1748,b20_r1_n6_E1_X7_5,1030.3,61,-131.4,12,219.5,607.7,203.1
1669,b20_r1_n3_E2_X3b_1,1022.9,263,12.4,100,187.4,269.9,565.6
1675,b20_r1_n3_E2_X3c_1_3,1022.9,263,12.4,100,187.4,269.9,565.6
1159,b15_r1_n4_E2_X3b_1,1022.1,241,335.3,82,316.2,367.3,338.6
1165,b15_r1_n4_E2_X3c_1_3,1022.1,241,335.3,82,316.2,367.3,338.6
2612,b30_r3_n5_E1_X1_8,1013.8,48,-380.4,15,101.2,329.3,583.3
