ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
56,b5_r1_n3_E2_X3c_1_5,11337.5,5886,2504.8,1894,629.0,5950.8,4757.7
55,b5_r1_n3_E2_X3c_1_3,11330.1,5878,2452.4,1894,620.5,5954.1,4755.5
49,b5_r1_n3_E2_X3b_1,11261.8,5858,2463.7,1891,599.1,5963.8,4698.9
86,b5_r1_n4_E2_X3c_1_5,8330.4,2661,1883.1,846,732.0,3848.2,3750.2
85,b5_r1_n4_E2_X3c_1_3,8310.1,2660,1883.3,846,710.0,3853.6,3746.5
79,b5_r1_n4_E2_X3b_1,8276.8,2659,1877.1,846,732.0,3812.6,3732.2
116,b5_r1_n5_E2_X3c_1_5,5736.5,1192,1172.5,355,397.5,2486.0,2853.0
115,b5_r1_n5_E2_X3c_1_3,5730.5,1191,1172.5,355,397.5,2488.7,2844.3
109,b5_r1_n5_E2_X3b_1,5711.4,1191,1172.5,355,397.5,2477.8,2836.1
2016,b20_r3_n3_E1_X3b_3,5519.1,609,-1719.4,239,1313.5,2352.7,1852.9
2024,b20_r3_n3_E1_X3c_3_5,5519.1,609,-1719.4,239,1313.5,2352.7,1852.9
1986,b20_r3_n2_E1_X3b_3,5510.2,610,-1719.4,239,1304.6,2352.7,1852.9
1994,b20_r3_n2_E1_X3c_3_5,5510.2,610,-1719.4,239,1304.6,2352.7,1852.9
2407,b30_r2_n4_E1_X7_3,5509.2,112,-126.6,46,1374.0,3185.5,949.7
1552,b15_r3_n5_E2_X7_3,5424.1,202,-1061.6,89,337.2,3192.9,1894.0
1539,b15_r3_n5_E1_X7_8,5350.8,234,-1980.1,112,480.3,2408.1,2462.4
1554,b15_r3_n5_E2_X7_8,5318.3,194,-1583.5,86,539.1,3077.9,1701.3
1507,b15_r3_n4_E1_X7_3,5275.9,259,-1618.0,125,1139.5,2561.5,1574.9
1522,b15_r3_n4_E2_X7_3,5210.7,216,-1081.0,95,841.7,2990.8,1378.2
1569,b15_r3_n6_E1_X7_8,5200.1,223,-1478.7,100,809.6,2829.8,1560.7
2054,b20_r3_n4_E1_X3c_3_5,5147.1,463,-1036.2,185,1304.7,2479.6,1362.8
2046,b20_r3_n4_E1_X3b_3,5147.1,463,-1036.2,185,1304.7,2479.6,1362.8
2182,b30_r1_n2_E2_X7_3,5088.1,221,-1103.1,90,1248.1,2555.0,1285.0
2345,b30_r2_n2_E1_X3b_2,5032.9,536,-2152.9,213,52.7,3230.0,1750.2
1508,b15_r3_n4_E1_X7_5,4995.0,242,-2177.8,124,435.9,2725.4,1833.7
2352,b30_r2_n2_E1_X3c_2_3,4988.5,536,-2152.9,213,52.7,3230.0,1705.8
2353,b30_r2_n2_E1_X3c_2_5,4988.5,536,-2152.9,213,52.7,3230.0,1705.8
2013,b20_r3_n3_E1_X2,4935.4,610,-1857.3,242,1289.9,1738.3,1907.2
2061,b20_r3_n4_E2_X3b_3,4927.4,347,-999.7,139,893.2,3002.2,1032.0
2069,b20_r3_n4_E2_X3c_3_5,4927.4,347,-999.7,139,893.2,3002.2,1032.0
1983,b20_r3_n2_E1_X2,4926.9,611,-1857.3,242,1281.4,1738.3,1907.2
2031,b20_r3_n3_E2_X3b_3,4900.4,462,-1619.8,178,855.1,2811.0,1234.3
2039,b20_r3_n3_E2_X3c_3_5,4900.4,462,-1619.8,178,855.1,2811.0,1234.3
2001,b20_r3_n2_E2_X3b_3,4875.6,463,-1619.8,178,830.3,2811.0,1234.3
2009,b20_r3_n2_E2_X3c_3_5,4875.6,463,-1619.8,178,830.3,2811.0,1234.3
1553,b15_r3_n5_E2_X7_5,4866.0,199,-1601.0,90,267.0,3006.8,1592.2
1523,b15_r3_n4_E2_X7_5,4700.8,209,-1535.5,94,779.7,3282.0,639.1
2043,b20_r3_n4_E1_X2,4677.8,459,-1091.0,186,1333.9,1938.5,1405.4
2108,b20_r3_n6_E1_X7_5,4610.3,116,-1351.4,58,160.5,2856.2,1593.6
94,b5_r1_n5_E1_X3b_1,4573.2,1884,472.6,637,26.9,2156.5,2389.8
101,b5_r1_n5_E1_X3c_1_5,4570.9,1886,478.6,637,26.9,2171.9,2372.1
100,b5_r1_n5_E1_X3c_1_3,4566.1,1885,481.6,637,26.9,2175.8,2363.4
1479,b15_r3_n3_E1_X7_8,4564.2,249,-2302.5,122,368.9,2652.7,1542.6
1844,b20_r2_n3_E1_X3c_3_5,4564.0,447,-235.3,191,1666.6,1675.2,1222.2
1478,b15_r3_n3_E1_X7_5,4505.4,250,-1978.1,127,435.9,2491.6,1577.9
2058,b20_r3_n4_E2_X2,4488.5,345,-993.2,139,934.1,2510.4,1044.0
2360,b30_r2_n2_E2_X3b_2,4442.4,365,-1407.4,129,207.8,2956.3,1278.3
2367,b30_r2_n2_E2_X3c_2_3,4442.4,365,-1407.4,129,207.8,2956.3,1278.3
2368,b30_r2_n2_E2_X3c_2_5,4442.4,365,-1407.4,129,207.8,2956.3,1278.3
2084,b20_r3_n5_E1_X3c_3_5,4389.2,352,-1446.7,130,1213.0,1388.2,1788.0
2076,b20_r3_n5_E1_X3b_3,4389.2,352,-1446.7,130,1213.0,1388.2,1788.0
2028,b20_r3_n3_E2_X2,4374.7,464,-1644.5,178,841.5,2291.7,1241.5
1998,b20_r3_n2_E2_X2,4350.3,465,-1644.5,178,817.1,2291.7,1241.5
2189,b30_r1_n2_E2_X3c_3_5,4292.9,227,-164.8,87,1041.7,2200.4,1050.8
1862,b20_r2_n4_E1_X1_8,4284.1,225,-404.4,89,407.8,2774.7,1101.6
1584,b15_r3_n6_E2_X7_8,4271.5,181,-799.0,78,305.8,2962.6,1003.1
1509,b15_r3_n4_E1_X7_8,4251.1,244,-2226.7,116,354.7,2596.8,1299.6
1836,b20_r2_n3_E1_X3b_3,4217.0,445,-345.7,190,1666.6,1336.7,1213.7
2184,b30_r1_n2_E2_X7_8,4201.8,217,-792.4,85,1357.6,1876.1,968.1
2099,b20_r3_n5_E2_X3c_3_5,4187.6,266,-839.0,91,764.9,1987.3,1435.4
2091,b20_r3_n5_E2_X3b_3,4187.6,266,-839.0,91,764.9,1987.3,1435.4
1524,b15_r3_n4_E2_X7_8,4187.1,208,-1714.3,88,929.2,3085.6,172.3
146,b5_r1_n6_E2_X3c_1_5,4128.5,576,703.2,170,359.7,1616.5,2152.3
145,b5_r1_n6_E2_X3c_1_3,4114.4,575,703.2,170,359.7,1616.5,2138.2
139,b5_r1_n6_E2_X3b_1,4114.4,575,703.2,170,359.7,1616.5,2138.2
1477,b15_r3_n3_E1_X7_3,4106.3,279,-2090.3,132,1160.4,2019.8,926.1
1461,b15_r3_n2_E2_X3b_3,3991.1,803,-860.1,289,739.9,1950.8,1300.4
2073,b20_r3_n5_E1_X2,3989.9,351,-1557.6,131,1236.4,822.5,1931.0
1469,b15_r3_n2_E2_X3c_3_5,3988.4,805,-860.1,289,739.9,1950.8,1297.7
2192,b30_r1_n3_E1_X1_8,3964.5,129,591.3,48,804.5,2581.9,578.1
1538,b15_r3_n5_E1_X7_5,3964.3,235,-2309.6,121,528.8,2468.2,967.3
1491,b15_r3_n3_E2_X3b_3,3964.2,802,-860.1,289,713.0,1950.8,1300.4
1499,b15_r3_n3_E2_X3c_3_5,3961.5,804,-860.1,289,713.0,1950.8,1297.7
2187,b30_r1_n2_E2_X3c_2_3,3928.1,260,-523.7,103,1014.4,1817.2,1096.5
1839,b20_r2_n3_E1_X7_8,3892.7,269,-1085.4,118,1441.4,1917.1,534.2
2048,b20_r3_n4_E1_X7_5,3886.2,139,-2825.3,80,581.2,1685.4,1619.6
2183,b30_r1_n2_E2_X7_5,3849.5,216,-421.3,83,1073.6,1935.9,840.0
1628,b20_r1_n2_E1_X7_5,3844.2,794,288.3,342,1225.8,1432.7,1185.7
2557,b30_r3_n3_E1_X7_3,3837.2,71,-1625.8,37,586.8,1238.5,2011.9
2527,b30_r3_n2_E1_X7_3,3837.2,71,-1625.8,37,586.8,1238.5,2011.9
1652,b20_r1_n3_E1_X1_8,3826.8,265,687.2,93,1693.1,1259.9,873.8
2358,b30_r2_n2_E2_X2,3810.8,367,-1591.9,129,167.3,2293.5,1350.0
1866,b20_r2_n4_E1_X3b_3,3805.5,344,604.9,146,1551.8,1438.7,815.0
1537,b15_r3_n5_E1_X7_3,3804.2,250,-1331.7,115,379.9,2848.1,576.2
1599,b15_r3_n8_E1_X7_8,3795.9,172,-1600.0,77,494.3,3017.0,284.6
2088,b20_r3_n5_E2_X2,3776.3,265,-969.2,91,810.0,1453.2,1513.1
1807,b20_r2_n2_E1_X7_3,3774.2,314,-698.0,136,1149.1,1082.1,1543.0
969,b10_r3_n4_E1_X7_8,3729.8,519,1845.7,226,934.2,735.5,2060.1
2398,b30_r2_n3_E2_X3c_2_5,3725.3,248,-1161.3,84,218.6,1923.7,1583.0
2390,b30_r2_n3_E2_X3b_2,3725.3,248,-1161.3,84,218.6,1923.7,1583.0
2397,b30_r2_n3_E2_X3c_2_3,3725.3,248,-1161.3,84,218.6,1923.7,1583.0
1874,b20_r2_n4_E1_X3c_3_5,3678.7,348,604.9,146,1551.8,1458.2,668.7
131,b5_r1_n6_E1_X3c_1_5,3614.6,807,505.6,272,164.1,1486.8,1963.7
130,b5_r1_n6_E1_X3c_1_3,3605.4,806,505.6,272,164.1,1491.7,1949.6
124,b5_r1_n6_E1_X3b_1,3597.0,806,499.6,272,164.1,1483.3,1949.6
2375,b30_r2_n3_E1_X3b_2,3588.7,372,-1339.4,134,182.0,1519.5,1887.2
326,b5_r2_n6_E2_X3c_1_5,3569.1,2004,251.7,672,114.3,1310.2,2144.6
2124,b20_r3_n6_E2_X7_8,3565.7,92,-1025.3,41,346.6,988.7,2230.4
325,b5_r2_n6_E2_X3c_1_3,3559.6,2002,251.7,672,114.3,1314.8,2130.5
319,b5_r2_n6_E2_X3b_1,3555.2,2001,251.7,672,114.3,1314.8,2126.1
1851,b20_r2_n3_E2_X3b_3,3553.3,310,-655.0,134,682.7,1937.0,933.6
1859,b20_r2_n3_E2_X3c_3_5,3545.5,311,-417.7,135,682.7,1961.6,901.2
2382,b30_r2_n3_E1_X3c_2_3,3544.3,372,-1339.4,134,182.0,1519.5,1842.8
2383,b30_r2_n3_E1_X3c_2_5,3544.3,372,-1339.4,134,182.0,1519.5,1842.8
