ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
56,b5_r1_n3_E2_X3c_1_5,11337.5,5886,0.0,24.46,1,2504.8,1894
55,b5_r1_n3_E2_X3c_1_3,11330.1,5878,0.0,24.45,1,2452.4,1894
49,b5_r1_n3_E2_X3b_1,11261.8,5858,0.0,24.23,1,2463.7,1891
86,b5_r1_n4_E2_X3c_1_5,8330.4,2661,0.0,17.97,1,1883.1,846
85,b5_r1_n4_E2_X3c_1_3,8310.1,2660,0.0,17.88,1,1883.3,846
79,b5_r1_n4_E2_X3b_1,8276.8,2659,0.0,17.86,1,1877.1,846
116,b5_r1_n5_E2_X3c_1_5,5736.5,1192,0.0,12.18,1,1172.5,355
115,b5_r1_n5_E2_X3c_1_3,5730.5,1191,0.0,12.15,1,1172.5,355
109,b5_r1_n5_E2_X3b_1,5711.4,1191,0.0,12.12,1,1172.5,355
2016,b20_r3_n3_E1_X3b_3,5519.1,609,0.004,4.77,1,-1719.4,239
2024,b20_r3_n3_E1_X3c_3_5,5519.1,609,0.004,4.77,1,-1719.4,239
1986,b20_r3_n2_E1_X3b_3,5510.2,610,0.003,4.57,1,-1719.4,239
1994,b20_r3_n2_E1_X3c_3_5,5510.2,610,0.003,4.57,1,-1719.4,239
2407,b30_r2_n4_E1_X7_3,5509.2,112,0.001,5.89,1,-126.6,46
1552,b15_r3_n5_E2_X7_3,5424.1,202,0.001,5.47,1,-1061.6,89
1539,b15_r3_n5_E1_X7_8,5350.8,234,0.002,5.35,1,-1980.1,112
1554,b15_r3_n5_E2_X7_8,5318.3,194,0.003,5.68,1,-1583.5,86
1507,b15_r3_n4_E1_X7_3,5275.9,259,0.004,4.96,1,-1618.0,125
1522,b15_r3_n4_E2_X7_3,5210.7,216,0.004,5.29,1,-1081.0,95
1569,b15_r3_n6_E1_X7_8,5200.1,223,0.002,4.83,1,-1478.7,100
2054,b20_r3_n4_E1_X3c_3_5,5147.1,463,0.002,5.1,1,-1036.2,185
2046,b20_r3_n4_E1_X3b_3,5147.1,463,0.002,5.1,1,-1036.2,185
2182,b30_r1_n2_E2_X7_3,5088.1,221,0.001,5.39,1,-1103.1,90
2345,b30_r2_n2_E1_X3b_2,5032.9,536,0.006,3.63,1,-2152.9,213
1508,b15_r3_n4_E1_X7_5,4995.0,242,0.005,5.04,1,-2177.8,124
2352,b30_r2_n2_E1_X3c_2_3,4988.5,536,0.006,3.56,1,-2152.9,213
2353,b30_r2_n2_E1_X3c_2_5,4988.5,536,0.006,3.56,1,-2152.9,213
2013,b20_r3_n3_E1_X2,4935.4,610,0.01,4.0,1,-1857.3,242
2061,b20_r3_n4_E2_X3b_3,4927.4,347,0.001,5.29,1,-999.7,139
2069,b20_r3_n4_E2_X3c_3_5,4927.4,347,0.001,5.29,1,-999.7,139
1983,b20_r3_n2_E1_X2,4926.9,611,0.009,3.61,1,-1857.3,242
2031,b20_r3_n3_E2_X3b_3,4900.4,462,0.006,4.17,1,-1619.8,178
2039,b20_r3_n3_E2_X3c_3_5,4900.4,462,0.006,4.17,1,-1619.8,178
2001,b20_r3_n2_E2_X3b_3,4875.6,463,0.006,4.62,1,-1619.8,178
2009,b20_r3_n2_E2_X3c_3_5,4875.6,463,0.006,4.62,1,-1619.8,178
1553,b15_r3_n5_E2_X7_5,4866.0,199,0.002,4.7,1,-1601.0,90
1523,b15_r3_n4_E2_X7_5,4700.8,209,0.008,4.52,1,-1535.5,94
2043,b20_r3_n4_E1_X2,4677.8,459,0.004,3.8,1,-1091.0,186
2108,b20_r3_n6_E1_X7_5,4610.3,116,0.011,2.86,1,-1351.4,58
94,b5_r1_n5_E1_X3b_1,4573.2,1884,0.0,9.11,1,472.6,637
101,b5_r1_n5_E1_X3c_1_5,4570.9,1886,0.0,9.25,1,478.6,637
100,b5_r1_n5_E1_X3c_1_3,4566.1,1885,0.0,9.27,1,481.6,637
1479,b15_r3_n3_E1_X7_8,4564.2,249,0.007,3.6,1,-2302.5,122
1844,b20_r2_n3_E1_X3c_3_5,4564.0,447,0.001,4.38,1,-235.3,191
1478,b15_r3_n3_E1_X7_5,4505.4,250,0.009,3.54,1,-1978.1,127
2058,b20_r3_n4_E2_X2,4488.5,345,0.006,4.07,1,-993.2,139
2360,b30_r2_n2_E2_X3b_2,4442.4,365,0.002,4.03,1,-1407.4,129
2367,b30_r2_n2_E2_X3c_2_3,4442.4,365,0.002,4.03,1,-1407.4,129
2368,b30_r2_n2_E2_X3c_2_5,4442.4,365,0.002,4.03,1,-1407.4,129
2084,b20_r3_n5_E1_X3c_3_5,4389.2,352,0.001,4.51,1,-1446.7,130
2076,b20_r3_n5_E1_X3b_3,4389.2,352,0.001,4.51,1,-1446.7,130
2028,b20_r3_n3_E2_X2,4374.7,464,0.009,3.29,1,-1644.5,178
1998,b20_r3_n2_E2_X2,4350.3,465,0.007,3.16,1,-1644.5,178
