ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
85,b5_r1_n4_E2_X3c_1_3,26193.5,5490,0.0,58.62,1,3272.3,1162,7.69,1
79,b5_r1_n4_E2_X3b_1,26163.3,5481,0.0,58.67,1,3269.0,1162,7.68,1
86,b5_r1_n4_E2_X3c_1_5,26152.7,5495,0.0,58.61,1,3265.5,1162,7.67,1
115,b5_r1_n5_E2_X3c_1_3,18670.2,2666,0.0,41.44,1,2326.1,492,5.47,1
116,b5_r1_n5_E2_X3c_1_5,18625.8,2666,0.0,41.38,1,2319.3,492,5.45,1
109,b5_r1_n5_E2_X3b_1,18640.2,2661,0.0,41.37,1,2316.6,492,5.44,1
2018,b20_r3_n3_E1_X7_5,5390.6,219,0.016,3.8,1,1365.8,80,3.21,1
145,b5_r1_n6_E2_X3c_1_3,13342.0,1417,0.0,29.19,1,1358.8,219,3.19,1
139,b5_r1_n6_E2_X3b_1,13337.4,1416,0.0,29.19,1,1352.0,219,3.18,1
146,b5_r1_n6_E2_X3c_1_5,13348.0,1417,0.0,29.21,1,1352.0,219,3.18,1
2048,b20_r3_n4_E1_X7_5,4905.0,211,0.017,2.51,1,1027.1,76,2.41,1
2047,b20_r3_n4_E1_X7_3,4529.8,231,0.024,1.26,1,977.6,80,2.3,1
2078,b20_r3_n5_E1_X7_5,4215.6,199,0.032,1.52,1,954.9,70,2.24,1
2017,b20_r3_n3_E1_X7_3,3996.5,245,0.046,0.35,1,903.1,88,2.12,1
2077,b20_r3_n5_E1_X7_3,3998.1,218,0.049,0.84,1,837.7,74,1.97,1
169,b5_r1_n8_E2_X3b_1,7966.5,536,0.0,16.95,1,505.3,58,1.19,1
176,b5_r1_n8_E2_X3c_1_5,7966.5,536,0.0,16.95,1,505.3,58,1.19,1
175,b5_r1_n8_E2_X3c_1_3,7966.5,536,0.0,16.95,1,505.3,58,1.19,1
178,b5_r1_n8_E2_X3c_2_5,5694.7,532,0.0,11.65,1,344.5,56,0.81,1
170,b5_r1_n8_E2_X3b_2,5645.3,532,0.0,11.54,1,335.9,56,0.79,1
177,b5_r1_n8_E2_X3c_2_3,5679.8,532,0.0,11.62,1,331.2,57,0.78,1
2275,b30_r1_n5_E2_X3c_1_3,843.4,59,0.014,0.58,1,-146.8,21,-0.34,0
2269,b30_r1_n5_E2_X3b_1,843.4,59,0.014,0.58,1,-146.8,21,-0.34,0
2276,b30_r1_n5_E2_X3c_1_5,843.4,59,0.014,0.58,1,-146.8,21,-0.34,0
1817,b20_r2_n2_E2_X1_8,3988.7,304,0.019,1.59,1,-160.0,104,-0.38,0
2239,b30_r1_n4_E2_X3b_1,1248.0,133,0.046,0.24,1,-238.8,42,-0.56,0
2245,b30_r1_n4_E2_X3c_1_3,1027.8,135,0.049,0.18,1,-238.8,42,-0.56,0
2246,b30_r1_n4_E2_X3c_1_5,1027.8,135,0.049,0.18,1,-238.8,42,-0.56,0
