ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
85,b5_r1_n4_E2_X3c_1_3,26193.5,5490,3272.3,1162,101.7,15718.8,10373.0
79,b5_r1_n4_E2_X3b_1,26163.3,5481,3269.0,1162,101.6,15708.4,10353.3
86,b5_r1_n4_E2_X3c_1_5,26152.7,5495,3265.5,1162,93.9,15702.6,10356.2
115,b5_r1_n5_E2_X3c_1_3,18670.2,2666,2326.1,492,182.5,10960.7,7527.0
109,b5_r1_n5_E2_X3b_1,18640.2,2661,2316.6,492,182.4,10940.2,7517.6
116,b5_r1_n5_E2_X3c_1_5,18625.8,2666,2319.3,492,182.5,10917.5,7525.8
146,b5_r1_n6_E2_X3c_1_5,13348.0,1417,1352.0,219,88.8,7515.2,5744.0
145,b5_r1_n6_E2_X3c_1_3,13342.0,1417,1358.8,219,88.8,7509.2,5744.0
139,b5_r1_n6_E2_X3b_1,13337.4,1416,1352.0,219,88.7,7504.7,5744.0
169,b5_r1_n8_E2_X3b_1,7966.5,536,505.3,58,26.8,4397.7,3542.0
175,b5_r1_n8_E2_X3c_1_3,7966.5,536,505.3,58,26.8,4397.7,3542.0
176,b5_r1_n8_E2_X3c_1_5,7966.5,536,505.3,58,26.8,4397.7,3542.0
178,b5_r1_n8_E2_X3c_2_5,5694.7,532,344.5,56,1.6,3175.2,2517.9
177,b5_r1_n8_E2_X3c_2_3,5679.8,532,331.2,57,1.6,3188.4,2489.8
170,b5_r1_n8_E2_X3b_2,5645.3,532,335.9,56,1.6,3163.9,2479.8
2018,b20_r3_n3_E1_X7_5,5390.6,219,1365.8,80,972.3,2723.3,1695.0
2048,b20_r3_n4_E1_X7_5,4905.0,211,1027.1,76,1052.9,2549.8,1302.3
2047,b20_r3_n4_E1_X7_3,4529.8,231,977.6,80,712.7,2822.9,994.2
2078,b20_r3_n5_E1_X7_5,4215.6,199,954.9,70,1130.6,1805.6,1279.4
2077,b20_r3_n5_E1_X7_3,3998.1,218,837.7,74,853.5,2608.0,536.6
2017,b20_r3_n3_E1_X7_3,3996.5,245,903.1,88,632.1,2253.0,1111.4
1817,b20_r2_n2_E2_X1_8,3988.7,304,-160.0,104,399.2,2721.9,867.6
2019,b20_r3_n3_E1_X7_8,3322.5,220,676.5,76,769.3,1981.6,571.6
2079,b20_r3_n5_E1_X7_8,2981.4,206,825.7,67,769.3,1672.7,539.4
2049,b20_r3_n4_E1_X7_8,2593.3,215,306.9,75,769.3,1683.9,140.1
2071,b20_r3_n5_E1_X1_5,2394.0,407,-965.7,101,142.5,1279.8,971.7
2439,b30_r2_n5_E1_X7_8,2392.3,143,29.0,46,573.8,1680.3,138.2
2497,b30_r2_n8_E1_X7_3,2199.9,55,-893.7,18,256.8,1209.2,733.9
1607,b15_r3_n8_E2_X1_8,2134.9,251,674.6,59,77.4,451.1,1606.4
2377,b30_r2_n3_E1_X7_3,2085.2,209,1461.7,66,492.8,1518.6,73.8
2282,b30_r1_n6_E1_X1_8,2079.2,59,537.9,13,346.9,228.1,1504.2
1547,b15_r3_n5_E2_X1_8,1935.5,402,475.4,106,148.2,1224.9,562.4
2252,b30_r1_n5_E1_X1_8,1818.2,96,1091.7,26,572.9,1101.2,144.1
2087,b20_r3_n5_E2_X1_8,1791.6,226,-1248.3,63,334.9,1061.2,395.5
1944,b20_r2_n6_E2_X7_8,1741.3,162,249.4,48,56.2,882.1,803.0
2041,b20_r3_n4_E1_X1_5,1693.9,446,-811.3,119,115.5,1206.9,371.5
1846,b20_r2_n3_E2_X1_5,1677.0,416,-1482.7,122,489.9,790.8,396.3
2174,b30_r1_n2_E1_X3c_3_5,1645.9,619,963.5,178,321.9,649.9,674.1
2168,b30_r1_n2_E1_X7_5,1644.3,570,1202.1,172,265.8,340.1,1038.4
1374,b15_r2_n5_E2_X7_8,1510.6,398,807.0,97,457.9,511.3,541.4
2259,b30_r1_n5_E1_X7_8,1506.7,112,969.1,29,303.7,842.3,360.7
2123,b20_r3_n6_E2_X7_5,1446.7,155,-368.5,48,44.7,1134.6,267.4
1876,b20_r2_n4_E2_X1_5,1401.7,350,-623.4,96,259.7,305.9,836.1
2199,b30_r1_n3_E1_X7_8,1392.1,411,942.7,107,243.7,756.6,391.8
2289,b30_r1_n6_E1_X7_8,1378.8,59,1019.3,13,69.2,935.2,374.4
1943,b20_r2_n6_E2_X7_5,1351.8,164,193.6,48,195.4,344.4,812.0
2239,b30_r1_n4_E2_X3b_1,1248.0,133,-238.8,42,159.2,655.9,432.9
2512,b30_r2_n8_E2_X7_3,1234.8,38,-985.9,15,258.5,831.7,144.6
1426,b15_r2_n8_E2_X1_5,1201.3,172,36.4,43,226.9,920.2,54.2
1344,b15_r2_n4_E2_X7_8,1193.8,512,13.4,136,293.6,824.1,76.1
2499,b30_r2_n8_E1_X7_8,1192.7,56,-395.9,17,108.9,358.4,725.4
2402,b30_r2_n4_E1_X1_8,1184.7,156,3184.1,44,205.8,824.8,154.1
2573,b30_r3_n3_E2_X7_5,1168.1,91,188.2,39,469.2,252.5,446.4
1567,b15_r3_n6_E1_X7_3,1134.2,372,200.7,109,155.2,361.1,617.9
1948,b20_r2_n6_E2_X3c_2_5,1115.3,207,293.5,53,347.0,581.9,186.4
1947,b20_r2_n6_E2_X3c_2_3,1115.3,207,293.5,53,347.0,581.9,186.4
1949,b20_r2_n6_E2_X3c_3_5,1095.1,179,194.1,49,66.0,751.8,277.3
2543,b30_r3_n2_E2_X7_5,1078.0,92,188.2,39,379.1,252.5,446.4
2245,b30_r1_n4_E2_X3c_1_3,1027.8,135,-238.8,42,159.2,435.7,432.9
2246,b30_r1_n4_E2_X3c_1_5,1027.8,135,-238.8,42,159.2,435.7,432.9
2514,b30_r2_n8_E2_X7_8,1012.6,38,-959.3,15,71.0,460.4,481.2
2687,b30_r3_n8_E2_X1_8,1007.1,65,-108.8,15,107.6,11.1,888.4
2686,b30_r3_n8_E2_X1_5,999.4,72,-197.4,17,18.6,595.2,385.6
1940,b20_r2_n6_E2_X3b_2,971.8,204,293.5,53,347.0,530.9,93.9
2114,b20_r3_n6_E1_X3c_3_5,971.0,406,-888.1,95,72.4,805.6,93.0
2274,b30_r1_n5_E2_X7_8,930.7,52,540.1,21,78.2,836.8,15.7
1373,b15_r2_n5_E2_X7_5,919.5,403,249.5,94,235.8,436.2,247.5
2271,b30_r1_n5_E2_X3b_3,891.4,53,54.4,21,142.6,273.2,475.6
1941,b20_r2_n6_E2_X3b_3,883.7,176,194.1,49,66.0,737.1,80.6
2425,b30_r2_n4_E2_X3c_1_3,862.8,237,-266.7,61,53.4,402.0,407.4
2419,b30_r2_n4_E2_X3b_1,862.8,237,-266.7,61,53.4,402.0,407.4
2426,b30_r2_n4_E2_X3c_1_5,862.8,237,-266.7,61,53.4,402.0,407.4
2276,b30_r1_n5_E2_X3c_1_5,843.4,59,-146.8,21,289.5,270.3,283.6
2269,b30_r1_n5_E2_X3b_1,843.4,59,-146.8,21,289.5,270.3,283.6
2275,b30_r1_n5_E2_X3c_1_3,843.4,59,-146.8,21,289.5,270.3,283.6
1438,b15_r2_n8_E2_X3c_2_5,836.5,174,21.4,43,71.1,317.7,447.7
1437,b15_r2_n8_E2_X3c_2_3,836.5,174,21.4,43,71.1,317.7,447.7
1430,b15_r2_n8_E2_X3b_2,836.5,174,21.4,43,71.1,317.7,447.7
1974,b20_r2_n8_E2_X7_8,793.6,78,166.5,20,284.3,464.0,45.3
1439,b15_r2_n8_E2_X3c_3_5,767.7,163,0.9,41,56.6,384.2,326.9
1431,b15_r2_n8_E2_X3b_3,754.2,163,0.9,41,56.6,370.7,326.9
2286,b30_r1_n6_E1_X3b_3,718.2,60,387.6,14,40.7,213.7,463.8
1761,b20_r1_n6_E2_X3b_3,694.1,60,399.6,19,222.3,217.7,254.1
2560,b30_r3_n3_E1_X3c_1_3,638.8,437,95.2,111,42.9,337.8,258.1
2561,b30_r3_n3_E1_X3c_1_5,638.8,437,95.2,111,42.9,337.8,258.1
2554,b30_r3_n3_E1_X3b_1,638.8,437,95.2,111,42.9,337.8,258.1
2531,b30_r3_n2_E1_X3c_1_5,638.1,438,95.2,111,42.2,337.8,258.1
2530,b30_r3_n2_E1_X3c_1_3,638.1,438,95.2,111,42.2,337.8,258.1
2524,b30_r3_n2_E1_X3b_1,638.1,438,95.2,111,42.2,337.8,258.1
1416,b15_r2_n8_E1_X3b_3,619.7,265,50.7,61,221.3,216.2,182.2
1756,b20_r1_n6_E2_X1_5,608.5,59,105.8,18,360.8,197.3,50.4
998,b10_r3_n5_E1_X7_5,581.6,876,-1043.5,289,452.3,93.3,36.0
2256,b30_r1_n5_E1_X3b_3,575.2,114,826.3,31,249.8,15.3,310.1
1424,b15_r2_n8_E1_X3c_3_5,526.2,265,28.7,61,221.3,122.7,182.2
1769,b20_r1_n6_E2_X3c_3_5,501.8,61,262.6,19,260.0,125.2,116.6
2513,b30_r2_n8_E2_X7_5,489.0,38,-929.8,15,257.8,53.5,177.7
2357,b30_r2_n2_E2_X1_8,428.2,148,13.0,49,331.2,60.3,36.7
1767,b20_r1_n6_E2_X3c_2_3,420.7,62,257.0,19,222.7,161.4,36.6
1768,b20_r1_n6_E2_X3c_2_5,353.1,62,328.3,19,222.7,118.4,12.0
2238,b30_r1_n4_E2_X2,349.7,134,-294.5,42,167.2,19.8,162.7
1762,b20_r1_n6_E2_X7_3,348.5,60,135.8,19,128.0,56.3,164.2
2306,b30_r1_n6_E2_X3c_1_5,338.2,31,-119.2,8,114.3,125.0,98.9
2299,b30_r1_n6_E2_X3b_1,338.2,31,-119.2,8,114.3,125.0,98.9
2305,b30_r1_n6_E2_X3c_1_3,338.2,31,-119.2,8,114.3,125.0,98.9
1760,b20_r1_n6_E2_X3b_2,329.7,62,338.6,19,222.7,95.0,12.0
1738,b20_r1_n5_E2_X3c_2_5,324.6,145,290.8,37,209.9,72.0,42.7
1868,b20_r2_n4_E1_X7_5,305.7,422,458.9,124,1.3,292.6,11.8
1370,b15_r2_n5_E2_X3b_2,290.9,624,73.5,134,90.2,104.1,96.6
1377,b15_r2_n5_E2_X3c_2_3,290.9,624,99.0,134,90.2,104.1,96.6
1378,b15_r2_n5_E2_X3c_2_5,290.9,624,99.0,134,90.2,104.1,96.6
