ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,oos_pnl,oos_ntrd,oos_pd,oos_pass
56,b5_r1_n3_E2_X3c_1_5,43209.3,12968,0.0,68.58,14764.2,4044,24.2,1
55,b5_r1_n3_E2_X3c_1_3,43190.7,12956,0.0,68.43,14726.8,4040,24.14,1
49,b5_r1_n3_E2_X3b_1,43070.8,12901,0.0,68.28,14631.5,4030,23.99,1
86,b5_r1_n4_E2_X3c_1_5,30445.9,6166,0.0,48.16,10302.4,1926,16.89,1
85,b5_r1_n4_E2_X3c_1_3,30435.1,6162,0.0,48.08,10288.1,1925,16.87,1
79,b5_r1_n4_E2_X3b_1,30416.7,6147,0.0,47.94,10292.5,1921,16.87,1
115,b5_r1_n5_E2_X3c_1_3,20185.7,2945,0.0,31.66,6762.8,911,11.09,1
109,b5_r1_n5_E2_X3b_1,20215.0,2941,0.0,31.73,6756.1,911,11.08,1
116,b5_r1_n5_E2_X3c_1_5,20166.8,2946,0.0,31.64,6756.1,911,11.08,1
94,b5_r1_n5_E1_X3b_1,18795.3,3641,0.0,29.25,6319.0,1064,10.36,1
101,b5_r1_n5_E1_X3c_1_5,18749.0,3646,0.0,29.08,6316.6,1064,10.36,1
100,b5_r1_n5_E1_X3c_1_3,18737.5,3644,0.0,29.18,6314.5,1064,10.35,1
319,b5_r2_n6_E2_X3b_1,17819.0,3413,0.0,27.66,5473.9,869,8.97,1
326,b5_r2_n6_E2_X3c_1_5,17841.6,3416,0.0,27.65,5473.0,869,8.97,1
325,b5_r2_n6_E2_X3c_1_3,17823.0,3415,0.0,27.6,5473.0,869,8.97,1
304,b5_r2_n6_E1_X3b_1,17687.2,5367,0.0,27.31,5450.0,1474,8.93,1
311,b5_r2_n6_E1_X3c_1_5,17690.4,5371,0.0,27.27,5283.4,1475,8.66,1
310,b5_r2_n6_E1_X3c_1_3,17695.5,5371,0.0,27.28,5265.6,1474,8.63,1
139,b5_r1_n6_E2_X3b_1,13350.2,1484,0.0,20.76,4347.6,458,7.13,1
145,b5_r1_n6_E2_X3c_1_3,13332.1,1487,0.0,20.74,4347.6,458,7.13,1
146,b5_r1_n6_E2_X3c_1_5,13339.8,1488,0.0,20.69,4347.6,458,7.13,1
124,b5_r1_n6_E1_X3b_1,12785.4,1712,0.0,19.68,4178.7,494,6.85,1
130,b5_r1_n6_E1_X3c_1_3,12758.8,1714,0.0,19.62,4178.7,494,6.85,1
131,b5_r1_n6_E1_X3c_1_5,12766.5,1715,0.0,19.6,4178.7,494,6.85,1
117,b5_r1_n5_E2_X3c_2_3,9773.0,2895,0.0,14.53,3118.0,901,5.11,1
118,b5_r1_n5_E2_X3c_2_5,9881.7,2894,0.0,14.6,3073.3,902,5.04,1
