ci,name,is_pnl,is_mean,is_ntrd,c0,c1,c2
56,b5_r1_n3_E2_X3c_1_5,43209.3,3.332,12968,927.8,26587.1,15694.4
55,b5_r1_n3_E2_X3c_1_3,43190.7,3.334,12956,919.6,26581.5,15689.6
49,b5_r1_n3_E2_X3b_1,43070.8,3.339,12901,892.3,26511.5,15667.0
86,b5_r1_n4_E2_X3c_1_5,30445.9,4.938,6166,1015.8,17832.4,11597.7
85,b5_r1_n4_E2_X3c_1_3,30435.1,4.939,6162,1013.1,17832.8,11589.2
79,b5_r1_n4_E2_X3b_1,30416.7,4.948,6147,1013.1,17807.7,11595.9
109,b5_r1_n5_E2_X3b_1,20215.0,6.874,2941,861.9,11254.2,8098.9
115,b5_r1_n5_E2_X3c_1_3,20185.7,6.854,2945,861.9,11248.5,8075.3
116,b5_r1_n5_E2_X3c_1_5,20166.8,6.845,2946,864.6,11240.9,8061.3
94,b5_r1_n5_E1_X3b_1,18795.3,5.162,3641,500.8,10714.8,7579.7
101,b5_r1_n5_E1_X3c_1_5,18749.0,5.142,3646,511.1,10712.8,7525.1
100,b5_r1_n5_E1_X3c_1_3,18737.5,5.142,3644,508.4,10695.6,7533.5
326,b5_r2_n6_E2_X3c_1_5,17841.6,5.223,3416,165.1,10507.4,7169.1
325,b5_r2_n6_E2_X3c_1_3,17823.0,5.219,3415,165.1,10488.8,7169.1
319,b5_r2_n6_E2_X3b_1,17819.0,5.221,3413,153.4,10496.5,7169.1
310,b5_r2_n6_E1_X3c_1_3,17695.5,3.295,5371,18.0,10450.3,7227.2
311,b5_r2_n6_E1_X3c_1_5,17690.4,3.294,5371,18.0,10445.2,7227.2
304,b5_r2_n6_E1_X3b_1,17687.2,3.296,5367,3.1,10473.5,7210.6
139,b5_r1_n6_E2_X3b_1,13350.2,8.996,1484,622.7,6981.0,5746.5
146,b5_r1_n6_E2_X3c_1_5,13339.8,8.965,1488,625.4,6967.1,5747.3
145,b5_r1_n6_E2_X3c_1_3,13332.1,8.966,1487,622.7,6971.3,5738.1
124,b5_r1_n6_E1_X3b_1,12785.4,7.468,1712,445.3,6799.2,5540.9
131,b5_r1_n6_E1_X3c_1_5,12766.5,7.444,1715,448.0,6776.6,5541.9
130,b5_r1_n6_E1_X3c_1_3,12758.8,7.444,1714,445.3,6780.8,5532.7
110,b5_r1_n5_E2_X3b_2,9961.4,3.475,2867,219.8,5526.3,4215.3
118,b5_r1_n5_E2_X3c_2_5,9881.7,3.415,2894,212.9,5578.8,4090.0
117,b5_r1_n5_E2_X3c_2_3,9773.0,3.376,2895,185.9,5479.4,4107.7
349,b5_r2_n8_E2_X3b_1,9332.1,7.562,1234,61.7,4922.5,4347.9
355,b5_r2_n8_E2_X3c_1_3,9319.3,7.546,1235,61.7,4909.7,4347.9
356,b5_r2_n8_E2_X3c_1_5,9319.3,7.546,1235,61.7,4909.7,4347.9
140,b5_r1_n6_E2_X3b_2,7691.6,5.25,1465,262.4,3842.9,3586.3
148,b5_r1_n6_E2_X3c_2_5,7601.7,5.161,1473,235.8,3828.9,3537.0
147,b5_r1_n6_E2_X3c_2_3,7566.1,5.14,1472,251.0,3779.9,3535.2
125,b5_r1_n6_E1_X3b_2,7002.4,4.153,1686,71.7,3688.0,3242.7
132,b5_r1_n6_E1_X3c_2_3,6987.3,4.127,1693,64.4,3655.2,3267.7
133,b5_r1_n6_E1_X3c_2_5,6923.0,4.089,1693,59.7,3680.5,3182.8
169,b5_r1_n8_E2_X3b_1,6674.3,12.935,516,218.2,3169.7,3286.4
175,b5_r1_n8_E2_X3c_1_3,6655.1,12.848,518,218.2,3147.6,3289.3
176,b5_r1_n8_E2_X3c_1_5,6652.2,12.842,518,218.2,3147.6,3286.4
154,b5_r1_n8_E1_X3b_1,6488.3,11.949,543,169.9,3104.4,3214.0
160,b5_r1_n8_E1_X3c_1_3,6469.1,11.87,545,169.9,3082.3,3216.9
161,b5_r1_n8_E1_X3c_1_5,6466.2,11.865,545,169.9,3082.3,3214.0
2347,b30_r2_n2_E1_X7_3,6166.4,26.928,229,964.7,2841.5,2360.2
358,b5_r2_n8_E2_X3c_2_5,5388.7,4.388,1228,43.6,2604.4,2740.7
350,b5_r2_n8_E2_X3b_2,5375.1,4.388,1225,43.6,2622.6,2708.9
