ci,name,is_pnl,is_ntrd,mc_pval,mc_p95,bootstrap_p5,passed_mc
56,b5_r1_n3_E2_X3c_1_5,43209.3,12968,0.0,1511.5,68.58,1
55,b5_r1_n3_E2_X3c_1_3,43190.7,12956,0.0,1520.2,68.43,1
49,b5_r1_n3_E2_X3b_1,43070.8,12901,0.0,1533.1,68.28,1
86,b5_r1_n4_E2_X3c_1_5,30445.9,6166,0.0,1317.2,48.16,1
85,b5_r1_n4_E2_X3c_1_3,30435.1,6162,0.0,1222.5,48.08,1
79,b5_r1_n4_E2_X3b_1,30416.7,6147,0.0,1293.4,47.94,1
109,b5_r1_n5_E2_X3b_1,20215.0,2941,0.0,1094.5,31.73,1
115,b5_r1_n5_E2_X3c_1_3,20185.7,2945,0.0,1045.5,31.66,1
116,b5_r1_n5_E2_X3c_1_5,20166.8,2946,0.0,1039.0,31.64,1
94,b5_r1_n5_E1_X3b_1,18795.3,3641,0.0,1057.2,29.25,1
100,b5_r1_n5_E1_X3c_1_3,18737.5,3644,0.0,1051.2,29.18,1
101,b5_r1_n5_E1_X3c_1_5,18749.0,3646,0.0,1067.7,29.08,1
319,b5_r2_n6_E2_X3b_1,17819.0,3413,0.0,1133.3,27.66,1
326,b5_r2_n6_E2_X3c_1_5,17841.6,3416,0.0,1088.4,27.65,1
325,b5_r2_n6_E2_X3c_1_3,17823.0,3415,0.0,1060.3,27.6,1
304,b5_r2_n6_E1_X3b_1,17687.2,5367,0.0,1088.9,27.31,1
310,b5_r2_n6_E1_X3c_1_3,17695.5,5371,0.0,1160.7,27.28,1
311,b5_r2_n6_E1_X3c_1_5,17690.4,5371,0.0,1164.3,27.27,1
139,b5_r1_n6_E2_X3b_1,13350.2,1484,0.0,868.0,20.76,1
145,b5_r1_n6_E2_X3c_1_3,13332.1,1487,0.0,899.8,20.74,1
146,b5_r1_n6_E2_X3c_1_5,13339.8,1488,0.0,933.7,20.69,1
124,b5_r1_n6_E1_X3b_1,12785.4,1712,0.0,922.5,19.68,1
130,b5_r1_n6_E1_X3c_1_3,12758.8,1714,0.0,909.6,19.62,1
131,b5_r1_n6_E1_X3c_1_5,12766.5,1715,0.0,938.4,19.6,1
110,b5_r1_n5_E2_X3b_2,9961.4,2867,0.0,979.2,14.69,1
118,b5_r1_n5_E2_X3c_2_5,9881.7,2894,0.0,1006.6,14.6,1
117,b5_r1_n5_E2_X3c_2_3,9773.0,2895,0.0,985.1,14.53,1
349,b5_r2_n8_E2_X3b_1,9332.1,1234,0.0,872.0,14.06,1
355,b5_r2_n8_E2_X3c_1_3,9319.3,1235,0.0,873.3,14.06,1
356,b5_r2_n8_E2_X3c_1_5,9319.3,1235,0.0,873.3,14.06,1
140,b5_r1_n6_E2_X3b_2,7691.6,1465,0.0,841.0,11.37,1
148,b5_r1_n6_E2_X3c_2_5,7601.7,1473,0.0,800.8,11.21,1
147,b5_r1_n6_E2_X3c_2_3,7566.1,1472,0.0,826.1,11.16,1
132,b5_r1_n6_E1_X3c_2_3,6987.3,1693,0.0,828.7,10.2,1
125,b5_r1_n6_E1_X3b_2,7002.4,1686,0.0,924.1,10.1,1
133,b5_r1_n6_E1_X3c_2_5,6923.0,1693,0.0,841.5,10.05,1
169,b5_r1_n8_E2_X3b_1,6674.3,516,0.0,690.5,10.05,1
175,b5_r1_n8_E2_X3c_1_3,6655.1,518,0.0,728.9,10.03,1
176,b5_r1_n8_E2_X3c_1_5,6652.2,518,0.0,730.8,10.03,1
160,b5_r1_n8_E1_X3c_1_3,6469.1,545,0.0,670.0,9.75,1
154,b5_r1_n8_E1_X3b_1,6488.3,543,0.0,724.7,9.74,1
161,b5_r1_n8_E1_X3c_1_5,6466.2,545,0.0,668.2,9.74,1
358,b5_r2_n8_E2_X3c_2_5,5388.7,1228,0.0,794.7,7.59,1
357,b5_r2_n8_E2_X3c_2_3,5356.9,1226,0.0,792.2,7.56,1
350,b5_r2_n8_E2_X3b_2,5375.1,1225,0.0,776.6,7.54,1
626,b10_r1_n4_E2_X3c_1_5,4833.5,1023,0.0,875.1,6.64,1
625,b10_r1_n4_E2_X3c_1_3,4783.9,1022,0.0,767.5,6.53,1
619,b10_r1_n4_E2_X3b_1,4775.1,1018,0.0,907.1,6.48,1
177,b5_r1_n8_E2_X3c_2_3,4434.8,516,0.0,622.4,6.42,1
170,b5_r1_n8_E2_X3b_2,4409.3,514,0.0,653.1,6.38,1
178,b5_r1_n8_E2_X3c_2_5,4395.1,516,0.0,627.3,6.35,1
162,b5_r1_n8_E1_X3c_2_3,4229.3,541,0.0,611.8,6.05,1
155,b5_r1_n8_E1_X3b_2,4192.5,539,0.0,667.6,6.02,1
163,b5_r1_n8_E1_X3c_2_5,4169.9,541,0.0,597.9,5.96,1
655,b10_r1_n5_E2_X3c_1_3,3345.1,438,0.0,678.1,4.51,1
656,b10_r1_n5_E2_X3c_1_5,3332.3,439,0.0,691.9,4.45,1
649,b10_r1_n5_E2_X3b_1,3318.1,435,0.0,697.8,4.38,1
149,b5_r1_n6_E2_X3c_3_5,3431.3,1425,0.0,820.7,4.27,1
141,b5_r1_n6_E2_X3b_3,3458.4,1408,0.0,898.3,4.21,1
179,b5_r1_n8_E2_X3c_3_5,2656.1,506,0.0,579.8,3.48,1
2347,b30_r2_n2_E1_X7_3,6166.4,229,0.007,4276.1,3.43,1
171,b5_r1_n8_E2_X3b_3,2580.7,504,0.0,590.9,3.37,1
126,b5_r1_n6_E1_X3b_3,2993.6,1618,0.0,992.5,3.26,1
164,b5_r1_n8_E1_X3c_3_5,2366.2,529,0.0,576.0,2.94,1
156,b5_r1_n8_E1_X3b_3,2325.4,527,0.0,590.6,2.87,1
359,b5_r2_n8_E2_X3c_3_5,2497.5,1204,0.0,882.5,2.73,1
351,b5_r2_n8_E2_X3b_3,2491.3,1199,0.0,861.4,2.68,1
679,b10_r1_n6_E2_X3b_1,1987.2,206,0.0,532.2,2.51,1
685,b10_r1_n6_E2_X3c_1_3,1987.2,206,0.0,532.2,2.51,1
686,b10_r1_n6_E2_X3c_1_5,1987.2,206,0.0,532.2,2.51,1
2407,b30_r2_n4_E1_X7_3,5036.3,190,0.016,4029.9,1.82,1
650,b10_r1_n5_E2_X3b_2,1783.4,425,0.0,785.2,1.68,1
680,b10_r1_n6_E2_X3b_2,1507.5,202,0.0,632.3,1.56,1
689,b10_r1_n6_E2_X3c_3_5,1641.4,197,0.0,813.2,1.5,1
687,b10_r1_n6_E2_X3c_2_3,1438.2,202,0.0,590.8,1.47,1
688,b10_r1_n6_E2_X3c_2_5,1400.2,202,0.0,603.9,1.41,1
716,b10_r1_n8_E2_X3c_1_5,1129.5,66,0.0,415.7,1.35,1
709,b10_r1_n8_E2_X3b_1,1129.5,66,0.0,415.7,1.35,1
715,b10_r1_n8_E2_X3c_1_3,1129.5,66,0.0,415.7,1.35,1
2409,b30_r2_n4_E1_X7_8,4596.6,186,0.033,4107.6,1.22,1
2211,b30_r1_n3_E2_X3b_3,3554.5,205,0.023,2803.9,1.19,1
1195,b15_r1_n5_E2_X3c_1_3,1314.4,243,0.001,675.6,1.09,1
1227,b15_r1_n6_E2_X3c_2_3,1357.6,106,0.001,763.4,1.08,1
1189,b15_r1_n5_E2_X3b_1,1291.1,243,0.001,671.9,1.07,1
1196,b15_r1_n5_E2_X3c_1_5,1291.1,243,0.001,671.9,1.07,1
681,b10_r1_n6_E2_X3b_3,1337.7,197,0.002,817.7,1.04,1
1197,b15_r1_n5_E2_X3c_2_3,1482.5,232,0.009,938.2,0.86,1
1165,b15_r1_n4_E2_X3c_1_3,1355.5,502,0.007,851.6,0.85,1
1228,b15_r1_n6_E2_X3c_2_5,1216.3,106,0.003,755.4,0.85,1
1220,b15_r1_n6_E2_X3b_2,1208.8,106,0.003,753.9,0.83,1
1166,b15_r1_n4_E2_X3c_1_5,1332.2,502,0.007,851.2,0.82,1
1159,b15_r1_n4_E2_X3b_1,1332.2,502,0.007,851.2,0.82,1
1135,b15_r1_n3_E2_X3c_1_3,1716.6,1067,0.014,1306.0,0.8,1
1225,b15_r1_n6_E2_X3c_1_3,975.4,110,0.0,524.6,0.79,1
1817,b20_r2_n2_E2_X1_8,4158.8,378,0.033,3739.6,0.78,1
1136,b15_r1_n3_E2_X3c_1_5,1693.3,1067,0.014,1305.7,0.78,1
1129,b15_r1_n3_E2_X3b_1,1691.1,1067,0.015,1303.5,0.78,1
