ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
115,b5_r1_n5_E2_X3c_1_3,1151.0,349,0.0,1.89,1,308.2,117,0.72,1
116,b5_r1_n5_E2_X3c_1_5,1151.0,349,0.0,1.89,1,308.2,117,0.72,1
109,b5_r1_n5_E2_X3b_1,1228.2,349,0.0,1.91,1,308.2,117,0.72,1
139,b5_r1_n6_E2_X3b_1,879.9,147,0.0,1.15,1,188.2,50,0.44,1
146,b5_r1_n6_E2_X3c_1_5,802.7,147,0.0,1.15,1,188.2,50,0.44,1
145,b5_r1_n6_E2_X3c_1_3,802.7,147,0.0,1.15,1,188.2,50,0.44,1
117,b5_r1_n5_E2_X3c_2_3,591.7,337,0.003,0.51,1,114.0,114,0.27,1
118,b5_r1_n5_E2_X3c_2_5,614.0,337,0.004,0.5,1,112.0,114,0.26,1
110,b5_r1_n5_E2_X3b_2,646.1,337,0.004,0.47,1,97.1,113,0.23,1
176,b5_r1_n8_E2_X3c_1_5,385.2,42,0.0,0.61,1,96.3,13,0.23,1
175,b5_r1_n8_E2_X3c_1_3,385.2,42,0.0,0.61,1,96.3,13,0.23,1
169,b5_r1_n8_E2_X3b_1,385.2,42,0.0,0.61,1,96.3,13,0.23,1
178,b5_r1_n8_E2_X3c_2_5,221.1,41,0.002,0.24,1,89.8,13,0.21,1
177,b5_r1_n8_E2_X3c_2_3,216.5,41,0.003,0.24,1,87.3,13,0.2,1
170,b5_r1_n8_E2_X3b_2,222.1,41,0.002,0.25,1,80.8,13,0.19,1
1546,b15_r3_n5_E2_X1_5,1049.0,111,0.049,-0.07,1,36.2,25,0.08,1
1876,b20_r2_n4_E2_X1_5,1372.0,71,0.024,0.91,1,26.1,20,0.06,1
1576,b15_r3_n6_E2_X1_5,1192.5,95,0.023,0.58,1,8.6,23,0.02,1
1427,b15_r2_n8_E2_X1_8,1207.0,33,0.019,1.13,1,-10.4,6,-0.02,0
1712,b20_r1_n5_E1_X1_8,1591.0,42,0.034,0.91,1,-12.5,9,-0.03,0
1202,b15_r1_n6_E1_X1_8,1727.1,45,0.005,1.93,1,-12.6,9,-0.03,0
2205,b30_r1_n3_E2_X1_3,993.1,52,0.048,0.22,1,-45.4,8,-0.11,0
1412,b15_r2_n8_E1_X1_8,1157.2,54,0.043,0.17,1,-73.6,10,-0.17,0
1861,b20_r2_n4_E1_X1_5,1468.2,98,0.038,0.42,1,-77.1,32,-0.18,0
2071,b20_r3_n5_E1_X1_5,1299.2,80,0.04,0.39,1,-129.4,20,-0.3,0
2041,b20_r3_n4_E1_X1_5,1541.7,89,0.027,0.65,1,-153.8,23,-0.36,0
1860,b20_r2_n4_E1_X1_3,1118.5,141,0.034,0.3,1,-235.4,46,-0.55,0
1831,b20_r2_n3_E1_X1_5,1609.2,106,0.028,0.43,1,-261.2,35,-0.61,0
1891,b20_r2_n5_E1_X1_5,1298.0,80,0.045,0.41,1,-268.5,25,-0.63,0
1172,b15_r1_n5_E1_X1_8,2325.2,73,0.002,2.54,1,-319.7,14,-0.75,0
1532,b15_r3_n5_E1_X1_8,1763.6,97,0.038,0.76,1,-336.7,26,-0.79,0
1187,b15_r1_n5_E2_X1_8,1071.4,41,0.047,0.4,1,-378.2,12,-0.89,0
1112,b15_r1_n3_E1_X1_8,2131.6,123,0.021,0.79,1,-537.5,26,-1.26,0
1682,b20_r1_n4_E1_X1_8,2368.5,56,0.003,2.17,1,-899.3,14,-2.11,0
