ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
1682,b20_r1_n4_E1_X1_8,2368.5,56,-899.3,14,449.3,1549.4,369.8
1172,b15_r1_n5_E1_X1_8,2325.2,73,-319.7,14,489.5,1250.5,585.2
1112,b15_r1_n3_E1_X1_8,2131.6,123,-537.5,26,999.1,974.5,158.0
1532,b15_r3_n5_E1_X1_8,1763.6,97,-336.7,26,791.5,695.9,276.2
1202,b15_r1_n6_E1_X1_8,1727.1,45,-12.6,9,566.2,1045.9,115.0
1082,b15_r1_n2_E1_X1_8,1627.3,131,-358.0,26,808.6,660.9,157.8
1831,b20_r2_n3_E1_X1_5,1609.2,106,-261.2,35,484.2,570.3,554.7
1712,b20_r1_n5_E1_X1_8,1591.0,42,-12.5,9,454.2,685.4,451.4
2041,b20_r3_n4_E1_X1_5,1541.7,89,-153.8,23,578.6,739.7,223.4
1801,b20_r2_n2_E1_X1_5,1492.7,113,-261.2,35,361.3,736.8,394.6
1562,b15_r3_n6_E1_X1_8,1476.8,90,-393.9,24,492.7,765.2,218.9
1861,b20_r2_n4_E1_X1_5,1468.2,98,-77.1,32,589.2,521.6,357.4
1876,b20_r2_n4_E2_X1_5,1372.0,71,26.1,20,184.2,1064.6,123.2
1652,b20_r1_n3_E1_X1_8,1320.4,72,-509.6,18,680.6,96.3,543.5
2071,b20_r3_n5_E1_X1_5,1299.2,80,-129.4,20,800.0,374.2,125.0
1891,b20_r2_n5_E1_X1_5,1298.0,80,-268.5,25,638.5,401.0,258.5
2221,b30_r1_n4_E1_X1_5,1269.6,49,-194.1,10,64.7,794.5,410.4
1292,b15_r2_n3_E1_X1_8,1233.9,117,-51.0,30,523.4,192.4,518.1
109,b5_r1_n5_E2_X3b_1,1228.2,349,308.2,117,213.7,938.9,75.6
1427,b15_r2_n8_E2_X1_8,1207.0,33,-10.4,6,767.8,211.1,228.1
1892,b20_r2_n5_E1_X1_8,1199.4,50,-584.0,16,297.3,676.1,226.0
1576,b15_r3_n6_E2_X1_5,1192.5,95,8.6,23,913.5,114.6,164.4
1412,b15_r2_n8_E1_X1_8,1157.2,54,-73.6,10,802.8,8.2,346.2
115,b5_r1_n5_E2_X3c_1_3,1151.0,349,308.2,117,213.7,861.7,75.6
116,b5_r1_n5_E2_X3c_1_5,1151.0,349,308.2,117,213.7,861.7,75.6
1860,b20_r2_n4_E1_X1_3,1118.5,141,-235.4,46,644.9,165.5,308.1
2370,b30_r2_n3_E1_X1_3,1103.3,94,-289.4,24,65.0,848.1,190.2
2101,b20_r3_n6_E1_X1_5,1089.9,73,-166.5,18,664.1,399.4,26.4
1187,b15_r1_n5_E2_X1_8,1071.4,41,-378.2,12,89.5,687.6,294.3
1546,b15_r3_n5_E2_X1_5,1049.0,111,36.2,25,894.1,9.6,145.3
1922,b20_r2_n6_E1_X1_8,1044.2,46,-421.3,14,138.9,358.1,547.2
2205,b30_r1_n3_E2_X1_3,993.1,52,-45.4,8,211.1,550.2,231.8
1322,b15_r2_n4_E1_X1_8,949.2,110,190.1,29,349.7,20.1,579.4
1592,b15_r3_n8_E1_X1_8,898.7,76,-588.8,21,502.1,172.7,223.9
1921,b20_r2_n6_E1_X1_5,880.7,66,-540.0,19,601.4,156.5,122.8
139,b5_r1_n6_E2_X3b_1,879.9,147,188.2,50,168.8,665.8,45.3
145,b5_r1_n6_E2_X3c_1_3,802.7,147,188.2,50,168.8,588.6,45.3
146,b5_r1_n6_E2_X3c_1_5,802.7,147,188.2,50,168.8,588.6,45.3
1502,b15_r3_n4_E1_X1_8,780.6,104,-218.0,27,482.5,83.2,214.9
1442,b15_r3_n2_E1_X1_8,770.3,107,-340.5,29,302.3,253.1,214.9
1472,b15_r3_n3_E1_X1_8,770.3,107,-340.5,29,302.3,253.1,214.9
1067,b10_r3_n8_E2_X1_8,718.4,101,43.7,25,349.4,310.2,58.8
1809,b20_r2_n2_E1_X7_8,670.9,82,-310.7,24,391.7,180.1,99.1
1367,b15_r2_n5_E2_X1_8,654.3,77,-83.8,16,204.0,113.0,337.3
110,b5_r1_n5_E2_X3b_2,646.1,337,97.1,113,209.7,411.4,25.0
2202,b30_r1_n3_E1_X3c_2_3,633.5,85,-299.0,24,152.1,406.5,74.9
118,b5_r1_n5_E2_X3c_2_5,614.0,337,112.0,114,220.6,345.4,48.0
2203,b30_r1_n3_E1_X3c_2_5,599.0,84,-282.6,23,214.2,310.7,74.1
616,b10_r1_n4_E2_X1_5,593.2,188,-220.4,55,50.9,271.5,270.8
117,b5_r1_n5_E2_X3c_2_3,591.7,337,114.0,114,221.8,308.7,61.2
2430,b30_r2_n5_E1_X1_3,572.0,54,-90.3,11,176.5,286.8,108.7
