ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
1682,b20_r1_n4_E1_X1_8,2368.5,56,0.003,2.17,1,-899.3,14
1172,b15_r1_n5_E1_X1_8,2325.2,73,0.002,2.54,1,-319.7,14
1112,b15_r1_n3_E1_X1_8,2131.6,123,0.021,0.79,1,-537.5,26
1532,b15_r3_n5_E1_X1_8,1763.6,97,0.038,0.76,1,-336.7,26
1202,b15_r1_n6_E1_X1_8,1727.1,45,0.005,1.93,1,-12.6,9
1082,b15_r1_n2_E1_X1_8,1627.3,131,0.06,0.01,0,-358.0,26
1831,b20_r2_n3_E1_X1_5,1609.2,106,0.028,0.43,1,-261.2,35
1712,b20_r1_n5_E1_X1_8,1591.0,42,0.034,0.91,1,-12.5,9
2041,b20_r3_n4_E1_X1_5,1541.7,89,0.027,0.65,1,-153.8,23
1801,b20_r2_n2_E1_X1_5,1492.7,113,0.051,0.11,0,-261.2,35
1562,b15_r3_n6_E1_X1_8,1476.8,90,0.051,0.09,0,-393.9,24
1861,b20_r2_n4_E1_X1_5,1468.2,98,0.038,0.42,1,-77.1,32
1876,b20_r2_n4_E2_X1_5,1372.0,71,0.024,0.91,1,26.1,20
1652,b20_r1_n3_E1_X1_8,1320.4,72,0.113,-0.84,0,-509.6,18
2071,b20_r3_n5_E1_X1_5,1299.2,80,0.04,0.39,1,-129.4,20
1891,b20_r2_n5_E1_X1_5,1298.0,80,0.045,0.41,1,-268.5,25
2221,b30_r1_n4_E1_X1_5,1269.6,49,0.083,-0.39,0,-194.1,10
1292,b15_r2_n3_E1_X1_8,1233.9,117,0.109,-0.88,0,-51.0,30
109,b5_r1_n5_E2_X3b_1,1228.2,349,0.0,1.91,1,308.2,117
1427,b15_r2_n8_E2_X1_8,1207.0,33,0.019,1.13,1,-10.4,6
1892,b20_r2_n5_E1_X1_8,1199.4,50,0.084,-0.57,0,-584.0,16
1576,b15_r3_n6_E2_X1_5,1192.5,95,0.023,0.58,1,8.6,23
1412,b15_r2_n8_E1_X1_8,1157.2,54,0.043,0.17,1,-73.6,10
115,b5_r1_n5_E2_X3c_1_3,1151.0,349,0.0,1.89,1,308.2,117
116,b5_r1_n5_E2_X3c_1_5,1151.0,349,0.0,1.89,1,308.2,117
1860,b20_r2_n4_E1_X1_3,1118.5,141,0.034,0.3,1,-235.4,46
2370,b30_r2_n3_E1_X1_3,1103.3,94,0.073,-0.23,0,-289.4,24
2101,b20_r3_n6_E1_X1_5,1089.9,73,0.061,-0.07,0,-166.5,18
1187,b15_r1_n5_E2_X1_8,1071.4,41,0.047,0.4,1,-378.2,12
1546,b15_r3_n5_E2_X1_5,1049.0,111,0.049,-0.07,1,36.2,25
1922,b20_r2_n6_E1_X1_8,1044.2,46,0.123,-0.93,0,-421.3,14
2205,b30_r1_n3_E2_X1_3,993.1,52,0.048,0.22,1,-45.4,8
1322,b15_r2_n4_E1_X1_8,949.2,110,0.17,-1.17,0,190.1,29
1592,b15_r3_n8_E1_X1_8,898.7,76,0.126,-0.85,0,-588.8,21
1921,b20_r2_n6_E1_X1_5,880.7,66,0.094,-0.54,0,-540.0,19
139,b5_r1_n6_E2_X3b_1,879.9,147,0.0,1.15,1,188.2,50
145,b5_r1_n6_E2_X3c_1_3,802.7,147,0.0,1.15,1,188.2,50
146,b5_r1_n6_E2_X3c_1_5,802.7,147,0.0,1.15,1,188.2,50
1502,b15_r3_n4_E1_X1_8,780.6,104,0.204,-1.54,0,-218.0,27
1442,b15_r3_n2_E1_X1_8,770.3,107,0.191,-1.97,0,-340.5,29
1472,b15_r3_n3_E1_X1_8,770.3,107,0.191,-1.97,0,-340.5,29
1067,b10_r3_n8_E2_X1_8,718.4,101,0.106,-0.58,0,43.7,25
1809,b20_r2_n2_E1_X7_8,670.9,82,0.255,-1.55,0,-310.7,24
1367,b15_r2_n5_E2_X1_8,654.3,77,0.21,-1.42,0,-83.8,16
110,b5_r1_n5_E2_X3b_2,646.1,337,0.004,0.47,1,97.1,113
2202,b30_r1_n3_E1_X3c_2_3,633.5,85,0.123,-0.6,0,-299.0,24
118,b5_r1_n5_E2_X3c_2_5,614.0,337,0.004,0.5,1,112.0,114
2203,b30_r1_n3_E1_X3c_2_5,599.0,84,0.149,-0.78,0,-282.6,23
616,b10_r1_n4_E2_X1_5,593.2,188,0.148,-0.64,0,-220.4,55
117,b5_r1_n5_E2_X3c_2_3,591.7,337,0.003,0.51,1,114.0,114
2430,b30_r2_n5_E1_X1_3,572.0,54,0.167,-0.77,0,-90.3,11
1336,b15_r2_n4_E2_X1_5,567.5,129,0.21,-1.24,0,189.8,32
1869,b20_r2_n4_E1_X7_8,562.6,71,0.276,-1.77,0,-267.6,24
651,b10_r1_n5_E2_X3b_3,548.2,91,0.092,-0.22,0,-156.7,32
2400,b30_r2_n4_E1_X1_3,535.8,74,0.199,-1.21,0,-220.8,18
2460,b30_r2_n6_E1_X1_3,515.6,33,0.13,-0.54,0,43.3,9
1397,b15_r2_n6_E2_X1_8,502.1,59,0.218,-1.35,0,-136.9,11
1846,b20_r2_n3_E2_X1_5,483.5,83,0.244,-1.51,0,30.8,20
2195,b30_r1_n3_E1_X3b_2,479.8,84,0.205,-1.07,0,96.5,19
1194,b15_r1_n5_E2_X7_8,472.5,44,0.106,-0.3,0,-322.5,14
636,b10_r1_n5_E1_X3b_3,450.3,186,0.188,-0.9,0,-243.8,64
1191,b15_r1_n5_E2_X3b_3,425.3,44,0.136,-0.44,0,-187.5,14
113,b5_r1_n5_E2_X7_5,424.5,302,0.111,-0.3,0,74.4,107
1352,b15_r2_n5_E1_X1_8,423.6,104,0.333,-2.38,0,138.1,27
646,b10_r1_n5_E2_X1_5,414.8,95,0.139,-0.53,0,-147.4,30
175,b5_r1_n8_E2_X3c_1_3,385.2,42,0.0,0.61,1,96.3,13
176,b5_r1_n8_E2_X3c_1_5,385.2,42,0.0,0.61,1,96.3,13
169,b5_r1_n8_E2_X3b_1,385.2,42,0.0,0.61,1,96.3,13
848,b10_r2_n6_E1_X7_5,380.3,205,0.322,-1.9,0,-235.7,53
1127,b15_r1_n3_E2_X1_8,368.4,96,0.322,-2.5,0,30.0,20
112,b5_r1_n5_E2_X7_3,364.4,301,0.159,-0.34,0,0.9,104
2235,b30_r1_n4_E2_X1_3,336.1,31,0.213,-0.96,0,50.6,4
1190,b15_r1_n5_E2_X3b_2,294.7,44,0.166,-0.4,0,-143.8,14
119,b5_r1_n5_E2_X3c_3_5,288.8,331,0.163,-0.32,0,10.9,113
872,b10_r2_n8_E1_X1_8,276.1,105,0.338,-1.6,0,-36.7,27
2175,b30_r1_n2_E2_X1_3,267.0,76,0.341,-1.83,0,-153.0,17
1197,b15_r1_n5_E2_X3c_2_3,251.5,44,0.183,-0.43,0,-143.8,14
1198,b15_r1_n5_E2_X3c_2_5,244.0,44,0.191,-0.45,0,-143.8,14
170,b5_r1_n8_E2_X3b_2,222.1,41,0.002,0.25,1,80.8,13
178,b5_r1_n8_E2_X3c_2_5,221.1,41,0.002,0.24,1,89.8,13
177,b5_r1_n8_E2_X3c_2_3,216.5,41,0.003,0.24,1,87.3,13
664,b10_r1_n6_E1_X3b_1,63.8,105,0.36,-0.37,0,-6.3,33
670,b10_r1_n6_E1_X3c_1_3,63.8,105,0.36,-0.37,0,-6.3,33
671,b10_r1_n6_E1_X3c_1_5,63.8,105,0.36,-0.37,0,-6.3,33
