ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
944,b5_r2_n3_E2_X3c_1_5,0,78083.6,20000,3621.5,67563.2,6898.9
940,b5_r2_n3_E2_X3c_1_3,0,77893.5,20000,3560.4,67403.6,6929.5
916,b5_r2_n3_E2_X3b_1,0,77582.0,20000,3477.6,66893.6,7210.8
1064,b5_r2_n4_E2_X3c_1_5,0,74578.4,13635,2918.3,44718.6,26941.5
1060,b5_r2_n4_E2_X3c_1_3,0,74541.8,13629,2916.9,44722.4,26902.5
1036,b5_r2_n4_E2_X3b_1,0,74400.6,13603,2898.3,44629.8,26872.5
224,b5_r1_n3_E2_X3c_1_5,0,66452.0,20000,4732.6,61647.5,71.9
220,b5_r1_n3_E2_X3c_1_3,0,66371.5,20000,4695.8,61560.0,115.7
196,b5_r1_n3_E2_X3b_1,0,65932.8,20000,4666.2,60327.3,939.3
344,b5_r1_n4_E2_X3c_1_5,0,64976.6,12081,2494.0,38789.9,23692.7
316,b5_r1_n4_E2_X3b_1,0,64860.5,12031,2508.5,38566.6,23785.4
340,b5_r1_n4_E2_X3c_1_3,0,64858.6,12079,2475.5,38756.3,23626.8
284,b5_r1_n4_E1_X3c_1_5,0,63729.9,12533,2359.3,38083.5,23287.1
280,b5_r1_n4_E1_X3c_1_3,0,63591.3,12531,2350.3,38050.4,23190.6
256,b5_r1_n4_E1_X3b_1,0,63488.3,12481,2353.8,37852.5,23282.0
1004,b5_r2_n4_E1_X3c_1_5,0,61561.6,20000,2848.5,42894.4,15818.7
1000,b5_r2_n4_E1_X3c_1_3,0,61469.2,20000,2812.0,42879.0,15778.2
976,b5_r2_n4_E1_X3b_1,0,61316.9,20000,2727.0,42588.0,16001.9
1844,b5_r3_n5_E1_X3c_1_5,0,60859.2,16424,1525.0,36599.3,22734.9
1840,b5_r3_n5_E1_X3c_1_3,0,60847.8,16421,1525.0,36574.0,22748.8
1816,b5_r3_n5_E1_X3b_1,0,60676.8,16412,1525.0,36429.0,22722.8
1784,b5_r3_n4_E2_X3c_1_5,0,60332.7,15907,515.6,38248.7,21568.4
1780,b5_r3_n4_E2_X3c_1_3,0,60289.6,15901,507.0,38200.7,21581.9
1756,b5_r3_n4_E2_X3b_1,0,59969.6,15883,491.3,38040.4,21437.9
1720,b5_r3_n4_E1_X3c_1_3,0,55069.4,20000,1236.6,48795.0,5037.8
1724,b5_r3_n4_E1_X3c_1_5,0,55047.0,20000,1236.6,48798.2,5012.2
1696,b5_r3_n4_E1_X3b_1,0,54752.0,20000,1200.1,48463.6,5088.3
1180,b5_r2_n5_E2_X3c_1_3,0,47289.7,6550,2080.0,27215.0,17994.7
1156,b5_r2_n5_E2_X3b_1,0,47276.6,6546,2080.0,27196.1,18000.5
1184,b5_r2_n5_E2_X3c_1_5,0,47274.1,6552,2080.0,27224.9,17969.2
2260,b10_r1_n2_E2_X3c_1_3,0,47243.9,13565,2238.3,27521.1,17484.5
1904,b5_r3_n5_E2_X3c_1_5,0,47036.3,9576,603.9,28844.7,17587.7
1900,b5_r3_n5_E2_X3c_1_3,0,47002.5,9572,603.9,28797.0,17601.6
2264,b10_r1_n2_E2_X3c_1_5,0,46941.1,13619,2265.7,27317.4,17358.0
1876,b5_r3_n5_E2_X3b_1,0,46819.1,9565,588.2,28733.6,17497.3
1120,b5_r2_n5_E1_X3c_1_3,0,46586.4,9066,2174.8,26601.5,17810.1
1124,b5_r2_n5_E1_X3c_1_5,0,46574.0,9069,2174.8,26614.9,17784.3
1096,b5_r2_n5_E1_X3b_1,0,46555.5,9058,2137.2,26556.5,17861.8
2236,b10_r1_n2_E2_X3b_1,0,44145.0,13034,2072.2,25707.5,16365.3
1960,b5_r3_n6_E1_X3c_1_3,0,43802.4,9705,1502.5,25302.6,16997.3
1964,b5_r3_n6_E1_X3c_1_5,0,43785.1,9705,1502.5,25299.2,16983.4
1936,b5_r3_n6_E1_X3b_1,0,43766.1,9703,1502.5,25260.7,17002.9
464,b5_r1_n5_E2_X3c_1_5,0,40126.1,5364,1541.0,23045.1,15540.0
460,b5_r1_n5_E2_X3c_1_3,0,40094.4,5361,1535.5,23019.3,15539.6
436,b5_r1_n5_E2_X3b_1,0,40088.3,5355,1541.9,22972.5,15573.9
404,b5_r1_n5_E1_X3c_1_5,0,39765.7,5457,1521.3,22792.7,15451.7
400,b5_r1_n5_E1_X3c_1_3,0,39704.7,5454,1512.8,22766.3,15425.6
376,b5_r1_n5_E1_X3b_1,0,39694.8,5448,1517.8,22701.6,15475.4
2020,b5_r3_n6_E2_X3c_1_3,0,36027.4,5899,803.6,21275.1,13948.7
1996,b5_r3_n6_E2_X3b_1,0,36019.7,5898,787.9,21271.1,13960.7
2024,b5_r3_n6_E2_X3c_1_5,0,36012.1,5900,803.6,21273.7,13934.8
1300,b5_r2_n6_E2_X3c_1_3,0,29073.1,3144,1241.6,16119.5,11712.0
1276,b5_r2_n6_E2_X3b_1,0,29073.1,3144,1241.6,16103.9,11727.6
1304,b5_r2_n6_E2_X3c_1_5,0,29048.7,3144,1241.6,16111.9,11695.2
1216,b5_r2_n6_E1_X3b_1,0,28907.6,3892,1295.1,16035.9,11576.6
1240,b5_r2_n6_E1_X3c_1_3,0,28905.2,3892,1302.7,16058.5,11544.0
1244,b5_r2_n6_E1_X3c_1_5,0,28873.8,3892,1302.7,16043.9,11527.2
556,b5_r1_n6_E2_X3b_1,0,25502.2,2633,894.3,14118.7,10489.2
580,b5_r1_n6_E2_X3c_1_3,0,25483.7,2633,900.8,14106.1,10476.8
584,b5_r1_n6_E2_X3c_1_5,0,25473.2,2633,894.3,14114.1,10464.8
496,b5_r1_n6_E1_X3b_1,0,25389.9,2666,884.0,14034.0,10471.9
524,b5_r1_n6_E1_X3c_1_5,0,25364.7,2666,884.0,14029.9,10450.8
520,b5_r1_n6_E1_X3c_1_3,0,25362.3,2666,890.5,14021.9,10449.9
348,b5_r1_n4_E2_X3c_2_3,0,22628.3,11455,679.6,12911.0,9037.7
352,b5_r1_n4_E2_X3c_2_5,0,22581.1,11470,664.6,12698.0,9218.5
320,b5_r1_n4_E2_X3b_2,0,22228.8,11166,737.3,12113.0,9378.5
288,b5_r1_n4_E1_X3c_2_3,0,21576.9,11850,557.7,12465.7,8553.5
292,b5_r1_n4_E1_X3c_2_5,0,21550.7,11863,564.9,12250.5,8735.3
1192,b5_r2_n5_E2_X3c_2_5,0,21408.2,6408,329.4,12238.3,8840.5
1188,b5_r2_n5_E2_X3c_2_3,0,21384.2,6405,366.5,12112.5,8905.2
2384,b10_r1_n3_E2_X3c_1_5,0,21318.6,3700,826.8,11783.7,8708.1
2380,b10_r1_n3_E2_X3c_1_3,0,21280.3,3697,826.4,11734.5,8719.4
1160,b5_r2_n5_E2_X3b_2,0,21219.9,6347,396.0,11975.8,8848.1
260,b5_r1_n4_E1_X3b_2,0,21099.3,11524,707.9,11502.7,8888.7
2356,b10_r1_n3_E2_X3b_1,0,20988.9,3661,848.8,11437.1,8703.0
2080,b5_r3_n8_E1_X3c_1_3,0,20688.1,3201,858.2,10893.4,8936.5
2084,b5_r3_n8_E1_X3c_1_5,0,20688.1,3201,858.2,10893.4,8936.5
2056,b5_r3_n8_E1_X3b_1,0,20688.1,3201,858.2,10893.4,8936.5
2324,b10_r1_n3_E1_X3c_1_5,0,19956.4,4448,722.8,11079.8,8153.8
2320,b10_r1_n3_E1_X3c_1_3,0,19876.8,4446,724.8,10959.1,8192.9
468,b5_r1_n5_E2_X3c_2_3,0,19773.4,5189,578.6,10747.2,8447.6
472,b5_r1_n5_E2_X3c_2_5,0,19713.8,5201,581.4,10647.8,8484.6
2296,b10_r1_n3_E1_X3b_1,0,19692.4,4385,792.3,10719.3,8180.8
440,b5_r1_n5_E2_X3b_2,0,19588.5,5142,566.5,10409.7,8612.3
412,b5_r1_n5_E1_X3c_2_5,0,19530.5,5288,586.1,10514.7,8429.7
408,b5_r1_n5_E1_X3c_2_3,0,19507.9,5275,559.0,10627.2,8321.7
380,b5_r1_n5_E1_X3b_2,0,19317.8,5225,561.9,10216.3,8539.6
4424,b15_r1_n2_E2_X3c_1_5,0,18426.5,3797,741.9,10405.2,7279.4
2144,b5_r3_n8_E2_X3c_1_5,0,18362.9,2163,652.2,9890.9,7819.8
2116,b5_r3_n8_E2_X3b_1,0,18362.9,2163,652.2,9890.9,7819.8
2140,b5_r3_n8_E2_X3c_1_3,0,18362.9,2163,652.2,9890.9,7819.8
4420,b15_r1_n2_E2_X3c_1_3,0,18167.5,3778,733.2,10272.2,7162.1
4396,b15_r1_n2_E2_X3b_1,0,17834.0,3658,912.6,9658.3,7263.1
1308,b5_r2_n6_E2_X3c_2_3,0,15838.9,3103,514.0,8741.7,6583.2
1280,b5_r2_n6_E2_X3b_2,0,15829.2,3087,499.9,8681.2,6648.1
1312,b5_r2_n6_E2_X3c_2_5,0,15819.4,3104,510.7,8780.8,6527.9
560,b5_r1_n6_E2_X3b_2,0,14608.3,2571,444.1,7661.5,6502.7
588,b5_r1_n6_E2_X3c_2_3,0,14552.3,2580,502.6,7725.3,6324.4
500,b5_r1_n6_E1_X3b_2,0,14514.3,2601,436.1,7598.5,6479.7
528,b5_r1_n6_E1_X3c_2_3,0,14488.9,2610,497.3,7691.4,6300.2
592,b5_r1_n6_E2_X3c_2_5,0,14473.8,2581,467.3,7722.0,6284.5
532,b5_r1_n6_E1_X3c_2_5,0,14406.3,2611,468.2,7663.9,6274.2
1248,b5_r2_n6_E1_X3c_2_3,0,14353.3,3823,282.9,8194.8,5875.6
1220,b5_r2_n6_E1_X3b_2,0,14255.2,3801,161.0,8129.8,5964.4
1252,b5_r2_n6_E1_X3c_2_5,0,14160.4,3823,159.9,8183.8,5816.7
3220,b10_r2_n4_E2_X3c_1_3,0,12980.9,2473,28.2,7156.5,5796.2
