ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc
944,b5_r2_n3_E2_X3c_1_5,0,78083.6,20000,0.0,179.2,1
940,b5_r2_n3_E2_X3c_1_3,0,77893.5,20000,0.0,178.71,1
916,b5_r2_n3_E2_X3b_1,0,77582.0,20000,0.0,177.79,1
1064,b5_r2_n4_E2_X3c_1_5,0,74578.4,13635,0.0,171.21,1
1060,b5_r2_n4_E2_X3c_1_3,0,74541.8,13629,0.0,171.23,1
1036,b5_r2_n4_E2_X3b_1,0,74400.6,13603,0.0,170.97,1
224,b5_r1_n3_E2_X3c_1_5,0,66452.0,20000,0.0,152.3,1
220,b5_r1_n3_E2_X3c_1_3,0,66371.5,20000,0.0,151.93,1
196,b5_r1_n3_E2_X3b_1,0,65932.8,20000,0.0,150.87,1
344,b5_r1_n4_E2_X3c_1_5,0,64976.6,12081,0.0,148.99,1
316,b5_r1_n4_E2_X3b_1,0,64860.5,12031,0.0,148.67,1
340,b5_r1_n4_E2_X3c_1_3,0,64858.6,12079,0.0,148.8,1
284,b5_r1_n4_E1_X3c_1_5,0,63729.9,12533,0.0,145.98,1
280,b5_r1_n4_E1_X3c_1_3,0,63591.3,12531,0.0,145.53,1
256,b5_r1_n4_E1_X3b_1,0,63488.3,12481,0.0,145.29,1
1004,b5_r2_n4_E1_X3c_1_5,0,61561.6,20000,0.0,140.71,1
1000,b5_r2_n4_E1_X3c_1_3,0,61469.2,20000,0.0,140.24,1
976,b5_r2_n4_E1_X3b_1,0,61316.9,20000,0.0,139.97,1
1844,b5_r3_n5_E1_X3c_1_5,0,60859.2,16424,0.0,138.87,1
1840,b5_r3_n5_E1_X3c_1_3,0,60847.8,16421,0.0,138.92,1
1816,b5_r3_n5_E1_X3b_1,0,60676.8,16412,0.0,138.32,1
1784,b5_r3_n4_E2_X3c_1_5,0,60332.7,15907,0.0,137.24,1
1780,b5_r3_n4_E2_X3c_1_3,0,60289.6,15901,0.0,136.91,1
1756,b5_r3_n4_E2_X3b_1,0,59969.6,15883,0.0,136.05,1
1720,b5_r3_n4_E1_X3c_1_3,0,55069.4,20000,0.0,125.13,1
1724,b5_r3_n4_E1_X3c_1_5,0,55047.0,20000,0.0,125.11,1
1696,b5_r3_n4_E1_X3b_1,0,54752.0,20000,0.0,124.46,1
1180,b5_r2_n5_E2_X3c_1_3,0,47289.7,6550,0.0,108.07,1
