ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
56,b5_r1_n3_E2_X3c_1_5,46115.6,13482,17045.4,4610,1023.7,28036.7,17055.2
55,b5_r1_n3_E2_X3c_1_3,46109.7,13469,16991.5,4603,1015.5,28031.1,17063.1
49,b5_r1_n3_E2_X3b_1,45977.1,13413,16921.5,4593,988.2,27947.9,17041.0
85,b5_r1_n4_E2_X3c_1_3,32653.6,6459,11695.9,2193,1106.3,18955.9,12591.4
86,b5_r1_n4_E2_X3c_1_5,32641.1,6464,11721.1,2195,1109.0,18955.5,12576.6
79,b5_r1_n4_E2_X3b_1,32610.1,6444,11700.3,2189,1106.3,18917.6,12586.2
71,b5_r1_n4_E1_X3c_1_5,27789.5,8921,10000.7,2864,80.1,16863.7,10845.7
70,b5_r1_n4_E1_X3c_1_3,27779.9,8913,9985.4,2863,74.5,16848.4,10857.0
64,b5_r1_n4_E1_X3b_1,27753.5,8881,10048.7,2856,66.9,16799.5,10887.1
109,b5_r1_n5_E2_X3b_1,21960.4,3117,7726.7,1038,933.5,12144.4,8882.5
115,b5_r1_n5_E2_X3c_1_3,21958.2,3121,7733.4,1038,933.5,12151.9,8872.8
116,b5_r1_n5_E2_X3c_1_5,21924.7,3123,7726.7,1038,936.2,12144.3,8844.2
94,b5_r1_n5_E1_X3b_1,20469.3,3830,7239.0,1216,580.2,11578.3,8310.8
100,b5_r1_n5_E1_X3c_1_3,20438.6,3833,7234.5,1216,587.8,11572.3,8278.5
101,b5_r1_n5_E1_X3c_1_5,20435.5,3836,7236.6,1216,590.5,11589.5,8255.5
326,b5_r2_n6_E2_X3c_1_5,19079.5,3560,6240.1,1000,192.7,11206.2,7680.6
310,b5_r2_n6_E1_X3c_1_3,19075.2,5537,6119.2,1678,45.6,11222.7,7806.9
325,b5_r2_n6_E2_X3c_1_3,19074.8,3559,6240.1,1000,192.7,11187.6,7694.5
319,b5_r2_n6_E2_X3b_1,19056.9,3557,6241.0,1000,181.0,11195.3,7680.6
311,b5_r2_n6_E1_X3c_1_5,19056.2,5537,6137.0,1679,45.6,11217.6,7793.0
304,b5_r2_n6_E1_X3b_1,19046.1,5533,6303.6,1678,30.7,11239.0,7776.4
145,b5_r1_n6_E2_X3c_1_3,14722.3,1601,4993.9,530,689.5,7672.7,6360.1
139,b5_r1_n6_E2_X3b_1,14719.6,1598,4993.9,530,689.5,7675.5,6354.6
146,b5_r1_n6_E2_X3c_1_5,14716.1,1602,4993.9,530,692.2,7668.5,6355.4
124,b5_r1_n6_E1_X3b_1,14093.1,1832,4814.8,569,512.1,7464.9,6116.1
130,b5_r1_n6_E1_X3c_1_3,14087.3,1834,4814.8,569,512.1,7453.4,6121.8
131,b5_r1_n6_E1_X3c_1_5,14081.1,1835,4814.8,569,514.8,7449.2,6117.1
110,b5_r1_n5_E2_X3b_2,11055.2,3033,3490.5,1022,271.7,6163.0,4620.5
118,b5_r1_n5_E2_X3c_2_5,10955.5,3064,3539.1,1026,269.4,6196.6,4489.5
117,b5_r1_n5_E2_X3c_2_3,10860.6,3064,3555.6,1024,241.4,6097.2,4522.0
