ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
56,b5_r1_n3_E2_X3c_1_5,46115.6,13482,0.0,104.47,1,17045.4,4610
55,b5_r1_n3_E2_X3c_1_3,46109.7,13469,0.0,104.73,1,16991.5,4603
49,b5_r1_n3_E2_X3b_1,45977.1,13413,0.0,104.37,1,16921.5,4593
85,b5_r1_n4_E2_X3c_1_3,32653.6,6459,0.0,73.89,1,11695.9,2193
86,b5_r1_n4_E2_X3c_1_5,32641.1,6464,0.0,73.93,1,11721.1,2195
79,b5_r1_n4_E2_X3b_1,32610.1,6444,0.0,73.62,1,11700.3,2189
71,b5_r1_n4_E1_X3c_1_5,27789.5,8921,0.0,62.01,1,10000.7,2864
70,b5_r1_n4_E1_X3c_1_3,27779.9,8913,0.0,62.18,1,9985.4,2863
64,b5_r1_n4_E1_X3b_1,27753.5,8881,0.0,61.94,1,10048.7,2856
109,b5_r1_n5_E2_X3b_1,21960.4,3117,0.0,49.34,1,7726.7,1038
115,b5_r1_n5_E2_X3c_1_3,21958.2,3121,0.0,49.29,1,7733.4,1038
116,b5_r1_n5_E2_X3c_1_5,21924.7,3123,0.0,49.18,1,7726.7,1038
94,b5_r1_n5_E1_X3b_1,20469.3,3830,0.0,45.62,1,7239.0,1216
100,b5_r1_n5_E1_X3c_1_3,20438.6,3833,0.0,45.71,1,7234.5,1216
101,b5_r1_n5_E1_X3c_1_5,20435.5,3836,0.0,45.63,1,7236.6,1216
326,b5_r2_n6_E2_X3c_1_5,19079.5,3560,0.0,42.23,1,6240.1,1000
310,b5_r2_n6_E1_X3c_1_3,19075.2,5537,0.0,42.27,1,6119.2,1678
325,b5_r2_n6_E2_X3c_1_3,19074.8,3559,0.0,42.28,1,6240.1,1000
319,b5_r2_n6_E2_X3b_1,19056.9,3557,0.0,42.23,1,6241.0,1000
311,b5_r2_n6_E1_X3c_1_5,19056.2,5537,0.0,42.21,1,6137.0,1679
304,b5_r2_n6_E1_X3b_1,19046.1,5533,0.0,42.05,1,6303.6,1678
