ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
26,b5_r1_n2_E2_X3c_1_5,11187.9,9548,0.0,23.5,1,4607.8,4175,10.8,1
25,b5_r1_n2_E2_X3c_1_3,11097.3,9499,0.0,23.44,1,4608.2,4169,10.8,1
19,b5_r1_n2_E2_X3b_1,10839.2,9437,0.0,22.7,1,4382.6,4142,10.27,1
56,b5_r1_n3_E2_X3c_1_5,10024.8,4378,0.0,21.61,1,4129.4,1943,9.68,1
55,b5_r1_n3_E2_X3c_1_3,10010.6,4366,0.0,21.59,1,4113.9,1943,9.64,1
49,b5_r1_n3_E2_X3b_1,9914.8,4352,0.0,21.39,1,4075.7,1939,9.55,1
79,b5_r1_n4_E2_X3b_1,7468.9,2052,0.0,16.16,1,3198.3,921,7.5,1
85,b5_r1_n4_E2_X3c_1_3,7478.9,2058,0.0,16.13,1,3195.8,922,7.49,1
86,b5_r1_n4_E2_X3c_1_5,7493.5,2060,0.0,16.15,1,3193.4,921,7.48,1
70,b5_r1_n4_E1_X3c_1_3,4996.5,3858,0.0,9.97,1,2341.0,1717,5.49,1
71,b5_r1_n4_E1_X3c_1_5,5045.7,3861,0.0,10.08,1,2336.6,1716,5.48,1
64,b5_r1_n4_E1_X3b_1,4853.5,3846,0.0,9.56,1,2326.6,1715,5.45,1
109,b5_r1_n5_E2_X3b_1,5438.7,1015,0.0,11.57,1,2198.0,440,5.15,1
116,b5_r1_n5_E2_X3c_1_5,5429.8,1015,0.0,11.56,1,2193.1,440,5.14,1
115,b5_r1_n5_E2_X3c_1_3,5429.8,1015,0.0,11.56,1,2193.1,440,5.14,1
100,b5_r1_n5_E1_X3c_1_3,4698.5,1628,0.0,9.68,1,2077.9,704,4.87,1
101,b5_r1_n5_E1_X3c_1_5,4684.1,1628,0.0,9.65,1,2077.9,704,4.87,1
94,b5_r1_n5_E1_X3b_1,4581.2,1623,0.0,9.42,1,2065.9,703,4.84,1
139,b5_r1_n6_E2_X3b_1,3903.8,527,0.0,8.17,1,1540.9,222,3.61,1
146,b5_r1_n6_E2_X3c_1_5,3903.8,527,0.0,8.17,1,1536.0,222,3.6,1
145,b5_r1_n6_E2_X3c_1_3,3903.8,527,0.0,8.17,1,1536.0,222,3.6,1
124,b5_r1_n6_E1_X3b_1,3549.1,751,0.0,7.24,1,1504.6,322,3.53,1
130,b5_r1_n6_E1_X3c_1_3,3589.0,753,0.0,7.33,1,1499.7,322,3.51,1
131,b5_r1_n6_E1_X3c_1_5,3581.8,753,0.0,7.31,1,1499.7,322,3.51,1
295,b5_r2_n5_E2_X3c_1_3,4047.6,2553,0.0,7.89,1,1452.3,1136,3.4,1
296,b5_r2_n5_E2_X3c_1_5,4066.2,2554,0.0,7.91,1,1452.3,1136,3.4,1
289,b5_r2_n5_E2_X3b_1,3997.1,2552,0.0,7.8,1,1452.3,1136,3.4,1
325,b5_r2_n6_E2_X3c_1_3,3949.6,1580,0.0,7.89,1,1436.5,743,3.37,1
319,b5_r2_n6_E2_X3b_1,3899.1,1579,0.0,7.76,1,1436.5,743,3.37,1
326,b5_r2_n6_E2_X3c_1_5,3968.2,1581,0.0,7.87,1,1436.5,743,3.37,1
304,b5_r2_n6_E1_X3b_1,4022.5,2630,0.0,7.88,1,1234.9,1205,2.89,1
310,b5_r2_n6_E1_X3c_1_3,4015.3,2630,0.0,7.87,1,1235.0,1205,2.89,1
311,b5_r2_n6_E1_X3c_1_5,4039.0,2632,0.0,7.84,1,1229.6,1205,2.88,1
356,b5_r2_n8_E2_X3c_1_5,2274.7,598,0.0,4.37,1,1131.8,305,2.65,1
349,b5_r2_n8_E2_X3b_1,2237.1,597,0.0,4.31,1,1131.8,305,2.65,1
355,b5_r2_n8_E2_X3c_1_3,2274.7,598,0.0,4.37,1,1131.8,305,2.65,1
274,b5_r2_n5_E1_X3b_1,4390.3,4336,0.0,8.45,1,1052.1,1876,2.47,1
280,b5_r2_n5_E1_X3c_1_3,4383.1,4336,0.0,8.45,1,1041.6,1876,2.44,1
281,b5_r2_n5_E1_X3c_1_5,4406.8,4338,0.0,8.49,1,1036.2,1876,2.43,1
334,b5_r2_n8_E1_X3b_1,2192.1,939,0.0,4.1,1,952.6,465,2.23,1
340,b5_r2_n8_E1_X3c_1_3,2192.1,939,0.0,4.1,1,952.7,465,2.23,1
341,b5_r2_n8_E1_X3c_1_5,2186.8,939,0.0,4.07,1,947.3,465,2.22,1
110,b5_r1_n5_E2_X3b_2,2306.7,991,0.0,4.04,1,943.0,432,2.21,1
133,b5_r1_n6_E1_X3c_2_5,1500.4,740,0.0,2.4,1,944.6,316,2.21,1
118,b5_r1_n5_E2_X3c_2_5,2190.8,996,0.0,3.9,1,925.9,433,2.17,1
175,b5_r1_n8_E2_X3c_1_3,1933.7,170,0.0,3.85,1,913.7,77,2.14,1
