ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
26,b5_r1_n2_E2_X3c_1_5,11187.9,9548,4607.8,4175,1018.5,9239.7,929.7
25,b5_r1_n2_E2_X3c_1_3,11097.3,9499,4608.2,4169,994.8,9175.9,926.6
19,b5_r1_n2_E2_X3b_1,10839.2,9437,4382.6,4142,912.1,9042.3,884.8
56,b5_r1_n3_E2_X3c_1_5,10024.8,4378,4129.4,1943,1620.6,6913.8,1490.4
55,b5_r1_n3_E2_X3c_1_3,10010.6,4366,4113.9,1943,1593.5,6925.5,1491.6
49,b5_r1_n3_E2_X3b_1,9914.8,4352,4075.7,1939,1556.9,6888.2,1469.7
86,b5_r1_n4_E2_X3c_1_5,7493.5,2060,3193.4,921,1256.1,4849.3,1388.1
85,b5_r1_n4_E2_X3c_1_3,7478.9,2058,3195.8,922,1242.4,4848.4,1388.1
79,b5_r1_n4_E2_X3b_1,7468.9,2052,3198.3,921,1242.4,4836.7,1389.8
109,b5_r1_n5_E2_X3b_1,5438.7,1015,2198.0,440,828.3,3346.1,1264.3
115,b5_r1_n5_E2_X3c_1_3,5429.8,1015,2193.1,440,828.3,3351.2,1250.3
116,b5_r1_n5_E2_X3c_1_5,5429.8,1015,2193.1,440,828.3,3351.2,1250.3
71,b5_r1_n4_E1_X3c_1_5,5045.7,3861,2336.6,1716,406.4,3781.8,857.5
70,b5_r1_n4_E1_X3c_1_3,4996.5,3858,2341.0,1717,381.6,3788.2,826.7
64,b5_r1_n4_E1_X3b_1,4853.5,3846,2326.6,1715,301.1,3738.4,814.0
100,b5_r1_n5_E1_X3c_1_3,4698.5,1628,2077.9,704,562.7,3113.6,1022.2
101,b5_r1_n5_E1_X3c_1_5,4684.1,1628,2077.9,704,562.7,3099.2,1022.2
94,b5_r1_n5_E1_X3b_1,4581.2,1623,2065.9,703,514.2,3076.1,990.9
281,b5_r2_n5_E1_X3c_1_5,4406.8,4338,1036.2,1876,149.5,3745.8,511.5
274,b5_r2_n5_E1_X3b_1,4390.3,4336,1052.1,1876,149.5,3737.3,503.5
280,b5_r2_n5_E1_X3c_1_3,4383.1,4336,1041.6,1876,149.5,3730.1,503.5
296,b5_r2_n5_E2_X3c_1_5,4066.2,2554,1452.3,1136,240.7,2977.7,847.8
295,b5_r2_n5_E2_X3c_1_3,4047.6,2553,1452.3,1136,240.7,2959.1,847.8
311,b5_r2_n6_E1_X3c_1_5,4039.0,2632,1229.6,1205,191.1,3128.2,719.7
304,b5_r2_n6_E1_X3b_1,4022.5,2630,1234.9,1205,191.1,3119.7,711.7
310,b5_r2_n6_E1_X3c_1_3,4015.3,2630,1235.0,1205,191.1,3112.5,711.7
289,b5_r2_n5_E2_X3b_1,3997.1,2552,1452.3,1136,240.7,2946.2,810.2
326,b5_r2_n6_E2_X3c_1_5,3968.2,1581,1436.5,743,321.5,2677.0,969.7
325,b5_r2_n6_E2_X3c_1_3,3949.6,1580,1436.5,743,321.5,2658.4,969.7
146,b5_r1_n6_E2_X3c_1_5,3903.8,527,1536.0,222,598.4,2279.2,1026.2
139,b5_r1_n6_E2_X3b_1,3903.8,527,1540.9,222,598.4,2279.2,1026.2
145,b5_r1_n6_E2_X3c_1_3,3903.8,527,1536.0,222,598.4,2279.2,1026.2
319,b5_r2_n6_E2_X3b_1,3899.1,1579,1436.5,743,321.5,2645.5,932.1
130,b5_r1_n6_E1_X3c_1_3,3589.0,753,1499.7,322,448.9,2211.9,928.2
131,b5_r1_n6_E1_X3c_1_5,3581.8,753,1499.7,322,448.9,2204.7,928.2
124,b5_r1_n6_E1_X3b_1,3549.1,751,1504.6,322,448.9,2195.3,904.9
932,b10_r3_n3_E1_X1_8,3126.9,557,-1150.5,272,171.7,1633.7,1321.5
902,b10_r3_n2_E1_X1_8,3126.9,557,-1150.5,272,171.7,1633.7,1321.5
962,b10_r3_n4_E1_X1_8,2841.0,535,-486.7,262,139.5,1542.0,1159.5
484,b5_r3_n6_E1_X3b_1,2778.4,3268,882.3,1432,12.2,2125.1,641.1
520,b5_r3_n8_E1_X3c_1_3,2657.1,1699,830.8,763,173.3,1864.1,619.7
521,b5_r3_n8_E1_X3c_1_5,2657.1,1699,830.8,763,173.3,1864.1,619.7
514,b5_r3_n8_E1_X3b_1,2563.4,1697,830.8,763,173.3,1808.0,582.1
2603,b30_r3_n4_E2_X7_5,2481.2,30,-593.7,20,680.2,1300.2,500.8
110,b5_r1_n5_E2_X3b_2,2306.7,991,943.0,432,217.1,1383.4,706.2
356,b5_r2_n8_E2_X3c_1_5,2274.7,598,1131.8,305,327.8,1186.2,760.7
355,b5_r2_n8_E2_X3c_1_3,2274.7,598,1131.8,305,327.8,1186.2,760.7
349,b5_r2_n8_E2_X3b_1,2237.1,597,1131.8,305,327.8,1186.2,723.1
117,b5_r1_n5_E2_X3c_2_3,2236.2,997,888.0,433,162.5,1399.5,674.2
334,b5_r2_n8_E1_X3b_1,2192.1,939,952.6,465,233.4,1411.5,547.2
340,b5_r2_n8_E1_X3c_1_3,2192.1,939,952.7,465,233.4,1411.5,547.2
118,b5_r1_n5_E2_X3c_2_5,2190.8,996,925.9,433,138.2,1410.2,642.4
341,b5_r2_n8_E1_X3c_1_5,2186.8,939,947.3,465,233.4,1406.2,547.2
140,b5_r1_n6_E2_X3b_2,2089.5,520,878.2,220,269.1,1220.4,600.0
148,b5_r1_n6_E2_X3c_2_5,1987.5,520,866.0,220,245.6,1174.6,567.3
147,b5_r1_n6_E2_X3c_2_3,1972.2,520,863.3,220,262.2,1140.0,570.0
2222,b30_r1_n4_E1_X1_8,1943.2,61,-293.4,32,1059.8,546.8,336.6
176,b5_r1_n8_E2_X3c_1_5,1933.7,170,913.7,77,331.3,916.7,685.7
