ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
26,b5_r1_n2_E2_X3c_1_5,11187.9,9548,0.0,23.5,1,4607.8,4175
25,b5_r1_n2_E2_X3c_1_3,11097.3,9499,0.0,23.44,1,4608.2,4169
19,b5_r1_n2_E2_X3b_1,10839.2,9437,0.0,22.7,1,4382.6,4142
56,b5_r1_n3_E2_X3c_1_5,10024.8,4378,0.0,21.61,1,4129.4,1943
55,b5_r1_n3_E2_X3c_1_3,10010.6,4366,0.0,21.59,1,4113.9,1943
49,b5_r1_n3_E2_X3b_1,9914.8,4352,0.0,21.39,1,4075.7,1939
86,b5_r1_n4_E2_X3c_1_5,7493.5,2060,0.0,16.15,1,3193.4,921
85,b5_r1_n4_E2_X3c_1_3,7478.9,2058,0.0,16.13,1,3195.8,922
79,b5_r1_n4_E2_X3b_1,7468.9,2052,0.0,16.16,1,3198.3,921
109,b5_r1_n5_E2_X3b_1,5438.7,1015,0.0,11.57,1,2198.0,440
115,b5_r1_n5_E2_X3c_1_3,5429.8,1015,0.0,11.56,1,2193.1,440
116,b5_r1_n5_E2_X3c_1_5,5429.8,1015,0.0,11.56,1,2193.1,440
71,b5_r1_n4_E1_X3c_1_5,5045.7,3861,0.0,10.08,1,2336.6,1716
70,b5_r1_n4_E1_X3c_1_3,4996.5,3858,0.0,9.97,1,2341.0,1717
64,b5_r1_n4_E1_X3b_1,4853.5,3846,0.0,9.56,1,2326.6,1715
100,b5_r1_n5_E1_X3c_1_3,4698.5,1628,0.0,9.68,1,2077.9,704
101,b5_r1_n5_E1_X3c_1_5,4684.1,1628,0.0,9.65,1,2077.9,704
94,b5_r1_n5_E1_X3b_1,4581.2,1623,0.0,9.42,1,2065.9,703
281,b5_r2_n5_E1_X3c_1_5,4406.8,4338,0.0,8.49,1,1036.2,1876
274,b5_r2_n5_E1_X3b_1,4390.3,4336,0.0,8.45,1,1052.1,1876
280,b5_r2_n5_E1_X3c_1_3,4383.1,4336,0.0,8.45,1,1041.6,1876
296,b5_r2_n5_E2_X3c_1_5,4066.2,2554,0.0,7.91,1,1452.3,1136
295,b5_r2_n5_E2_X3c_1_3,4047.6,2553,0.0,7.89,1,1452.3,1136
311,b5_r2_n6_E1_X3c_1_5,4039.0,2632,0.0,7.84,1,1229.6,1205
304,b5_r2_n6_E1_X3b_1,4022.5,2630,0.0,7.88,1,1234.9,1205
310,b5_r2_n6_E1_X3c_1_3,4015.3,2630,0.0,7.87,1,1235.0,1205
289,b5_r2_n5_E2_X3b_1,3997.1,2552,0.0,7.8,1,1452.3,1136
326,b5_r2_n6_E2_X3c_1_5,3968.2,1581,0.0,7.87,1,1436.5,743
