pair,config,fill,wf,is_pd,oos_pd,is_n,oos_n,is_wr,oos_wr,is_avgw,is_avgl,oos_avgw,oos_avgl,is_trail%,oos_trail%
GBP_JPY,GBP_JPY_ft,trail-fill,True,115.7,135.3,23815,12259,0.718,0.707,7.97,-3.03,7.97,-3.05,0.993,0.993
GBP_JPY,GBP_JPY_ft,bar-close,False,-75.6,-94.6,23815,12259,0.35,0.339,6.77,-8.54,7.05,-8.63,0.993,0.993
GBP_JPY,GBP_JPY_ft2,trail-fill,True,31.3,33.9,22594,11625,0.481,0.471,7.87,-4.62,7.93,-4.7,0.951,0.953
GBP_JPY,GBP_JPY_ft2,bar-close,False,-71.7,-87.9,22594,11625,0.343,0.336,7.97,-8.99,8.26,-9.07,0.951,0.953
USD_JPY,USD_JPY_ft,trail-fill,True,86.2,138.9,23131,15637,0.7,0.703,6.4,-2.5,6.47,-2.47,0.978,0.982
USD_JPY,USD_JPY_ft,bar-close,False,-41.8,-59.5,23131,15637,0.38,0.386,5.66,-6.38,5.68,-6.24,0.978,0.982
USD_JPY,USD_JPY_ft2,trail-fill,True,19.0,31.5,21136,14210,0.449,0.46,7.04,-4.1,6.9,-4.12,0.879,0.886
USD_JPY,USD_JPY_ft2,bar-close,False,-37.0,-53.9,21136,14210,0.375,0.377,7.13,-7.09,7.15,-6.93,0.879,0.886
EUR_JPY,EUR_JPY_ft,trail-fill,True,98.6,73.7,29936,9533,0.682,0.681,6.08,-2.65,6.15,-2.74,0.981,0.985
EUR_JPY,EUR_JPY_ft,bar-close,False,-59.0,-49.9,29936,9533,0.371,0.36,5.53,-6.41,5.72,-6.73,0.981,0.985
EUR_JPY,EUR_JPY_ft2,trail-fill,True,11.3,5.4,27182,8836,0.431,0.426,6.59,-4.26,6.47,-4.33,0.887,0.897
EUR_JPY,EUR_JPY_ft2,bar-close,False,-55.7,-46.1,27182,8836,0.362,0.359,6.91,-7.13,7.0,-7.41,0.887,0.897
GBP_USD,GBP_USD_sb,trail-fill,True,87.5,53.9,14397,4368,0.883,0.857,7.08,-1.48,6.45,-1.65,0.999,0.999
GBP_USD,GBP_USD_sb,bar-close,False,-25.9,-19.2,14397,4368,0.383,0.352,5.12,-6.09,4.4,-5.29,0.999,0.999
GBP_USD,GBP_USD_sb2,trail-fill,True,60.9,35.5,14279,4334,0.761,0.735,6.21,-1.95,5.54,-2.11,0.997,0.997
GBP_USD,GBP_USD_sb2,bar-close,False,-26.2,-19.1,14279,4334,0.38,0.35,5.21,-6.16,4.6,-5.38,0.997,0.997
