pair,b,rev,n_min,d,mode,wf,is_pd,is_n,is_wr,is_avgw,is_avgl,is_trail%,oos_pd,oos_n,oos_wr,oos_avgw,oos_avgl,oos_trail%
GBP_JPY,5,1,4,1,S5_monitor,True,115.7,23815,0.718,7.97,-3.03,0.993,135.3,12259,0.707,7.97,-3.05,0.993
GBP_JPY,5,1,4,1,M5_manual,False,-75.6,23815,0.35,6.77,-8.54,0.993,-94.6,12259,0.339,7.05,-8.63,0.993
GBP_JPY,5,1,4,2,S5_monitor,True,31.3,22594,0.481,7.87,-4.62,0.951,33.9,11625,0.471,7.93,-4.7,0.953
GBP_JPY,5,1,4,2,M5_manual,False,-71.7,22594,0.343,7.97,-8.99,0.951,-87.9,11625,0.336,8.26,-9.07,0.953
GBP_JPY,5,1,4,3,S5_monitor,False,-13.4,20545,0.366,9.82,-6.71,0.852,-21.5,10645,0.362,9.67,-6.85,0.856
GBP_JPY,5,1,4,3,M5_manual,False,-65.9,20545,0.343,9.8,-10.01,0.852,-80.9,10645,0.34,10.12,-10.14,0.856
GBP_JPY,5,1,4,4,S5_monitor,False,-31.5,18091,0.35,11.61,-8.94,0.714,-44.9,9485,0.344,11.25,-8.99,0.718
GBP_JPY,5,1,4,4,M5_manual,False,-58.3,18091,0.363,11.24,-11.48,0.714,-70.9,9485,0.361,11.28,-11.39,0.718
USD_JPY,5,1,3,1,S5_monitor,True,86.2,23131,0.7,6.4,-2.5,0.978,138.9,15637,0.703,6.47,-2.47,0.982
USD_JPY,5,1,3,1,M5_manual,False,-41.8,23131,0.38,5.66,-6.38,0.978,-59.5,15637,0.386,5.68,-6.24,0.982
USD_JPY,5,1,3,2,S5_monitor,True,19.0,21136,0.449,7.04,-4.1,0.879,31.5,14210,0.46,6.9,-4.12,0.886
USD_JPY,5,1,3,2,M5_manual,False,-37.0,21136,0.375,7.13,-7.09,0.879,-53.9,14210,0.377,7.15,-6.93,0.886
USD_JPY,5,1,3,3,S5_monitor,False,-5.5,18069,0.39,8.86,-6.17,0.703,-8.2,12058,0.387,8.92,-6.11,0.716
USD_JPY,5,1,3,3,M5_manual,False,-31.3,18069,0.39,8.6,-8.34,0.703,-42.4,12058,0.392,8.72,-8.12,0.716
USD_JPY,5,1,3,4,S5_monitor,False,-12.6,15582,0.413,9.69,-8.22,0.519,-19.1,10305,0.418,9.45,-8.16,0.522
USD_JPY,5,1,3,4,M5_manual,False,-25.9,15582,0.423,9.38,-9.74,0.519,-35.4,10305,0.429,9.25,-9.53,0.522
EUR_JPY,5,1,3,1,S5_monitor,True,98.6,29936,0.682,6.08,-2.65,0.981,73.7,9533,0.681,6.15,-2.74,0.985
EUR_JPY,5,1,3,1,M5_manual,False,-59.0,29936,0.371,5.53,-6.41,0.981,-49.9,9533,0.36,5.72,-6.73,0.985
EUR_JPY,5,1,3,2,S5_monitor,True,11.3,27182,0.431,6.59,-4.26,0.887,5.4,8836,0.426,6.47,-4.33,0.897
EUR_JPY,5,1,3,2,M5_manual,False,-55.7,27182,0.362,6.91,-7.13,0.887,-46.1,8836,0.359,7.0,-7.41,0.897
EUR_JPY,5,1,3,3,S5_monitor,False,-20.6,23078,0.368,8.45,-6.35,0.712,-20.5,7649,0.358,8.35,-6.43,0.733
EUR_JPY,5,1,3,3,M5_manual,False,-47.8,23078,0.376,8.42,-8.39,0.712,-39.2,7649,0.38,8.42,-8.69,0.733
EUR_JPY,5,1,3,4,S5_monitor,False,-29.4,19842,0.395,9.18,-8.44,0.526,-25.1,6655,0.383,9.56,-8.57,0.549
EUR_JPY,5,1,3,4,M5_manual,False,-41.8,19842,0.407,9.06,-9.78,0.526,-31.8,6655,0.411,9.44,-10.06,0.549
GBP_USD,2,3,8,1,S5_monitor,True,87.5,14397,0.883,7.08,-1.48,0.999,53.9,4368,0.857,6.45,-1.65,0.999
GBP_USD,2,3,8,1,M5_manual,False,-25.9,14397,0.383,5.12,-6.09,0.999,-19.2,4368,0.352,4.4,-5.29,0.999
GBP_USD,2,3,8,2,S5_monitor,True,60.9,14279,0.761,6.21,-1.95,0.997,35.5,4334,0.735,5.54,-2.11,0.997
GBP_USD,2,3,8,2,M5_manual,False,-26.2,14279,0.38,5.21,-6.16,0.997,-19.1,4334,0.35,4.6,-5.38,0.997
GBP_USD,2,3,8,3,S5_monitor,True,37.9,14011,0.62,5.91,-2.52,0.99,19.1,4283,0.573,5.26,-2.57,0.99
GBP_USD,2,3,8,3,M5_manual,False,-26.3,14011,0.372,5.53,-6.27,0.99,-19.6,4283,0.341,4.84,-5.48,0.99
GBP_USD,2,3,8,4,S5_monitor,True,20.6,13637,0.499,6.28,-3.25,0.967,6.4,4179,0.447,5.57,-3.31,0.964
GBP_USD,2,3,8,4,M5_manual,False,-26.2,13637,0.36,6.24,-6.52,0.967,-19.2,4179,0.342,5.4,-5.79,0.964
