pair,config,mode,is_pd,oos_pd,is_n,oos_n,is_wr,oos_wr,is_avgw,is_avgl,oos_avgw,oos_avgl,wf_ok
EUR_USD,b5_r1_n2_E2_X3c_1_5,M5-trail,47.3,45.2,26888,11265,0.61,0.602,4.43,-2.43,4.49,-2.46,True
EUR_USD,b5_r1_n2_E2_X3c_1_5,S5-trail,-28.4,-69.2,19927,11216,0.343,0.195,6.3,-5.46,2.74,-3.95,False
EUR_USD,b5_r1_n3_E2_X3c_1_5,M5-trail,26.7,26.9,8606,3611,0.69,0.691,5.57,-2.38,5.7,-2.42,True
EUR_USD,b5_r1_n3_E2_X3c_1_5,S5-trail,-9.7,-21.0,6824,3650,0.31,0.222,8.53,-5.89,3.15,-4.06,False
EUR_USD,b5_r1_n4_E2_X3c_1_5,M5-trail,14.7,15.2,2846,1228,0.779,0.769,7.32,-2.44,7.62,-2.38,True
EUR_USD,b5_r1_n4_E2_X3c_1_5,S5-trail,-3.1,-6.7,2366,1239,0.278,0.253,11.25,-6.16,3.43,-4.28,False
EUR_USD,b5_r1_n2_E2_X3c_2_5,M5-trail,-10.9,-10.3,22607,9567,0.376,0.374,5.28,-3.96,5.4,-3.97,False
EUR_USD,b5_r1_n2_E2_X3c_2_5,S5-trail,-23.8,-55.4,16642,8732,0.439,0.327,6.09,-7.3,4.27,-6.11,False
EUR_JPY,b5_r1_n3_E2_X3c_1_5,M5-trail,103.7,82.7,30902,10713,0.683,0.68,6.15,-2.65,6.18,-2.76,True
EUR_JPY,b5_r1_n3_E2_X3c_1_5,S5-trail,-42.3,-43.2,22690,8107,0.279,0.261,10.46,-6.65,10.35,-6.74,False
EUR_JPY,b5_r1_n4_E2_X3c_1_5,M5-trail,65.7,52.6,12245,4278,0.764,0.76,7.85,-2.67,7.82,-2.8,True
EUR_JPY,b5_r1_n4_E2_X3c_1_5,S5-trail,-18.4,-18.7,9770,3519,0.244,0.232,13.55,-6.88,13.41,-7.02,False
EUR_JPY,b5_r1_n3_E2_X3c_2_5,M5-trail,13.1,6.7,28021,9863,0.434,0.428,6.65,-4.26,6.51,-4.36,True
EUR_JPY,b5_r1_n3_E2_X3c_2_5,S5-trail,-38.7,-36.6,18814,6817,0.398,0.384,9.67,-9.81,9.78,-9.84,False
