ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1156,b5_r2_n5_E2_X3b_1,0,86657.4,12150,0.0,198.83,1,44899.8,6209,105.15,1
1184,b5_r2_n5_E2_X3c_1_5,0,86805.8,12173,0.0,199.58,1,44883.9,6217,105.12,1
1180,b5_r2_n5_E2_X3c_1_3,0,86721.9,12170,0.0,198.94,1,44871.2,6214,105.09,1
436,b5_r1_n5_E2_X3b_1,0,76833.7,11045,0.0,176.02,1,40843.6,5838,95.65,1
464,b5_r1_n5_E2_X3c_1_5,0,76957.3,11063,0.0,176.28,1,40842.8,5847,95.65,1
460,b5_r1_n5_E2_X3c_1_3,0,76799.7,11059,0.0,175.86,1,40700.3,5844,95.32,1
404,b5_r1_n5_E1_X3c_1_5,0,76384.5,11209,0.0,175.06,1,40603.6,5891,95.09,1
376,b5_r1_n5_E1_X3b_1,0,76239.5,11189,0.0,174.52,1,40590.4,5882,95.06,1
400,b5_r1_n5_E1_X3c_1_3,0,76210.8,11204,0.0,174.73,1,40442.8,5888,94.72,1
1096,b5_r2_n5_E1_X3b_1,0,83199.4,15018,0.0,190.57,1,33957.2,4982,79.53,1
1124,b5_r2_n5_E1_X3c_1_5,0,83331.5,15044,0.0,190.83,1,33842.7,4956,79.26,1
1120,b5_r2_n5_E1_X3c_1_3,0,83186.3,15041,0.0,190.51,1,33807.9,4959,79.18,1
2024,b5_r3_n6_E2_X3c_1_5,0,67343.7,9563,0.0,153.54,1,33551.0,4637,78.58,1
1996,b5_r3_n6_E2_X3b_1,0,67309.0,9562,0.0,153.48,1,33526.0,4635,78.52,1
2020,b5_r3_n6_E2_X3c_1_3,0,67314.2,9562,0.0,153.5,1,33500.9,4637,78.46,1
1960,b5_r3_n6_E1_X3c_1_3,0,74718.8,14914,0.0,170.52,1,30627.0,5086,71.73,1
1964,b5_r3_n6_E1_X3c_1_5,0,74775.0,14915,0.0,170.75,1,30619.6,5085,71.71,1
1936,b5_r3_n6_E1_X3b_1,0,74586.1,14909,0.0,170.19,1,30584.5,5091,71.63,1
1300,b5_r2_n6_E2_X3c_1_3,0,56305.0,6125,0.0,128.58,1,29646.2,3171,69.43,1
1304,b5_r2_n6_E2_X3c_1_5,0,56344.8,6127,0.0,128.7,1,29639.0,3171,69.41,1
1276,b5_r2_n6_E2_X3b_1,0,56295.3,6118,0.0,128.48,1,29623.4,3170,69.38,1
1244,b5_r2_n6_E1_X3c_1_5,0,55439.8,6906,0.0,126.28,1,28992.3,3528,67.9,1
1240,b5_r2_n6_E1_X3c_1_3,0,55377.8,6904,0.0,126.09,1,28963.5,3526,67.83,1
1216,b5_r2_n6_E1_X3b_1,0,55471.0,6899,0.0,126.61,1,28932.8,3524,67.76,1
1876,b5_r3_n5_E2_X3b_1,0,89069.6,15930,0.0,203.65,1,27844.1,4070,65.21,1
1900,b5_r3_n5_E2_X3c_1_3,0,89106.3,15934,0.0,203.97,1,27795.4,4066,65.1,1
1904,b5_r3_n5_E2_X3c_1_5,0,89210.9,15942,0.0,204.2,1,27727.6,4058,64.94,1
584,b5_r1_n6_E2_X3c_1_5,0,50664.4,5545,0.0,115.52,1,27570.2,2990,64.57,1
524,b5_r1_n6_E1_X3c_1_5,0,50445.1,5583,0.0,115.01,1,27521.2,3001,64.45,1
580,b5_r1_n6_E2_X3c_1_3,0,50611.6,5543,0.0,115.37,1,27512.5,2988,64.43,1
556,b5_r1_n6_E2_X3b_1,0,50678.1,5539,0.0,115.53,1,27484.3,2987,64.37,1
520,b5_r1_n6_E1_X3c_1_3,0,50399.3,5581,0.0,114.79,1,27460.8,2999,64.31,1
496,b5_r1_n6_E1_X3b_1,0,50464.7,5577,0.0,114.95,1,27435.3,2998,64.25,1
2380,b10_r1_n3_E2_X3c_1_3,0,40083.8,7573,0.0,90.03,1,21643.6,3964,50.69,1
2384,b10_r1_n3_E2_X3c_1_5,0,40221.4,7581,0.0,90.42,1,21600.2,3966,50.59,1
2356,b10_r1_n3_E2_X3b_1,0,39664.8,7497,0.0,89.04,1,21262.6,3939,49.8,1
2324,b10_r1_n3_E1_X3c_1_5,0,37096.2,8815,0.0,82.69,1,19461.2,4634,45.58,1
2320,b10_r1_n3_E1_X3c_1_3,0,36815.9,8801,0.0,82.13,1,19358.1,4634,45.34,1
3104,b10_r2_n3_E2_X3c_1_5,0,36966.6,8841,0.0,81.93,1,19353.0,4461,45.32,1
3100,b10_r2_n3_E2_X3c_1_3,0,36739.8,8830,0.0,81.55,1,19251.1,4443,45.09,1
3076,b10_r2_n3_E2_X3b_1,0,36434.2,8806,0.0,80.47,1,19123.5,4432,44.79,1
1192,b5_r2_n5_E2_X3c_2_5,0,36704.7,11863,0.0,81.92,1,18959.0,6049,44.4,1
2296,b10_r1_n3_E1_X3b_1,0,36117.6,8675,0.0,80.22,1,18785.8,4571,44.0,1
1188,b5_r2_n5_E2_X3c_2_3,0,36443.4,11843,0.0,81.22,1,18740.9,6040,43.89,1
1160,b5_r2_n5_E2_X3b_2,0,35858.0,11760,0.0,79.87,1,18633.5,6007,43.64,1
472,b5_r1_n5_E2_X3c_2_5,0,33534.0,10706,0.0,74.54,1,17932.3,5654,42.0,1
440,b5_r1_n5_E2_X3b_2,0,32742.3,10595,0.0,72.78,1,17676.8,5602,41.4,1
412,b5_r1_n5_E1_X3c_2_5,0,33197.2,10833,0.0,73.52,1,17667.4,5691,41.38,1
468,b5_r1_n5_E2_X3c_2_3,0,33068.0,10690,0.0,73.52,1,17562.5,5644,41.13,1
380,b5_r1_n5_E1_X3b_2,0,32270.7,10715,0.0,71.56,1,17439.4,5640,40.84,1
408,b5_r1_n5_E1_X3c_2_3,0,32723.7,10816,0.0,72.6,1,17284.8,5681,40.48,1
4424,b15_r1_n2_E2_X3c_1_5,0,32868.1,7697,0.0,72.54,1,16993.8,4117,39.8,1
2080,b5_r3_n8_E1_X3c_1_3,0,36512.0,4670,0.0,82.38,1,16863.6,2216,39.49,1
2084,b5_r3_n8_E1_X3c_1_5,0,36524.7,4670,0.0,82.38,1,16863.6,2216,39.49,1
2056,b5_r3_n8_E1_X3b_1,0,36514.6,4670,0.0,82.38,1,16855.4,2216,39.47,1
4420,b15_r1_n2_E2_X3c_1_3,0,32621.0,7662,0.0,72.38,1,16712.0,4105,39.14,1
4396,b15_r1_n2_E2_X3b_1,0,30924.2,7406,0.0,67.99,1,16077.6,3994,37.65,1
1312,b5_r2_n6_E2_X3c_2_5,0,30545.7,6014,0.0,68.12,1,16021.2,3112,37.52,1
1308,b5_r2_n6_E2_X3c_2_3,0,30414.8,6006,0.0,67.89,1,15997.9,3111,37.47,1
1280,b5_r2_n6_E2_X3b_2,0,30253.8,5984,0.0,67.46,1,15923.1,3107,37.29,1
2116,b5_r3_n8_E2_X3b_1,0,34809.1,3356,0.0,78.73,1,15736.5,1562,36.85,1
2144,b5_r3_n8_E2_X3c_1_5,0,34819.2,3356,0.0,78.76,1,15715.5,1562,36.81,1
2140,b5_r3_n8_E2_X3c_1_3,0,34809.1,3356,0.0,78.73,1,15684.5,1562,36.73,1
592,b5_r1_n6_E2_X3c_2_5,0,28029.4,5414,0.0,62.42,1,15151.3,2923,35.48,1
532,b5_r1_n6_E1_X3c_2_5,0,27932.8,5449,0.0,62.08,1,15101.0,2932,35.37,1
2000,b5_r3_n6_E2_X3b_2,0,30827.6,9348,0.0,67.99,1,15087.9,4561,35.34,1
588,b5_r1_n6_E2_X3c_2_3,0,27890.7,5409,0.0,62.09,1,15001.5,2919,35.13,1
2032,b5_r3_n6_E2_X3c_2_5,0,31228.5,9380,0.0,69.0,1,14984.2,4573,35.09,1
560,b5_r1_n6_E2_X3b_2,0,27909.2,5387,0.0,62.06,1,14961.9,2915,35.04,1
528,b5_r1_n6_E1_X3c_2_3,0,27808.2,5444,0.0,61.88,1,14944.2,2928,35.0,1
2028,b5_r3_n6_E2_X3c_2_3,0,31117.3,9367,0.0,68.87,1,14937.4,4571,34.98,1
500,b5_r1_n6_E1_X3b_2,0,27787.0,5421,0.0,61.66,1,14917.8,2923,34.94,1
1252,b5_r2_n6_E1_X3c_2_5,0,28282.9,6758,0.0,62.66,1,14658.0,3453,34.33,1
1132,b5_r2_n5_E1_X3c_2_5,0,28369.8,14552,0.0,61.9,1,14581.9,5448,34.15,1
1248,b5_r2_n6_E1_X3c_2_3,0,28115.1,6752,0.0,62.3,1,14555.7,3450,34.09,1
1220,b5_r2_n6_E1_X3b_2,0,27936.5,6720,0.0,61.77,1,14502.6,3440,33.96,1
1128,b5_r2_n5_E1_X3c_2_3,0,27730.3,14544,0.0,60.52,1,14438.5,5456,33.81,1
1100,b5_r2_n5_E1_X3b_2,0,27175.0,14373,0.0,58.87,1,14106.0,5627,33.04,1
3220,b10_r2_n4_E2_X3c_1_3,0,26253.4,3928,0.0,58.07,1,12863.9,1880,30.13,1
3196,b10_r2_n4_E2_X3b_1,0,26185.9,3927,0.0,57.89,1,12863.9,1880,30.13,1
3224,b10_r2_n4_E2_X3c_1_5,0,26263.7,3930,0.0,57.96,1,12834.1,1880,30.06,1
1396,b5_r2_n8_E2_X3b_1,0,26196.3,1905,0.0,58.98,1,12576.9,917,29.45,1
1420,b5_r2_n8_E2_X3c_1_3,0,26192.9,1905,0.0,58.98,1,12563.4,917,29.42,1
1424,b5_r2_n8_E2_X3c_1_5,0,26203.0,1905,0.0,59.0,1,12563.4,917,29.42,1
1336,b5_r2_n8_E1_X3b_1,0,26163.0,1984,0.0,58.93,1,12413.0,966,29.07,1
1364,b5_r2_n8_E1_X3c_1_5,0,26162.5,1984,0.0,58.92,1,12399.5,966,29.04,1
1360,b5_r2_n8_E1_X3c_1_3,0,26152.4,1984,0.0,58.9,1,12399.5,966,29.04,1
3136,b10_r2_n4_E1_X3b_1,0,27988.2,9235,0.0,61.53,1,12358.3,4527,28.94,1
3160,b10_r2_n4_E1_X3c_1_3,0,28324.9,9246,0.0,62.05,1,12219.3,4536,28.62,1
3164,b10_r2_n4_E1_X3c_1_5,0,28334.1,9251,0.0,62.14,1,12187.3,4536,28.54,1
700,b5_r1_n8_E2_X3c_1_3,0,24759.3,1825,0.0,55.71,1,12059.1,912,28.24,1
704,b5_r1_n8_E2_X3c_1_5,0,24771.3,1825,0.0,55.73,1,12059.1,912,28.24,1
676,b5_r1_n8_E2_X3b_1,0,24771.7,1825,0.0,55.75,1,12059.1,912,28.24,1
616,b5_r1_n8_E1_X3b_1,0,24713.1,1831,0.0,55.51,1,12052.7,913,28.23,1
644,b5_r1_n8_E1_X3c_1_5,0,24712.7,1831,0.0,55.51,1,12052.7,913,28.23,1
640,b5_r1_n8_E1_X3c_1_3,0,24700.7,1831,0.0,55.49,1,12052.7,913,28.23,1
2500,b10_r1_n4_E2_X3c_1_3,0,21806.8,2355,0.0,48.44,1,10759.7,1175,25.2,1
