ci,name,bf,is_pnl,is_ntrd,c0,c1,c2
1036,b5_r2_n4_E2_X3b_1,0,101914.2,20000,12879.9,69106.0,19928.3
1064,b5_r2_n4_E2_X3c_1_5,0,101688.3,20000,12916.2,69100.6,19671.5
1060,b5_r2_n4_E2_X3c_1_3,0,101611.0,20000,12861.0,69109.9,19640.1
344,b5_r1_n4_E2_X3c_1_5,0,91909.0,20000,10038.4,61507.0,20363.6
316,b5_r1_n4_E2_X3b_1,0,91791.3,20000,9947.3,61180.1,20663.9
340,b5_r1_n4_E2_X3c_1_3,0,91686.0,20000,10006.2,61365.7,20314.1
1904,b5_r3_n5_E2_X3c_1_5,0,89210.9,15942,6976.3,48643.9,33590.7
1900,b5_r3_n5_E2_X3c_1_3,0,89106.3,15934,6953.0,48581.4,33571.9
1876,b5_r3_n5_E2_X3b_1,0,89069.6,15930,6953.0,48555.6,33561.0
256,b5_r1_n4_E1_X3b_1,0,87425.4,20000,9642.0,59832.9,17950.5
280,b5_r1_n4_E1_X3c_1_3,0,87275.6,20000,9674.4,60086.1,17515.1
284,b5_r1_n4_E1_X3c_1_5,0,87109.5,20000,9758.2,60251.1,17100.2
1184,b5_r2_n5_E2_X3c_1_5,0,86805.8,12173,8100.6,45543.5,33161.7
1180,b5_r2_n5_E2_X3c_1_3,0,86721.9,12170,8108.3,45535.1,33078.5
1156,b5_r2_n5_E2_X3b_1,0,86657.4,12150,8078.3,45459.3,33119.8
1124,b5_r2_n5_E1_X3c_1_5,0,83331.5,15044,7733.7,43693.9,31903.9
1096,b5_r2_n5_E1_X3b_1,0,83199.4,15018,7714.9,43629.3,31855.2
1120,b5_r2_n5_E1_X3c_1_3,0,83186.3,15041,7738.3,43638.7,31809.3
1784,b5_r3_n4_E2_X3c_1_5,0,80761.0,20000,7702.5,64042.6,9015.9
1756,b5_r3_n4_E2_X3b_1,0,80632.0,20000,7658.3,63876.7,9097.0
1780,b5_r3_n4_E2_X3c_1_3,0,80619.7,20000,7650.7,63921.7,9047.3
464,b5_r1_n5_E2_X3c_1_5,0,76957.3,11063,5910.0,41065.6,29981.7
436,b5_r1_n5_E2_X3b_1,0,76833.7,11045,5893.8,40983.7,29956.2
460,b5_r1_n5_E2_X3c_1_3,0,76799.7,11059,5912.3,41020.7,29866.7
404,b5_r1_n5_E1_X3c_1_5,0,76384.5,11209,5878.7,40772.6,29733.2
376,b5_r1_n5_E1_X3b_1,0,76239.5,11189,5835.8,40700.3,29703.4
400,b5_r1_n5_E1_X3c_1_3,0,76210.8,11204,5875.2,40728.3,29607.3
1964,b5_r3_n6_E1_X3c_1_5,0,74775.0,14915,7484.3,37828.2,29462.5
1960,b5_r3_n6_E1_X3c_1_3,0,74718.8,14914,7484.3,37772.0,29462.5
1936,b5_r3_n6_E1_X3b_1,0,74586.1,14909,7440.6,37786.4,29359.1
1844,b5_r3_n5_E1_X3c_1_5,0,73069.9,20000,9781.9,53237.3,10050.7
1840,b5_r3_n5_E1_X3c_1_3,0,73000.6,20000,9781.9,53189.8,10028.9
1816,b5_r3_n5_E1_X3b_1,0,72861.9,20000,9724.8,53098.7,10038.4
2024,b5_r3_n6_E2_X3c_1_5,0,67343.7,9563,5641.8,34895.0,26806.9
2020,b5_r3_n6_E2_X3c_1_3,0,67314.2,9562,5641.8,34865.5,26806.9
1996,b5_r3_n6_E2_X3b_1,0,67309.0,9562,5641.8,34860.3,26806.9
1304,b5_r2_n6_E2_X3c_1_5,0,56344.8,6127,4623.2,28654.1,23067.5
1300,b5_r2_n6_E2_X3c_1_3,0,56305.0,6125,4623.2,28610.0,23071.8
1276,b5_r2_n6_E2_X3b_1,0,56295.3,6118,4623.2,28596.1,23076.0
1216,b5_r2_n6_E1_X3b_1,0,55471.0,6899,4627.0,28119.1,22724.9
1244,b5_r2_n6_E1_X3c_1_5,0,55439.8,6906,4627.0,28132.7,22680.1
1240,b5_r2_n6_E1_X3c_1_3,0,55377.8,6904,4627.0,28066.4,22684.4
2264,b10_r1_n2_E2_X3c_1_5,0,53752.4,20000,7598.5,38551.8,7602.1
2260,b10_r1_n2_E2_X3c_1_3,0,53487.9,20000,7521.7,38305.3,7660.9
2236,b10_r1_n2_E2_X3b_1,0,50970.2,20000,6756.6,35726.7,8486.9
556,b5_r1_n6_E2_X3b_1,0,50678.1,5539,3381.9,26202.3,21093.9
584,b5_r1_n6_E2_X3c_1_5,0,50664.4,5545,3381.9,26234.5,21048.0
580,b5_r1_n6_E2_X3c_1_3,0,50611.6,5543,3377.6,26175.9,21058.1
496,b5_r1_n6_E1_X3b_1,0,50464.7,5577,3365.5,26073.5,21025.7
524,b5_r1_n6_E1_X3c_1_5,0,50445.1,5583,3365.5,26105.7,20973.9
520,b5_r1_n6_E1_X3c_1_3,0,50399.3,5581,3368.2,26047.1,20984.0
2384,b10_r1_n3_E2_X3c_1_5,0,40221.4,7581,2901.5,20607.8,16712.1
2380,b10_r1_n3_E2_X3c_1_3,0,40083.8,7573,2956.0,20409.1,16718.7
2356,b10_r1_n3_E2_X3b_1,0,39664.8,7497,2904.7,20263.3,16496.8
2324,b10_r1_n3_E1_X3c_1_5,0,37096.2,8815,2541.2,18487.7,16067.3
