ci,name,is_pnl,is_ntrd,oos_pnl,oos_ntrd,c0,c1,c2
49,b5_r1_n3_E2_X3b_1,60008.4,20000,0.0,0,6509.1,41211.9,12287.4
86,b5_r1_n4_E2_X3c_1_5,59321.3,12093,30557.4,6196,5277.9,30928.8,23114.6
79,b5_r1_n4_E2_X3b_1,59191.8,12058,30555.1,6179,5262.1,30867.5,23062.2
85,b5_r1_n4_E2_X3c_1_3,59181.5,12082,30512.4,6189,5274.4,30886.7,23020.4
56,b5_r1_n3_E2_X3c_1_5,59078.5,20000,0.0,0,6513.1,41133.8,11431.6
55,b5_r1_n3_E2_X3c_1_3,59059.3,20000,0.0,0,6463.2,41159.8,11436.3
266,b5_r2_n4_E2_X3c_1_5,55743.6,15858,19976.5,4142,1980.8,31848.0,21914.8
265,b5_r2_n4_E2_X3c_1_3,55626.7,15837,20348.5,4163,1994.3,31768.3,21864.1
259,b5_r2_n4_E2_X3b_1,55389.8,15824,20516.9,4176,1964.2,31634.6,21791.0
71,b5_r1_n4_E1_X3c_1_5,50310.3,14940,23069.6,5060,3339.8,27172.7,19797.8
64,b5_r1_n4_E1_X3b_1,50206.3,14895,23073.5,5105,3309.6,27143.3,19753.4
70,b5_r1_n4_E1_X3c_1_3,50088.7,14927,22994.8,5073,3324.5,27060.8,19703.4
296,b5_r2_n5_E2_X3c_1_5,46595.9,9516,23096.7,4599,2648.9,24878.3,19068.7
295,b5_r2_n5_E2_X3c_1_3,46582.7,9510,23051.6,4599,2662.4,24850.8,19069.5
289,b5_r2_n5_E2_X3b_1,46499.8,9507,23084.7,4595,2632.3,24798.7,19068.8
116,b5_r1_n5_E2_X3c_1_5,42161.9,6065,22019.5,3160,3362.1,21176.3,17623.5
115,b5_r1_n5_E2_X3c_1_3,42100.9,6059,22023.6,3160,3358.6,21120.1,17622.2
109,b5_r1_n5_E2_X3b_1,42078.4,6053,22036.1,3157,3358.6,21099.7,17620.1
281,b5_r2_n5_E1_X3c_1_5,41726.4,14815,18506.1,5185,2001.7,22541.1,17183.6
280,b5_r2_n5_E1_X3c_1_3,41671.7,14810,18491.2,5190,2001.7,22485.6,17184.4
274,b5_r2_n5_E1_X3b_1,41496.4,14803,18467.2,5197,1968.0,22443.9,17084.5
101,b5_r1_n5_E1_X3c_1_5,39760.1,6857,20678.2,3511,2951.7,20100.4,16708.0
94,b5_r1_n5_E1_X3b_1,39757.7,6845,20631.7,3503,2942.1,20079.7,16735.9
100,b5_r1_n5_E1_X3c_1_3,39674.4,6851,20656.5,3509,2948.2,20019.5,16706.7
491,b5_r3_n6_E1_X3c_1_5,36697.1,12211,18604.2,6054,926.7,20360.0,15410.4
490,b5_r3_n6_E1_X3c_1_3,36620.5,12206,18596.0,6053,926.7,20285.3,15408.5
484,b5_r3_n6_E1_X3b_1,36531.2,12202,18558.8,6052,920.5,20272.1,15338.6
319,b5_r2_n6_E2_X3b_1,36140.4,5673,17496.0,2662,2576.8,17899.8,15663.8
326,b5_r2_n6_E2_X3c_1_5,36140.1,5676,17478.6,2663,2569.5,17906.9,15663.7
325,b5_r2_n6_E2_X3c_1_3,36136.6,5673,17451.8,2664,2583.0,17889.1,15664.5
311,b5_r2_n6_E1_X3c_1_5,34011.3,8373,16072.1,4012,2493.9,16948.8,14568.6
310,b5_r2_n6_E1_X3c_1_3,33991.7,8371,16053.8,4011,2493.9,16928.4,14569.4
304,b5_r2_n6_E1_X3b_1,33972.7,8370,16066.8,4010,2493.9,16931.0,14547.8
506,b5_r3_n6_E2_X3c_1_5,31788.0,8205,16802.2,3966,447.8,17016.0,14324.2
505,b5_r3_n6_E2_X3c_1_3,31731.1,8203,16794.0,3965,447.8,16959.1,14324.2
499,b5_r3_n6_E2_X3b_1,31653.7,8199,16774.0,3963,447.8,16959.1,14246.8
251,b5_r2_n4_E1_X3c_1_5,30528.4,20000,0.0,0,385.7,26410.0,3732.7
250,b5_r2_n4_E1_X3c_1_3,30442.6,20000,0.0,0,389.3,26339.4,3713.9
146,b5_r1_n6_E2_X3c_1_5,30337.7,3287,15574.7,1662,2262.1,14544.9,13530.7
139,b5_r1_n6_E2_X3b_1,30291.1,3285,15610.3,1660,2258.6,14501.7,13530.8
145,b5_r1_n6_E2_X3c_1_3,30283.4,3285,15574.7,1662,2258.6,14499.7,13525.1
