ci,name,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd
49,b5_r1_n3_E2_X3b_1,60008.4,20000,0.0,136.21,1,0.0,0
86,b5_r1_n4_E2_X3c_1_5,59321.3,12093,0.0,134.87,1,30557.4,6196
79,b5_r1_n4_E2_X3b_1,59191.8,12058,0.0,134.81,1,30555.1,6179
85,b5_r1_n4_E2_X3c_1_3,59181.5,12082,0.0,134.74,1,30512.4,6189
56,b5_r1_n3_E2_X3c_1_5,59078.5,20000,0.0,134.16,1,0.0,0
55,b5_r1_n3_E2_X3c_1_3,59059.3,20000,0.0,134.1,1,0.0,0
266,b5_r2_n4_E2_X3c_1_5,55743.6,15858,0.0,126.09,1,19976.5,4142
265,b5_r2_n4_E2_X3c_1_3,55626.7,15837,0.0,125.36,1,20348.5,4163
259,b5_r2_n4_E2_X3b_1,55389.8,15824,0.0,125.04,1,20516.9,4176
71,b5_r1_n4_E1_X3c_1_5,50310.3,14940,0.0,113.46,1,23069.6,5060
64,b5_r1_n4_E1_X3b_1,50206.3,14895,0.0,113.2,1,23073.5,5105
70,b5_r1_n4_E1_X3c_1_3,50088.7,14927,0.0,113.2,1,22994.8,5073
296,b5_r2_n5_E2_X3c_1_5,46595.9,9516,0.0,105.18,1,23096.7,4599
295,b5_r2_n5_E2_X3c_1_3,46582.7,9510,0.0,105.28,1,23051.6,4599
289,b5_r2_n5_E2_X3b_1,46499.8,9507,0.0,105.07,1,23084.7,4595
116,b5_r1_n5_E2_X3c_1_5,42161.9,6065,0.0,95.58,1,22019.5,3160
115,b5_r1_n5_E2_X3c_1_3,42100.9,6059,0.0,95.32,1,22023.6,3160
109,b5_r1_n5_E2_X3b_1,42078.4,6053,0.0,95.19,1,22036.1,3157
281,b5_r2_n5_E1_X3c_1_5,41726.4,14815,0.0,93.64,1,18506.1,5185
280,b5_r2_n5_E1_X3c_1_3,41671.7,14810,0.0,93.33,1,18491.2,5190
274,b5_r2_n5_E1_X3b_1,41496.4,14803,0.0,92.81,1,18467.2,5197
101,b5_r1_n5_E1_X3c_1_5,39760.1,6857,0.0,89.92,1,20678.2,3511
94,b5_r1_n5_E1_X3b_1,39757.7,6845,0.0,89.75,1,20631.7,3503
100,b5_r1_n5_E1_X3c_1_3,39674.4,6851,0.0,89.62,1,20656.5,3509
491,b5_r3_n6_E1_X3c_1_5,36697.1,12211,0.0,81.97,1,18604.2,6054
