ci,name,bf,is_pnl,is_ntrd,mc_pval,bootstrap_p5,passed_mc,oos_pnl,oos_ntrd,oos_pd,oos_pass
1064,b5_r2_n4_E2_X3c_1_5,0,47966.3,9313,0.0,109.45,1,11481.9,2822,26.92,1
1060,b5_r2_n4_E2_X3c_1_3,0,47959.0,9310,0.0,109.42,1,11478.3,2819,26.91,1
1036,b5_r2_n4_E2_X3b_1,0,47920.0,9293,0.0,109.3,1,11461.6,2813,26.87,1
340,b5_r1_n4_E2_X3c_1_3,0,41898.3,7647,0.0,95.52,1,9683.2,1956,22.7,1
344,b5_r1_n4_E2_X3c_1_5,0,41970.9,7653,0.0,95.46,1,9645.6,1955,22.61,1
316,b5_r1_n4_E2_X3b_1,0,41910.1,7627,0.0,95.39,1,9642.2,1949,22.61,1
284,b5_r1_n4_E1_X3c_1_5,0,41339.6,8003,0.0,94.11,1,9509.6,2073,22.3,1
280,b5_r1_n4_E1_X3c_1_3,0,41255.5,7994,0.0,93.85,1,9509.0,2074,22.29,1
256,b5_r1_n4_E1_X3b_1,0,41186.4,7965,0.0,93.74,1,9447.3,2062,22.15,1
1840,b5_r3_n5_E1_X3c_1_3,0,37261.8,12485,0.0,84.12,1,8988.4,4519,21.07,1
1816,b5_r3_n5_E1_X3b_1,0,37197.1,12477,0.0,83.85,1,8986.5,4519,21.07,1
1844,b5_r3_n5_E1_X3c_1_5,0,37311.6,12486,0.0,84.18,1,8983.5,4519,21.06,1
2260,b10_r1_n2_E2_X3c_1_3,0,30699.6,8844,0.0,68.71,1,7498.2,2393,17.58,1
1936,b5_r3_n6_E1_X3b_1,0,27558.7,7596,0.0,61.57,1,7360.4,2796,17.26,1
1960,b5_r3_n6_E1_X3c_1_3,0,27576.0,7598,0.0,61.74,1,7360.4,2796,17.26,1
1964,b5_r3_n6_E1_X3c_1_5,0,27622.2,7599,0.0,62.02,1,7355.5,2796,17.25,1
2264,b10_r1_n2_E2_X3c_1_5,0,31340.3,8874,0.0,70.15,1,7341.4,2399,17.21,1
